Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO CERVEZA,2012,1348592000.0,2580921373.9623313
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO CERVEZA,2013,1573332000.0,2953879018.4132743
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO CERVEZA,2014,1735428000.0,3143241199.3190255
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO CERVEZA,2015,1819108000.0,3086002162.614878
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO CERVEZA,2016,1713000000.0,2748072201.052519
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO CERVEZA,2017,2024380000.0,3119936357.886917
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO CERVEZA,2018,2470276267.91,3689883280.913397
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO CERVEZA,2019,2563740480.0,3689298623.173549
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO CERVEZA,2020,1885752104.2,2670432362.2207756
91,AMAZONAS,91000,Amazonas,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,4143963729.0,5555956974.008645
91,AMAZONAS,91000,Amazonas,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,4843313397.0,5740315175.363312
91,AMAZONAS,91000,Amazonas,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,5172000000.0,5609557509.148999
91,AMAZONAS,91000,Amazonas,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,5710569440.0,5887597092.64
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,1572595300.0,3009616564.8044076
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,1529720000.0,2871998924.60533
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,1896113820.0,3434278505.14235
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,2129777470.0,3613033353.8791785
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,1725000000.0,2767323144.667598
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,2894310000.0,4460656102.113083
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,3334331273.78,4980533303.085492
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2019,2272350000.0,3269979076.1849713
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2020,1503123050.0,2128587542.4346228
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2021,1755871895.0,2354158805.063958
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2022,2054050191.0,2434468826.580294
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2023,2383560184.0,2585212283.1913705
91,AMAZONAS,91000,Amazonas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2024,3230288459.0,3330427401.229
91,AMAZONAS,91000,Amazonas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2012,1032062140.0,1975149812.8294578
