Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO CERVEZA,2012,1647790.0,3153523.4012966044
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO CERVEZA,2013,1730179.0,3248354.0957657127
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO CERVEZA,2014,1816690.0,3290424.5260482603
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO CERVEZA,2015,740000.0,1255363.398069279
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO CERVEZA,2016,777000.0,1246498.5990763614
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO CERVEZA,2017,819000000.0,1262227386.710689
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO CERVEZA,2018,1040000000.0,1553461312.0000002
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO CERVEZA,2019,1136000000.0,1634737707.8998072
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO CERVEZA,2020,1490112000.0,2110162464.7645051
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,599001000.0,803101571.5939323
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,3199000000.0,3791468100.6109657
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,700000000.0,759220853.9064771
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,1175985463.0,1212441012.3530002
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,553130.0,1058574.4536374118
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,851128.0,1597964.7914007043
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,701317.0,1270239.0927095914
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,874943.0,1484285.69945531
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,657767.0,1055219.6190716359
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,889691576.0,1371175913.2515194
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,630901034.01,942384950.0339725
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2019,995139781.0,1432035673.0914228
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2020,1279971600.0,1812580548.4987488
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2021,569998000.0,764216236.042007
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2022,314900000.0,373220789.2723955
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2023,536000000.0,581346253.8483881
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2024,650121414.0,670275177.8340001
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2012,240140.0,459577.43983600254
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2013,252147.0,473397.6890165914
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2014,264750.0,479520.38777737366
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2015,455553.0,772816.975784668
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2016,454650.0,729370.1262163033
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2017,390000000.0,601060660.3384234
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2018,332537725.0,496715856.3153801
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2019,329713114.0,474466954.44090486
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2020,406935000.0,576264712.0477816
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2021,64001000.0,85808377.08715555
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2022,188000000.0,222818381.6551615
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2023,93000000.0,100867913.44757481
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2024,96000000.0,98976000.00000001
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2012,2577230.0,4932276.027602819
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2013,3500000.0,6571134.74107592
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2014,4000000.0,7244878.380016977
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2015,5500000.0,9330403.634298695
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2016,6000090.0,9625616.189616583
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2017,8865000000.0,13662571163.84647
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2018,12046000000.0,17993264388.800003
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2019,9000000000.0,12951267052.02312
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2020,12981518000.0,18383257110.381496
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2021,9018383000.0,12091261217.48712
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2022,16606990261.0,19682673904.88855
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2023,13000000000.0,14099815858.263145
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE INDUSTRIA Y COMERCIO,2024,12000000000.0,12372000000.000002
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE LOTERIAS FORANEAS,2021,1085869633.0,1455863360.5092921
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE LOTERIAS FORANEAS,2024,104192000.0,107421952.00000001
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE LOTERÍAS FORÁNEAS,2013,180000.0,337944.07239819015
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE LOTERÍAS FORÁNEAS,2019,139932194.0,201366579.29661193
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE LOTERÍAS FORÁNEAS,2020,240002000.0,339869225.8490709
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE REGISTRO,2012,687769.0,1316245.1745588724
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE REGISTRO,2013,601797.0,1129854.0496500758
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE REGISTRO,2014,631890.0,1144491.5498872318
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE REGISTRO,2015,705000.0,1195988.102214651
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE REGISTRO,2016,740250.0,1187542.5842551822
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",88000,Catalina,IMPUESTO DE REGISTRO,2017,701000000.0,1080368007.4288073
