Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
8,ATLÁNTICO,8000,Atlantico,DEGÜELLO DE GANADO MAYOR,2012,897769100.0,1718141186.5656374
8,ATLÁNTICO,8000,Atlantico,DEGÜELLO DE GANADO MAYOR,2013,941100580.0,1766885347.4527707
8,ATLÁNTICO,8000,Atlantico,DEGÜELLO DE GANADO MAYOR,2014,947727710.0,1716542999.0805
8,ATLÁNTICO,8000,Atlantico,DEGÜELLO DE GANADO MAYOR,2015,1027655910.0,1743353534.085915
8,ATLÁNTICO,8000,Atlantico,DEGÜELLO DE GANADO MAYOR,2016,985707070.0,1581315935.4628892
8,ATLÁNTICO,8000,Atlantico,DEGÜELLO DE GANADO MAYOR,2017,1064563639.0,1640685445.7169616
8,ATLÁNTICO,8000,Atlantico,DEGÜELLO DE GANADO MAYOR,2018,1060521881.0,1584115108.329777
8,ATLÁNTICO,8000,Atlantico,DEGÜELLO DE GANADO MAYOR,2019,1145363631.0,1648212250.750652
8,ATLÁNTICO,8000,Atlantico,DEGÜELLO DE GANADO MAYOR,2020,1332000000.0,1886258484.6416383
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2012,567453580.0,1085986772.391831
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2013,151070850.0,283630545.942534
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2014,469625360.0,850594654.3429223
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2015,393647980.0,667799007.8593346
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2016,284129910.0,455814073.06395453
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2017,38675910.0,59606584.62510111
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2018,78949668.0,117928129.64735043
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2019,95712664.0,137733363.52495107
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2020,58815494.0,83289207.64706409
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2021,67133088.0,90007676.91331694
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2022,107929026.0,127917930.35605238
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2023,105653649.0,114592076.58873601
8,ATLÁNTICO,8000,Atlantico,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2024,84441000.0,87058671.0
8,ATLÁNTICO,8000,Atlantico,IMPUESTO AL CONSUMO CERVEZA,2012,84144939110.0,161035711215.66635
8,ATLÁNTICO,8000,Atlantico,IMPUESTO AL CONSUMO CERVEZA,2013,91195228770.0,171216038854.54663
8,ATLÁNTICO,8000,Atlantico,IMPUESTO AL CONSUMO CERVEZA,2014,96706979040.0,175157575410.91272
8,ATLÁNTICO,8000,Atlantico,IMPUESTO AL CONSUMO CERVEZA,2015,103466271070.0,175524013021.61127
8,ATLÁNTICO,8000,Atlantico,IMPUESTO AL CONSUMO CERVEZA,2016,117556331190.0,188589191944.51965
8,ATLÁNTICO,8000,Atlantico,IMPUESTO AL CONSUMO CERVEZA,2017,124848964880.0,192414875059.84982
8,ATLÁNTICO,8000,Atlantico,IMPUESTO AL CONSUMO CERVEZA,2018,128574453124.0,192053306384.31885
8,ATLÁNTICO,8000,Atlantico,IMPUESTO AL CONSUMO CERVEZA,2019,132834733000.0,191153122318.5765
8,ATLÁNTICO,8000,Atlantico,IMPUESTO AL CONSUMO CERVEZA,2020,139010881130.0,196854695186.91644
8,ATLÁNTICO,8000,Atlantico,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,202497465962.0,271495428484.87903
