Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO CERVEZA,2012,274102188.0,524573922.7720774
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO CERVEZA,2013,278959536.0,523737342.3897196
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO CERVEZA,2014,301912030.0,546828984.7035092
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO CERVEZA,2015,296167585.0,502429656.6264487
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO CERVEZA,2016,310708909.0,498453307.3218078
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO CERVEZA,2017,359537265000.0,554112066454.2839
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO CERVEZA,2018,357342430000.0,533766961674.1041
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO CERVEZA,2019,378257913201.0,544324360934.12585
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO CERVEZA,2020,427142400000.0,604880612725.3698
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,342726353000.0,459505197355.1911
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,357928383000.0,424218207704.8341
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,476657974000.0,516983820059.44476
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,439951804000.0,453590309924.00006
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,33351123.0,63827033.080684684
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,30208028.0,56714577.785769746
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,27106647.0,49096090.20126301
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,23675581.0,40164132.18300603
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,56756207.0,91050878.39689572
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,70214812000.0,108213746836.55963
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,207706952201.0,310254533151.62195
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2019,284696472636.0,409686671764.20325
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2020,294306768000.0,416770749420.0137
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2021,231712107000.0,310664518571.8244
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2022,255053449000.0,302290408200.7833
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2023,247090644000.0,267994813899.97333
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2024,283384569000.0,292169490639.0
11,"BOGOTÁ, D.C.",11001,Bogota d.c.,IMPUESTO DE INDUSTRIA Y COMERCIO,2012,2512614820.0,4808616166.692756
