Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
13,BOLÍVAR,13000,Bolivar,DEGÜELLO DE GANADO MAYOR,2012,1495686.0,2862428.344626265
13,BOLÍVAR,13000,Bolivar,DEGÜELLO DE GANADO MAYOR,2013,1606111.0,3015420.5114640533
13,BOLÍVAR,13000,Bolivar,DEGÜELLO DE GANADO MAYOR,2014,1722844.0,3120448.811935492
13,BOLÍVAR,13000,Bolivar,DEGÜELLO DE GANADO MAYOR,2015,1337882.0,2269632.5591023285
13,BOLÍVAR,13000,Bolivar,DEGÜELLO DE GANADO MAYOR,2016,1370306.0,2198306.961783697
13,BOLÍVAR,13000,Bolivar,DEGÜELLO DE GANADO MAYOR,2017,1430000000.0,2203889087.9075527
13,BOLÍVAR,13000,Bolivar,DEGÜELLO DE GANADO MAYOR,2018,1285297741.0,1919865687.5427852
13,BOLÍVAR,13000,Bolivar,DEGÜELLO DE GANADO MAYOR,2019,1093645708.0,1573788624.9563222
13,BOLÍVAR,13000,Bolivar,DEGÜELLO DE GANADO MAYOR,2020,1037931967.0,1469825810.2361374
13,BOLÍVAR,13000,Bolivar,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2017,326949657.0,503888658.2919001
13,BOLÍVAR,13000,Bolivar,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2018,256186634.0,382669254.39471525
13,BOLÍVAR,13000,Bolivar,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2019,345519394.0,497212660.3719106
13,BOLÍVAR,13000,Bolivar,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2020,149248692.0,211352561.26626623
13,BOLÍVAR,13000,Bolivar,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2021,201723535.0,270457792.20065343
13,BOLÍVAR,13000,Bolivar,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2022,328405556.0,389227630.39618886
13,BOLÍVAR,13000,Bolivar,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2023,243352446.0,263940359.7890712
