Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
15,BOYACÁ,15000,Boyaca,DEGÜELLO DE GANADO MAYOR,2012,1065000000.0,2038185947.4695706
15,BOYACÁ,15000,Boyaca,DEGÜELLO DE GANADO MAYOR,2013,1106893000.0,2078155156.2724993
15,BOYACÁ,15000,Boyaca,DEGÜELLO DE GANADO MAYOR,2014,1275000000.0,2309304983.630411
15,BOYACÁ,15000,Boyaca,DEGÜELLO DE GANADO MAYOR,2015,1600000000.0,2714299239.0687113
15,BOYACÁ,15000,Boyaca,DEGÜELLO DE GANADO MAYOR,2016,1700000000.0,2727217012.1361833
15,BOYACÁ,15000,Boyaca,DEGÜELLO DE GANADO MAYOR,2017,1600000000.0,2465889888.567891
15,BOYACÁ,15000,Boyaca,DEGÜELLO DE GANADO MAYOR,2018,1264880295.0,1889367887.1092763
15,BOYACÁ,15000,Boyaca,DEGÜELLO DE GANADO MAYOR,2019,1329000000.0,1912470434.682081
15,BOYACÁ,15000,Boyaca,DEGÜELLO DE GANADO MAYOR,2020,1329000000.0,1882010154.7212744
15,BOYACÁ,15000,Boyaca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2012,4309193000.0,8246888842.7551565
15,BOYACÁ,15000,Boyaca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2013,3554107000.0,6672718851.771747
15,BOYACÁ,15000,Boyaca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2014,3803419000.0,6888827020.811447
15,BOYACÁ,15000,Boyaca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2015,4482999000.0,7605125484.028622
15,BOYACÁ,15000,Boyaca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2016,4530944000.0,7268745622.256686
15,BOYACÁ,15000,Boyaca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2017,4749468741.0,7319791840.313231
15,BOYACÁ,15000,Boyaca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2018,6050131158.0,9037158352.383425
15,BOYACÁ,15000,Boyaca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2019,12410486000.0,17859057603.488247
15,BOYACÁ,15000,Boyaca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2020,7180508880.0,10168390239.447918
15,BOYACÁ,15000,Boyaca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2021,11674579861.0,15652517164.525555
