Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
17,CALDAS,17000,Caldas,DEGÜELLO DE GANADO MAYOR,2012,644370.0,1233188.6187520819
17,CALDAS,17000,Caldas,DEGÜELLO DE GANADO MAYOR,2013,664474.0,1247528.0531261945
17,CALDAS,17000,Caldas,DEGÜELLO DE GANADO MAYOR,2014,740019.0,1340336.9134754457
17,CALDAS,17000,Caldas,DEGÜELLO DE GANADO MAYOR,2015,850000.0,1441971.470755253
17,CALDAS,17000,Caldas,DEGÜELLO DE GANADO MAYOR,2016,438600.0,703621.9891311353
17,CALDAS,17000,Caldas,DEGÜELLO DE GANADO MAYOR,2017,469302000.0,723279410.3029302
17,CALDAS,17000,Caldas,DEGÜELLO DE GANADO MAYOR,2018,2492000000.0,3722332297.600001
17,CALDAS,17000,Caldas,DEGÜELLO DE GANADO MAYOR,2019,2571744000.0,3700815925.9375725
17,CALDAS,17000,Caldas,DEGÜELLO DE GANADO MAYOR,2020,2387308807.0,3380691811.308902
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2012,1324315.0,2534460.303308136
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2013,1364040.0,2560940.180633485
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2014,1404961.0,2544692.8934167577
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2015,1448000.0,2456440.811357184
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2016,1491440.0,2392635.6121061114
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2017,1536000000.0,2367254293.025175
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2018,1616475627.0,2414550334.9379263
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2019,1664969896.0,2395941084.075018
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2020,1374599146.0,1946583560.1528904
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2021,1416000000.0,1898480679.2927027
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2022,1180478056.0,1399107500.092293
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2023,2099184227.0,2276777773.328497
17,CALDAS,17000,Caldas,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2024,1227674402.0,1265732308.4620001
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO CERVEZA,2012,16410427.0,31406104.885798335
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO CERVEZA,2013,16562893.0,31096286.17286376
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO CERVEZA,2014,16497368.0,29880356.18759598
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO CERVEZA,2015,17509000.0,29702915.860533793
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO CERVEZA,2016,18966104.0,30426283.225143597
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO CERVEZA,2017,22370000000.0,34476223004.539825
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO CERVEZA,2018,23152950000.0,34583857772.76001
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO CERVEZA,2019,24469846740.0,35212835539.09082
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO CERVEZA,2020,17923794668.0,25382064391.508675
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,27223441883.0,36499419801.35823
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,28040145139.0,33233296602.38204
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,28587862763.0,31006430826.122913
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,31472230482.0,32447869626.942
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,14108266.0,27000253.055739652
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,15153226.0,28449682.80227854
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,16432551.0,29762958.367106587
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,19993089.0,33917016.41208314
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,21267281.0,34117935.614753306
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,31440772822.0,48455927369.08122
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,34118083700.0,50962618334.16137
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2019,42624389987.0,61337761961.24637
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2020,44425326542.0,62911147990.107254
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2021,57688067154.0,77344407427.68994
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2022,54890364275.0,65056287958.60527
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2023,61385820353.0,66579135637.36322
17,CALDAS,17000,Caldas,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2024,70417000000.0,72599927000.0
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2012,22650189.0,43347696.64538014
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2013,24378808.0,45770409.19851987
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2014,28472622.0,51570170.88754893
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2015,29014999.0,49222118.56704964
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2016,29208784.0,46858054.487418324
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2017,52391257500.0,80744420074.12918
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2018,51199569513.0,76477452336.05788
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2019,48149695018.0,69288839850.17613
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2020,37838806290.0,53583910970.88881
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2021,52212680123.0,70003364708.76105
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2022,60912471792.0,72193714826.1123
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2023,4815808630.0,5223231914.741116
17,CALDAS,17000,Caldas,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2024,5004606661.0,5159749467.491001
17,CALDAS,17000,Caldas,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2021,3021696000.0,4051293414.333363
17,CALDAS,17000,Caldas,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2022,2564757168.0,3039760859.1076336
17,CALDAS,17000,Caldas,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2023,2735543473.0,2966973787.813357
17,CALDAS,17000,Caldas,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2024,3163328506.0,3261391689.6860003
17,CALDAS,17000,Caldas,IMPUESTO DE LOTERIAS FORANEAS,2021,914572841.0,1226199765.8505204
