Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
85,CASANARE,85000,Casanare,DEGÜELLO DE GANADO MAYOR,2015,500000000.0,848218512.2089723
85,CASANARE,85000,Casanare,DEGÜELLO DE GANADO MAYOR,2016,300000000.0,481273590.3769735
85,CASANARE,85000,Casanare,DEGÜELLO DE GANADO MAYOR,2017,550000000.0,847649649.1952125
85,CASANARE,85000,Casanare,DEGÜELLO DE GANADO MAYOR,2018,500000000.0,746856400.0000001
85,CASANARE,85000,Casanare,DEGÜELLO DE GANADO MAYOR,2019,800000000.0,1151223737.9576108
85,CASANARE,85000,Casanare,DEGÜELLO DE GANADO MAYOR,2020,600000000.0,849665984.07281
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO CERVEZA,2012,34017852000.0,65103012121.595894
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO CERVEZA,2013,35000000000.0,65711347410.75919
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO CERVEZA,2014,35800000000.0,64841661501.15194
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO CERVEZA,2015,36000000000.0,61071732879.046005
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO CERVEZA,2016,36000000000.0,57752830845.236824
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO CERVEZA,2017,36000000000.0,55482522492.77754
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO CERVEZA,2018,36700000000.0,54819259760.00001
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO CERVEZA,2019,36076440000.0,51915067636.25433
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO CERVEZA,2020,31806137735.26,45040988863.975044
85,CASANARE,85000,Casanare,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,40628136512.0,54471562290.74747
85,CASANARE,85000,Casanare,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,47672482602.0,56501624589.68873
85,CASANARE,85000,Casanare,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,55770000000.0,60488210031.94889
85,CASANARE,85000,Casanare,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,55000000000.0,56705000000.00001
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,3029285000.0,5797414195.192825
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,3587000000.0,6734474376.068378
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,3937000000.0,7130771545.531709
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,3257446000.0,5526051999.442136
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,3013607000.0,4834564869.583933
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,4379222752.0,6749175689.964533
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,6271870029.0,9368372542.253674
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2019,8582883989.62,12351024736.233585
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2020,6365102998.0,9013685837.534105
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2021,9969000000.0,13365786646.800108
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2022,13282655000.0,15742657931.82893
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2023,11274935000.0,12228808254.914322
85,CASANARE,85000,Casanare,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2024,15455000000.0,15934105000.000002
85,CASANARE,85000,Casanare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2012,5162054000.0,9879085373.595387
85,CASANARE,85000,Casanare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2013,5300000000.0,9950575465.057821
85,CASANARE,85000,Casanare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2014,5512000000.0,9983442407.663395
85,CASANARE,85000,Casanare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2015,5710009000.0,9686670677.359684
85,CASANARE,85000,Casanare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2016,4700000000.0,7539952915.905918
85,CASANARE,85000,Casanare,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2017,4100000000.0,6318842839.45522
