Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
20,CESAR,20000,Cesar,DEGÜELLO DE GANADO MAYOR,2012,457976.0,876469.7159420884
20,CESAR,20000,Cesar,DEGÜELLO DE GANADO MAYOR,2013,968671.0,1818647.9030779293
20,CESAR,20000,Cesar,DEGÜELLO DE GANADO MAYOR,2014,1705707.0,3089409.941735904
20,CESAR,20000,Cesar,DEGÜELLO DE GANADO MAYOR,2015,1485902.0,2520739.167456673
20,CESAR,20000,Cesar,DEGÜELLO DE GANADO MAYOR,2016,1280996.0,2055031.8139284719
20,CESAR,20000,Cesar,DEGÜELLO DE GANADO MAYOR,2017,1215685383.0,1873591433.5121775
20,CESAR,20000,Cesar,DEGÜELLO DE GANADO MAYOR,2018,1009506032.0,1507912081.6756098
20,CESAR,20000,Cesar,DEGÜELLO DE GANADO MAYOR,2019,1953468800.0,2811099567.3994603
20,CESAR,20000,Cesar,DEGÜELLO DE GANADO MAYOR,2020,1953468800.0,2766326650.5125523
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO CERVEZA,2012,40333872.0,77190545.65017502
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO CERVEZA,2013,39857958.0,74832003.57775567
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO CERVEZA,2014,44746420.0,81045592.71028982
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO CERVEZA,2015,48335739.0,81998537.2422024
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO CERVEZA,2016,49782261.0,79862958.2951786
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO CERVEZA,2017,50352172901.0,77601821264.9988
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO CERVEZA,2018,51634824799.0,77127598728.02374
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO CERVEZA,2019,56769053620.0,81692352635.91554
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO CERVEZA,2020,50632296932.0,71700900664.32417
20,CESAR,20000,Cesar,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,51189376833.0,68631386230.56778
20,CESAR,20000,Cesar,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,66693660196.0,79045603359.21266
20,CESAR,20000,Cesar,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,86629698093.0,93958676228.32538
20,CESAR,20000,Cesar,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,78951574698.0,81399073513.638
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,3676864.0,7036744.164842024
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,5847483.0,10978456.768328812
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,7335161.0,13285587.335710926
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,5915603.0,10035447.950957868
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,5163513.0,8283541.468227258
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,8011395558.0,12347012062.368698
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,6961155212.0,10397966642.951115
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2019,7048867212.0,10143529075.206854
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2020,9582586419.0,13569996199.4373
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2021,8335994783.0,11176359490.261486
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2022,6541843967.0,7753420668.976179
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2023,10696357636.0,11601282540.132835
20,CESAR,20000,Cesar,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2024,11920643252.0,12290183192.812
20,CESAR,20000,Cesar,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2012,8461356.0,16193255.301161818
20,CESAR,20000,Cesar,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2013,12322561.0,23135202.481750637
20,CESAR,20000,Cesar,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2014,9207878.0,16677489.062008489
20,CESAR,20000,Cesar,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2015,10381601.0,17611732.30913436
20,CESAR,20000,Cesar,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2016,10765392.0,17270329.53218516
20,CESAR,20000,Cesar,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2017,7855052214.0,12106058642.92214
20,CESAR,20000,Cesar,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2018,14834959805.0,22159169348.21401
20,CESAR,20000,Cesar,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2022,1997473034.0,2367413344.8707733
20,CESAR,20000,Cesar,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2021,2051148077.0,2750045900.1079664
20,CESAR,20000,Cesar,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2022,2553468800.0,3026381838.419932
20,CESAR,20000,Cesar,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2023,3709208515.0,4023012080.1078224
20,CESAR,20000,Cesar,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2024,3365888225.0,3470230759.9750004
20,CESAR,20000,Cesar,IMPUESTO DE LOTERIAS FORANEAS,2021,853789314.0,1144705167.2426345
20,CESAR,20000,Cesar,IMPUESTO DE LOTERIAS FORANEAS,2022,1058038657.0,1253991815.3262792
20,CESAR,20000,Cesar,IMPUESTO DE LOTERIAS FORANEAS,2023,1180320163.0,1280176688.622703
20,CESAR,20000,Cesar,IMPUESTO DE LOTERIAS FORANEAS,2024,1373898922.0,1416489788.582
20,CESAR,20000,Cesar,IMPUESTO DE LOTERÍAS FORÁNEAS,2012,936502.0,1792267.8086170403
20,CESAR,20000,Cesar,IMPUESTO DE LOTERÍAS FORÁNEAS,2013,854168.0,1603672.291290096
20,CESAR,20000,Cesar,IMPUESTO DE LOTERÍAS FORÁNEAS,2014,1006406.0,1822822.2677298414
20,CESAR,20000,Cesar,IMPUESTO DE LOTERÍAS FORÁNEAS,2015,929301.0,1576500.6232286203
20,CESAR,20000,Cesar,IMPUESTO DE LOTERÍAS FORÁNEAS,2016,848589.0,1361344.9159480187
20,CESAR,20000,Cesar,IMPUESTO DE LOTERÍAS FORÁNEAS,2017,941935834.0,1451693780.462727
20,CESAR,20000,Cesar,IMPUESTO DE LOTERÍAS FORÁNEAS,2018,965908045.0,1442789210.4394763
20,CESAR,20000,Cesar,IMPUESTO DE LOTERÍAS FORÁNEAS,2019,868793320.0,1250219366.7037535
20,CESAR,20000,Cesar,IMPUESTO DE LOTERÍAS FORÁNEAS,2020,868432079.0,1229795328.3398855
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2012,7249815.0,13874620.7086893
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2013,7415542.0,13922435.902887888
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2014,10367230.0,18777330.12191585
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2015,10927086.0,18537113.259398982
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2016,10542074.0,16912072.679999143
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2017,12794677256.29,19718915796.109425
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2018,13081017126.0,19539282718.125416
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2019,12985660335.6,18686750539.246643
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2020,13790296301.0,19528576128.74133
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2021,10694561818.0,14338572729.501724
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2022,15793767186.0,18718838535.228264
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2023,13871838748.0,15045413227.870737
20,CESAR,20000,Cesar,IMPUESTO DE REGISTRO,2024,17827119954.0,18379760672.574
20,CESAR,20000,Cesar,IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2021,11598924634.0,15551083558.065807
20,CESAR,20000,Cesar,IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2022,12165952674.0,14419137692.095556
20,CESAR,20000,Cesar,IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2023,18725011010.0,20309169783.45769
20,CESAR,20000,Cesar,IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2024,18383855503.0,18953755023.593002
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2012,132151787.0,252910718.4942647
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2013,105907921.0,198838634.01092115
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2014,93507114.0,169361917.14909568
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2015,113542155.0,192617115.57420105
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2016,85252918.0,136766593.11991236
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2017,87313586192.01,134566055828.42404
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2018,88581940928.28,132315979013.41574
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2019,107432792719.94,154598976517.84314
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2020,105540769014.64,149457335607.70874
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2021,487432117131.0,653517271779.6194
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2022,455325577998.0,539653768168.6987
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2023,215526145074.0,233759919860.36218
20,CESAR,20000,Cesar,OTRAS TRANSFERENCIAS,2024,117502233535.0,121144802774.58502
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2012,15304896.0,29290351.131157976
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2013,8629587.0,16201765.410524892
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2014,5758891.0,10430616.224693587
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2015,5933715.0,10066173.818344124
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2016,5821779.0,9339561.605704222
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2017,10429705290.0,16074065509.596275
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2018,6430518892.0,9605348379.62222
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2019,19847878656.0,28561686321.11175
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2020,30339623584.0,42964243548.16333
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2021,43990726087.0,58979903632.92866
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2022,65874909921.0,78075217129.13171
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2023,72035561461.0,78129857834.36133
20,CESAR,20000,Cesar,OTROS INGRESOS NO TRIBUTARIOS,2024,79998755517.0,82478716938.02701
20,CESAR,20000,Cesar,OTROS INGRESOS TRIBUTARIOS,2012,32685179.0,62552556.36462677
