Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
27,CHOCÓ,27000,Choco,DEGÜELLO DE GANADO MAYOR,2012,162466000.0,310925744.7338885
27,CHOCÓ,27000,Choco,DEGÜELLO DE GANADO MAYOR,2013,161000000.0,302272198.0894923
27,CHOCÓ,27000,Choco,DEGÜELLO DE GANADO MAYOR,2014,211266000.0,382649118.95816666
27,CHOCÓ,27000,Choco,DEGÜELLO DE GANADO MAYOR,2015,61736000.0,104731236.13946623
27,CHOCÓ,27000,Choco,DEGÜELLO DE GANADO MAYOR,2016,213960000.0,343244324.6568575
27,CHOCÓ,27000,Choco,DEGÜELLO DE GANADO MAYOR,2017,224871916.0,346568364.92955506
27,CHOCÓ,27000,Choco,DEGÜELLO DE GANADO MAYOR,2018,0.0,0.0
27,CHOCÓ,27000,Choco,DEGÜELLO DE GANADO MAYOR,2019,253784400.0,365203282.00416183
27,CHOCÓ,27000,Choco,DEGÜELLO DE GANADO MAYOR,2020,0.0,0.0
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO CERVEZA,2012,12387921000.0,23707874648.41614
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO CERVEZA,2013,12673100000.0,23793327910.608353
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO CERVEZA,2014,13738516000.0,24883469385.47933
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO CERVEZA,2015,14744826000.0,25013668745.000343
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO CERVEZA,2016,17685048000.0,28371155156.497047
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO CERVEZA,2017,18586984668.0,28645910969.86726
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO CERVEZA,2018,19561926320.0,29219899736.840904
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO CERVEZA,2019,22251368116.920002,32020378972.789307
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO CERVEZA,2020,12350635700.0,17489858393.275463
27,CHOCÓ,27000,Choco,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,19923846959.0,26712597816.981754
27,CHOCÓ,27000,Choco,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,24754358060.0,29338968094.902145
27,CHOCÓ,27000,Choco,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,30685993707.0,33282066207.424744
27,CHOCÓ,27000,Choco,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,33085820689.0,34111481130.359005
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,7482222000.0,14319398813.37809
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,5602010000.0,10517589294.529919
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,6817453000.0,12347904461.620468
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,8096222000.0,13734730758.7071
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,6683317000.0,10721679894.058212
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,6587326177.0,10152263132.851799
27,CHOCÓ,27000,Choco,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,10808164767.0,16144294056.97692
