Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
23,CÓRDOBA,23000,Cordoba,DEGÜELLO DE GANADO MAYOR,2012,5476562.0,10480987.520043049
23,CÓRDOBA,23000,Cordoba,DEGÜELLO DE GANADO MAYOR,2013,5968660.5,11205963.534067877
23,CÓRDOBA,23000,Cordoba,DEGÜELLO DE GANADO MAYOR,2014,4639367.0,8402912.418816056
23,CÓRDOBA,23000,Cordoba,DEGÜELLO DE GANADO MAYOR,2015,4927000.0,8358345.219307213
23,CÓRDOBA,23000,Cordoba,DEGÜELLO DE GANADO MAYOR,2016,5056918.48,8112537.710377559
23,CÓRDOBA,23000,Cordoba,DEGÜELLO DE GANADO MAYOR,2017,5869608872.0,9046130729.57074
23,CÓRDOBA,23000,Cordoba,DEGÜELLO DE GANADO MAYOR,2018,8351463315.0,12474687652.345934
23,CÓRDOBA,23000,Cordoba,DEGÜELLO DE GANADO MAYOR,2019,10458613297.0,15050254867.031889
23,CÓRDOBA,23000,Cordoba,DEGÜELLO DE GANADO MAYOR,2020,7716977021.0,10928088124.358711
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2012,183302.0,350801.4652986547
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2013,59302.21,111337.9463867371
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2014,60000.0,108673.17570025465
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2015,118330.0,200739.3930993754
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2016,60448.78,96974.67128169263
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2017,229436280.0,353602876.82664466
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2018,74153816.0,110764504.12804483
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2019,63981148.0,92070770.44922389
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2020,46151628.0,65355780.70197042
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2021,129402086.0,173493898.39772084
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2022,137347704.0,162785069.83687314
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2023,103766190.0,112544936.25488819
23,CÓRDOBA,23000,Cordoba,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2024,110540526.0,113967282.30600001
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO CERVEZA,2012,43598979.0,83439273.54161589
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO CERVEZA,2013,43551873.08,81767207.4956906
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO CERVEZA,2014,46990359.519999996,85109859.93891823
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO CERVEZA,2015,52015213.440000005,88240533.91261788
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO CERVEZA,2016,62124804.64,99663425.93520287
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO CERVEZA,2017,65263796789.0,100583335369.71542
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO CERVEZA,2018,68073799168.0,101682705161.87097
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO CERVEZA,2019,73338717604.0,105536590771.36813
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO CERVEZA,2020,58991722000.0,83538765875.46606
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,98508440393.0,132073708215.6549
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,100866446159.0,119547331364.12692
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,103182113565.0,111911446240.99197
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,107350649977.0,110678520126.287
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,12108261.0,23172664.242717233
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,9398084.4,17644593.971543897
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,8296683.97,15027116.580021603
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,9497294.83,16111562.58142513
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,11451188.860000001,18370515.922456674
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,16234115319.0,25019713009.3545
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,17781790500.0,26560888076.768406
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2019,15461873795.0,22250095182.63591
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2020,21749101823.0,30799120005.231735
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2021,18941738405.0,25395850560.811493
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2022,17489601069.0,20728747904.19661
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2023,22954778807.0,24896781095.835487
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2024,22283637271.0,22974430026.401
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2012,20813235.0,39832153.1440205
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2013,20786461.51,39025896.96354241
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2014,25796176.59,46722540.51599777
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2015,17645721.34,29934855.003737826
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2016,21263688.89,34112172.98916421
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2017,22919321189.0,35322826482.99682
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2018,22075876753.0,32975019677.178547
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2019,22560732031.0,32465562824.734776
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2020,21073575696.0,29842500719.45782
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2021,45280884529.0,60709664138.12878
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2022,54753111687.0,64893615620.64707
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2023,70271968459.0,76217062713.04428
23,CÓRDOBA,23000,Cordoba,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2024,65887660425.0,67930177898.175
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2021,8215532545.0,11014851558.462503
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2022,7922346801.0,9389598367.605137
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2023,7882836408.0,8549733984.124038
23,CÓRDOBA,23000,Cordoba,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2024,7961144034.0,8207939499.054001
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERIAS FORANEAS,2021,2545387096.0,3412689423.076949
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERIAS FORANEAS,2022,1633644202.0,1936201900.478605
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERIAS FORANEAS,2023,969445813.0,1051462111.3741698
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERIAS FORANEAS,2024,1032241299.0,1064240779.269
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERÍAS FORÁNEAS,2012,599657.0,1147617.3433819346
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERÍAS FORÁNEAS,2013,918060.83,1723628.9755525696
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERÍAS FORÁNEAS,2014,832595.13,1508012.614161106
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERÍAS FORÁNEAS,2015,919788.78,1560363.7410362116
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERÍAS FORÁNEAS,2016,951981.39,1527211.6717912063
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERÍAS FORÁNEAS,2017,1184539793.0,1825590436.3531265
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERÍAS FORÁNEAS,2018,1172738999.0,1751735253.8654876
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERÍAS FORÁNEAS,2019,2147073346.0,3089702253.814093
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE LOTERÍAS FORÁNEAS,2020,827714754.0,1172135118.3149898
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2012,8026289.0,15360628.591670979
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2013,9959355.84,18698362.6168461
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2014,11565259.91,20947225.37030902
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2015,12487000.0,21183409.123906873
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2016,14560570.25,23358726.407178823
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2017,14759129211.0,22746492178.419933
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2018,14945634955.0,22324486236.410927
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2019,16887414700.0,24301490844.21788
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2020,14214504751.0,20129301945.61008
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2021,16501266131.0,22123824105.628918
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2022,17839117626.0,21142996380.752056
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2023,19991453118.0,21682754438.68466
23,CÓRDOBA,23000,Cordoba,IMPUESTO DE REGISTRO,2024,21787912072.0,22463337346.232002
23,CÓRDOBA,23000,Cordoba,IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2021,20151046767.0,27017212538.611004
23,CÓRDOBA,23000,Cordoba,IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2022,22764906460.0,26981061786.95921
23,CÓRDOBA,23000,Cordoba,IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2023,25115851924.0,27240683634.75416
23,CÓRDOBA,23000,Cordoba,IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2024,26544205934.0,27367076317.954002
23,CÓRDOBA,23000,Cordoba,OTRAS TRANSFERENCIAS,2012,115269731.0,220602014.92281458
23,CÓRDOBA,23000,Cordoba,OTRAS TRANSFERENCIAS,2013,83142640.23,156097569.05146554
23,CÓRDOBA,23000,Cordoba,OTRAS TRANSFERENCIAS,2014,191202187.10999998,346309147.90129995
23,CÓRDOBA,23000,Cordoba,OTRAS TRANSFERENCIAS,2015,17259360.830000002,29279418.729800828
23,CÓRDOBA,23000,Cordoba,OTRAS TRANSFERENCIAS,2016,21583162.95,34624687.748792574
