Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2012,486124000.0,930339066.2231902
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2013,527080000.0,989575342.6646559
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2014,3065773140.0,5552788385.00569
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2015,478900000.0,812423690.9937537
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2016,680000000.0,1090886804.8544734
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2017,495500000.0,763655274.8658687
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2018,726300000.0,1084883606.64
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2019,700700000.0,1008328091.4836223
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2020,610700000.0,864818360.7887752
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2021,527200000.0,706835461.9513508
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2022,773698310.0,916990453.8485821
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2023,679000000.0,736444228.2892827
41,HUILA,41000,Huila,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2024,753271950.0,776623380.45
41,HUILA,41000,Huila,IMPUESTO AL CONSUMO CERVEZA,2012,32980406000.0,63117558733.37194
41,HUILA,41000,Huila,IMPUESTO AL CONSUMO CERVEZA,2013,34069288460.0,63963967143.78369
