Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
44,LA GUAJIRA,44000,Guajira,DEGÜELLO DE GANADO MAYOR,2012,97164.0,185951.45483561818
44,LA GUAJIRA,44000,Guajira,DEGÜELLO DE GANADO MAYOR,2013,102994.0,193367.84329210664
44,LA GUAJIRA,44000,Guajira,DEGÜELLO DE GANADO MAYOR,2014,110530.0,200194.1018358191
44,LA GUAJIRA,44000,Guajira,DEGÜELLO DE GANADO MAYOR,2015,105761.0,179416.87613946624
44,LA GUAJIRA,44000,Guajira,DEGÜELLO DE GANADO MAYOR,2016,228798.0,367048.1164369026
44,LA GUAJIRA,44000,Guajira,DEGÜELLO DE GANADO MAYOR,2017,163170771.0,251475721.44920427
44,LA GUAJIRA,44000,Guajira,DEGÜELLO DE GANADO MAYOR,2018,164000000.0,244968899.20000005
44,LA GUAJIRA,44000,Guajira,DEGÜELLO DE GANADO MAYOR,2019,164000000.0,236000866.2813102
44,LA GUAJIRA,44000,Guajira,DEGÜELLO DE GANADO MAYOR,2020,83500000.0,118245182.78346607
44,LA GUAJIRA,44000,Guajira,IMPUESTO AL CONSUMO CERVEZA,2012,17285370.0,33080561.71907239
44,LA GUAJIRA,44000,Guajira,IMPUESTO AL CONSUMO CERVEZA,2013,18268356.0,34298236.792555064
44,LA GUAJIRA,44000,Guajira,IMPUESTO AL CONSUMO CERVEZA,2014,16895109.0,30600752.48053256
44,LA GUAJIRA,44000,Guajira,IMPUESTO AL CONSUMO CERVEZA,2015,16618714.0,28192601.727812838
44,LA GUAJIRA,44000,Guajira,IMPUESTO AL CONSUMO CERVEZA,2016,19826800.0,31807050.738953926
44,LA GUAJIRA,44000,Guajira,IMPUESTO AL CONSUMO CERVEZA,2017,19514183838.0,30074892881.111977
44,LA GUAJIRA,44000,Guajira,IMPUESTO AL CONSUMO CERVEZA,2018,15767480296.0,23552087141.88299
44,LA GUAJIRA,44000,Guajira,IMPUESTO AL CONSUMO CERVEZA,2019,19350000000.0,27845224161.84971
