Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
47,MAGDALENA,47000,Magdalena,DEGÜELLO DE GANADO MAYOR,2012,517273000.0,989951699.1600256
47,MAGDALENA,47000,Magdalena,DEGÜELLO DE GANADO MAYOR,2013,534285000.0,1003102492.8959279
47,MAGDALENA,47000,Magdalena,DEGÜELLO DE GANADO MAYOR,2014,560226000.0,1014692308.8308477
47,MAGDALENA,47000,Magdalena,DEGÜELLO DE GANADO MAYOR,2015,552833000.0,937846369.5200456
47,MAGDALENA,47000,Magdalena,DEGÜELLO DE GANADO MAYOR,2016,536299000.0,860355150.8186017
47,MAGDALENA,47000,Magdalena,DEGÜELLO DE GANADO MAYOR,2017,545400000.0,840560215.7655798
47,MAGDALENA,47000,Magdalena,DEGÜELLO DE GANADO MAYOR,2018,556549049.0,831324438.3191273
47,MAGDALENA,47000,Magdalena,DEGÜELLO DE GANADO MAYOR,2019,573894856.0,825851726.648706
47,MAGDALENA,47000,Magdalena,DEGÜELLO DE GANADO MAYOR,2020,557250480.0,789127962.4404095
47,MAGDALENA,47000,Magdalena,IMPUESTO AL CONSUMO CERVEZA,2012,45360816000.0,86811058907.93695
47,MAGDALENA,47000,Magdalena,IMPUESTO AL CONSUMO CERVEZA,2013,47507631000.0,89194012722.94724
47,MAGDALENA,47000,Magdalena,IMPUESTO AL CONSUMO CERVEZA,2014,53955214000.0,97724740849.44733
47,MAGDALENA,47000,Magdalena,IMPUESTO AL CONSUMO CERVEZA,2015,58198138000.0,98729476055.38492
47,MAGDALENA,47000,Magdalena,IMPUESTO AL CONSUMO CERVEZA,2016,65846544000.0,105634008815.98454
47,MAGDALENA,47000,Magdalena,IMPUESTO AL CONSUMO CERVEZA,2017,69326859436.0,106845251055.87492
47,MAGDALENA,47000,Magdalena,IMPUESTO AL CONSUMO CERVEZA,2018,62901683000.0,93957049038.64241
47,MAGDALENA,47000,Magdalena,IMPUESTO AL CONSUMO CERVEZA,2019,62929869820.0,90557949954.2078
47,MAGDALENA,47000,Magdalena,IMPUESTO AL CONSUMO CERVEZA,2020,66218470100.0,93772635935.52075
47,MAGDALENA,47000,Magdalena,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,79854918755.0,107064279945.51976
47,MAGDALENA,47000,Magdalena,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,97160562075.0,115155102139.66681
47,MAGDALENA,47000,Magdalena,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,104065914272.0,112870017565.92296
