Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
50,META,50000,Meta,DEGÜELLO DE GANADO MAYOR,2012,1000000.0,1913789.6220371556
50,META,50000,Meta,DEGÜELLO DE GANADO MAYOR,2013,824000.0,1547032.8647561595
50,META,50000,Meta,DEGÜELLO DE GANADO MAYOR,2014,1237422.0,2241242.973689342
50,META,50000,Meta,DEGÜELLO DE GANADO MAYOR,2015,1348270.0,2287255.1469119824
50,META,50000,Meta,DEGÜELLO DE GANADO MAYOR,2016,1283380.0,2058856.3347266675
50,META,50000,Meta,DEGÜELLO DE GANADO MAYOR,2017,1336000000.0,2059018056.9541888
50,META,50000,Meta,DEGÜELLO DE GANADO MAYOR,2018,1250000000.0,1867141000.0000005
50,META,50000,Meta,DEGÜELLO DE GANADO MAYOR,2019,1348674258.0,1940782275.727459
50,META,50000,Meta,DEGÜELLO DE GANADO MAYOR,2020,1409364599.0,1995815264.8778605
50,META,50000,Meta,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2012,2121875.0,4060822.3542600893
50,META,50000,Meta,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2014,2155790.0,3904609.0907141995
50,META,50000,Meta,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2015,2516595.0,4269244.933465078
50,META,50000,Meta,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2016,2630000.0,4219165.142304801
50,META,50000,Meta,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2017,2928631808.0,4513552226.678438
50,META,50000,Meta,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2018,2238521725.0,3343708553.710581
50,META,50000,Meta,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2019,1923792748.0,2768394848.01038
50,META,50000,Meta,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2020,1689739440.0,2392856873.5237317
50,META,50000,Meta,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2021,1859172874.0,2492658037.2557106
50,META,50000,Meta,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2022,2941638215.0,3486441842.9855213
50,META,50000,Meta,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2023,132913205.0,144157824.27935234
50,META,50000,Meta,IMPUESTO AL CONSUMO CERVEZA,2012,50786000.0,97193719.74477899
50,META,50000,Meta,IMPUESTO AL CONSUMO CERVEZA,2013,52330490.0,98248771.67329314
50,META,50000,Meta,IMPUESTO AL CONSUMO CERVEZA,2014,56865471.0,102995855.35434559
50,META,50000,Meta,IMPUESTO AL CONSUMO CERVEZA,2015,52047007.0,88294469.68493994
50,META,50000,Meta,IMPUESTO AL CONSUMO CERVEZA,2016,68697700.0,110207962.43213405
50,META,50000,Meta,IMPUESTO AL CONSUMO CERVEZA,2017,74099000000.0,114199984283.1201
50,META,50000,Meta,IMPUESTO AL CONSUMO CERVEZA,2018,88103000000.0,131600578818.40004
50,META,50000,Meta,IMPUESTO AL CONSUMO CERVEZA,2019,77331225638.0,111281928299.77724
50,META,50000,Meta,IMPUESTO AL CONSUMO CERVEZA,2020,67183863705.0,95139739447.87062
50,META,50000,Meta,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,65928795912.0,88393040429.3529
