Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
52,NARIÑO,52000,Narino,DEGÜELLO DE GANADO MAYOR,2012,519598.0,994401.260031262
52,NARIÑO,52000,Narino,DEGÜELLO DE GANADO MAYOR,2013,558991.0,1049487.1942996485
52,NARIÑO,52000,Narino,DEGÜELLO DE GANADO MAYOR,2014,575939.0,1043152.0023271494
52,NARIÑO,52000,Narino,DEGÜELLO DE GANADO MAYOR,2015,614409.0,1042306.175735605
52,NARIÑO,52000,Narino,DEGÜELLO DE GANADO MAYOR,2016,624852.0,1002415.8849807755
52,NARIÑO,52000,Narino,DEGÜELLO DE GANADO MAYOR,2017,649845898.0,1001530268.1284506
52,NARIÑO,52000,Narino,DEGÜELLO DE GANADO MAYOR,2018,670609822.0,1001698474.9271218
52,NARIÑO,52000,Narino,DEGÜELLO DE GANADO MAYOR,2019,702873323.0,1011455567.7684339
52,NARIÑO,52000,Narino,DEGÜELLO DE GANADO MAYOR,2020,590522556.0,836244881.1015518
52,NARIÑO,52000,Narino,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2017,72358297.0,111517245.57893272
52,NARIÑO,52000,Narino,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2018,76848125.0,114789027.96850002
52,NARIÑO,52000,Narino,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2019,70445472.0,101373124.49753526
52,NARIÑO,52000,Narino,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2020,74188800.0,105059499.59863482
52,NARIÑO,52000,Narino,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2023,288855439.0,313292961.5044433
52,NARIÑO,52000,Narino,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2024,105437048.0,108705596.488
