Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
86,PUTUMAYO,86000,Putumayo,DEGÜELLO DE GANADO MAYOR,2012,147052000.0,281426591.4998078
86,PUTUMAYO,86000,Putumayo,DEGÜELLO DE GANADO MAYOR,2013,198767000.0,373178496.87983924
86,PUTUMAYO,86000,Putumayo,DEGÜELLO DE GANADO MAYOR,2014,443346000.0,802996962.5667516
86,PUTUMAYO,86000,Putumayo,DEGÜELLO DE GANADO MAYOR,2015,353620000.0,599894060.5746735
86,PUTUMAYO,86000,Putumayo,DEGÜELLO DE GANADO MAYOR,2016,236104000.0,378768732.60788316
86,PUTUMAYO,86000,Putumayo,DEGÜELLO DE GANADO MAYOR,2017,323293000.0,498253087.34048694
86,PUTUMAYO,86000,Putumayo,DEGÜELLO DE GANADO MAYOR,2018,335578134.0,501257354.1559153
86,PUTUMAYO,86000,Putumayo,DEGÜELLO DE GANADO MAYOR,2019,346316634.0,498359912.38797224
86,PUTUMAYO,86000,Putumayo,DEGÜELLO DE GANADO MAYOR,2020,357398766.29,506115957.44366854
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO CERVEZA,2012,7435539000.0,14230057372.45253
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO CERVEZA,2013,8457553000.0,15878777240.79739
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO CERVEZA,2014,9949954000.0,18021551654.19086
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO CERVEZA,2015,11798385000.0,20015217142.33731
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO CERVEZA,2016,11989892000.0,19234727903.573837
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO CERVEZA,2017,11398207674.45,17566703157.639496
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO CERVEZA,2018,12433470743.3,18572034397.692726
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO CERVEZA,2019,14711357324.26,21170079711.58084
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO CERVEZA,2020,14773850413.24,20921396916.51676
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,18149264959.0,24333353720.357037
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,19368987206.0,22956204167.76834
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,21064580912.0,22846670153.129593
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,20417143205.0,21050074644.355
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,1935917000.0,3704937863.725304
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,2230237000.0,4187196523.2951245
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,2490838000.0,4511454593.581182
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,2795761000.0,4742832471.823737
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,2963566000.0,4754286830.463753
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,4047992110.0,6238689258.15725
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,6516131005.22,9733228288.973982
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2019,7070276230.6,10174337288.230223
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2020,7235947556.190001,10246897501.715702
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2021,7734408064.0,10369791154.851467
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2022,7757372005.0,9194069553.463593
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2023,8355180502.0,9062038964.673124
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2024,9215546820.0,9501228771.42
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2012,101865000.0,194948179.84881487
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2013,112781000.0,211742613.4952238
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2014,204029000.0,369541322.7491209
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2015,57379000.0,97339860.02407724
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2016,181047000.0,290443799.05659974
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2017,1005446650.0,1549575454.830912
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2018,472686000.0,706057128.5808002
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2019,497124244.0,715376538.0087893
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2020,425524671.0,602589730.5541229
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2021,444810467.0,596372936.1205256
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2022,946818308.0,1122172995.2661607
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2023,658891897.0,714634955.2462835
86,PUTUMAYO,86000,Putumayo,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2024,883420475.0,910806509.7250001
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2021,391070433.0,524321794.6985391
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2022,334187417.0,396080316.09286493
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2023,256045152.0,277706884.2000767
86,PUTUMAYO,86000,Putumayo,IMPUESTO AL DEGÃ?ELLO DE GANADO MAYOR,2024,244344396.0,251919072.27600002
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERIAS FORANEAS,2021,118354180.0,158681584.7765048
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERIAS FORANEAS,2022,97942747.0,116082150.96489853
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERIAS FORANEAS,2023,143448016.0,155583893.14101425
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERIAS FORANEAS,2024,160409909.0,165382616.17900002
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERÍAS FORÁNEAS,2012,1000000.0,1913789.6220371556
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERÍAS FORÁNEAS,2013,2122000.0,3983985.120160886
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERÍAS FORÁNEAS,2014,2185000.0,3957514.8150842735
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERÍAS FORÁNEAS,2015,23338000.0,39591447.275865994
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERÍAS FORÁNEAS,2016,35426000.0,56831994.04231554
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERÍAS FORÁNEAS,2017,43529000.0,67086075.59966983
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERÍAS FORÁNEAS,2018,95878238.0,143214551.34204644
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERÍAS FORÁNEAS,2019,105280646.0,151501973.52839
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE LOTERÍAS FORÁNEAS,2020,115135112.74,163043981.4459434
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2012,817862000.0,1565215807.8585522
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2013,1395118000.0,2619288102.2001014
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2014,1355140000.0,2454456121.9740515
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2015,1543500000.0,2618450547.1890974
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2016,1467795000.0,2354703231.9578996
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2017,1396539000.0,2152319624.431696
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2018,1519035850.0,2269003292.80388
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2019,1567644997.0,2255887666.5461097
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2020,1556216622.38,2203773879.808279
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2021,1641923857.0,2201384688.830688
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2022,1483058122.0,1757726652.3648033
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2023,2067400891.0,2242305528.3314734
86,PUTUMAYO,86000,Putumayo,IMPUESTO DE REGISTRO,2024,2228806890.0,2297899903.59
86,PUTUMAYO,86000,Putumayo,IMPUESTO SOBRE VEHICULOS AUTOMOTORES,2021,1139317500.0,1527522783.4251862
