Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
68,SANTANDER,68000,Santander,DEGÜELLO DE GANADO MAYOR,2012,1795238620.0,3435709040.036305
68,SANTANDER,68000,Santander,DEGÜELLO DE GANADO MAYOR,2013,2001806220.0,3758325256.3268185
68,SANTANDER,68000,Santander,DEGÜELLO DE GANADO MAYOR,2014,2125292000.0,3849370515.50576
68,SANTANDER,68000,Santander,DEGÜELLO DE GANADO MAYOR,2015,2500001000.0,4241094257.481886
68,SANTANDER,68000,Santander,DEGÜELLO DE GANADO MAYOR,2016,2500000000.0,4010613253.141446
68,SANTANDER,68000,Santander,DEGÜELLO DE GANADO MAYOR,2017,1500000000.0,2311771770.5323977
68,SANTANDER,68000,Santander,DEGÜELLO DE GANADO MAYOR,2018,2500000000.0,3734282000.000001
68,SANTANDER,68000,Santander,DEGÜELLO DE GANADO MAYOR,2019,2500000000.0,3597574181.1175337
68,SANTANDER,68000,Santander,DEGÜELLO DE GANADO MAYOR,2020,3000000000.0,4248329920.3640504
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2012,1292000000.0,2472616191.672005
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2013,1600000000.0,3003947310.206135
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2014,1472375000.0,2666794451.194374
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2015,2150159000.0,3647609335.9854636
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2016,1003165000.0,1609322737.6350555
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2017,806803380.51,1243430186.288751
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2018,1083371002.85,1618245134.1058817
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2019,1101792002.4,1585511384.3184114
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2020,827296267.19,1171542494.9695897
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2021,1877296265.0,2516956700.8551226
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2022,1207342941.0,1430947873.4915059
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2023,1328077000.0,1440433934.2765033
68,SANTANDER,68000,Santander,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2024,1447604000.0,1492479724.0
68,SANTANDER,68000,Santander,IMPUESTO AL CONSUMO CERVEZA,2012,104390019000.0,199780535006.4615
68,SANTANDER,68000,Santander,IMPUESTO AL CONSUMO CERVEZA,2013,105479486910.0,198034263115.76105
