Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
70,SUCRE,70000,Sucre,DEGÜELLO DE GANADO MAYOR,2012,750000000.0,1435342216.5278666
70,SUCRE,70000,Sucre,DEGÜELLO DE GANADO MAYOR,2013,600000000.0,1126480241.3273005
70,SUCRE,70000,Sucre,DEGÜELLO DE GANADO MAYOR,2014,531000000.0,961757604.9472537
70,SUCRE,70000,Sucre,DEGÜELLO DE GANADO MAYOR,2015,800000000.0,1357149619.5343556
70,SUCRE,70000,Sucre,DEGÜELLO DE GANADO MAYOR,2016,900000000.0,1443820771.1309206
70,SUCRE,70000,Sucre,DEGÜELLO DE GANADO MAYOR,2017,900000000.0,1387063062.3194387
70,SUCRE,70000,Sucre,DEGÜELLO DE GANADO MAYOR,2018,945000000.0,1411558596.0000002
70,SUCRE,70000,Sucre,DEGÜELLO DE GANADO MAYOR,2019,945000000.0,1359883040.4624279
70,SUCRE,70000,Sucre,DEGÜELLO DE GANADO MAYOR,2020,766171367.0,1084982914.1841085
70,SUCRE,70000,Sucre,IMPUESTO AL CONSUMO CERVEZA,2012,22000000000.0,42103371684.81742
70,SUCRE,70000,Sucre,IMPUESTO AL CONSUMO CERVEZA,2013,23600000000.0,44308222825.54049
70,SUCRE,70000,Sucre,IMPUESTO AL CONSUMO CERVEZA,2014,25350000000.0,45914416733.35759
70,SUCRE,70000,Sucre,IMPUESTO AL CONSUMO CERVEZA,2015,29700000000.0,50384179625.21296
70,SUCRE,70000,Sucre,IMPUESTO AL CONSUMO CERVEZA,2016,31000000000.0,49731604338.95393
70,SUCRE,70000,Sucre,IMPUESTO AL CONSUMO CERVEZA,2017,36000000000.0,55482522492.77754
70,SUCRE,70000,Sucre,IMPUESTO AL CONSUMO CERVEZA,2018,43200000000.0,64528392960.000015
70,SUCRE,70000,Sucre,IMPUESTO AL CONSUMO CERVEZA,2019,45360000000.0,65274385942.19653
70,SUCRE,70000,Sucre,IMPUESTO AL CONSUMO CERVEZA,2020,34023595978.0,48181153597.23845
