Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
76,VALLE DEL CAUCA,76000,Cauca,DEGÜELLO DE GANADO MAYOR,2012,2205022.0,4219948.219963613
76,VALLE DEL CAUCA,76000,Cauca,DEGÜELLO DE GANADO MAYOR,2013,2837141.98,5326640.637183692
76,VALLE DEL CAUCA,76000,Cauca,DEGÜELLO DE GANADO MAYOR,2014,3259858.81,5904320.153619218
76,VALLE DEL CAUCA,76000,Cauca,DEGÜELLO DE GANADO MAYOR,2015,3233789.0,5485919.388755481
76,VALLE DEL CAUCA,76000,Cauca,DEGÜELLO DE GANADO MAYOR,2016,3466910.16,5561774.334058693
76,VALLE DEL CAUCA,76000,Cauca,DEGÜELLO DE GANADO MAYOR,2017,3814784838.0,5879274599.428937
76,VALLE DEL CAUCA,76000,Cauca,DEGÜELLO DE GANADO MAYOR,2018,3483242548.0,5202963979.452215
76,VALLE DEL CAUCA,76000,Cauca,DEGÜELLO DE GANADO MAYOR,2019,3653731053.0,5257827400.4080715
76,VALLE DEL CAUCA,76000,Cauca,DEGÜELLO DE GANADO MAYOR,2020,3803935800.0,5386791424.76132
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2012,2174480.57,4161498.348187438
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2013,2079474.08,3904144.1057871105
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2014,1975913.09,3578812.5066333846
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2015,2066140.14,3505076.6311320756
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2016,2066140.14,3314595.611332609
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2017,2559058570.0,3943972907.510004
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2018,2738192670.0,4090073440.045177
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2019,3451761669.0,4967187463.906226
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2020,3555314519.0,5034716349.124141
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2021,3137228125.0,4206191371.360291
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2022,2876401046.0,3409122479.0475197
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2023,2542900000.0,2758032441.9982576
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO A GANADORES DE SORTEOS ORDINARIOS Y EXTRAORDINARIOS,2024,2789600000.0,2876077600.0000005
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO AL CONSUMO CERVEZA,2012,86761195.02,166042674.62481773
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO AL CONSUMO CERVEZA,2013,91299120.29,171411091.7620824
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO AL CONSUMO CERVEZA,2014,102026469.04,184792339.93434188
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO AL CONSUMO CERVEZA,2015,107436322.35,182258955.0018411
76,VALLE DEL CAUCA,76000,Cauca,IMPUESTO AL CONSUMO CERVEZA,2016,124145133.95,199159247.81315604
