Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO CERVEZA,2012,682525000.0,1306209261.7809095
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO CERVEZA,2013,410468000.0,770640152.8285573
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO CERVEZA,2014,4773000.0,8644951.126955258
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO CERVEZA,2015,7011000.0,11893719.97819421
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO CERVEZA,2016,1150820000.0,1846197577.5920956
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO CERVEZA,2017,1271347955.0,1959377541.9287286
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO CERVEZA,2018,1392195429.0,2079540132.3987916
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO CERVEZA,2019,1729455000.0,2488737062.1618495
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO CERVEZA,2020,1441990662.0,2042017358.0867212
97,VAUPÉS,97000,Vaupes,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,2814293394.0,3773221493.199213
97,VAUPÉS,97000,Vaupes,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,3474572164.0,4118077375.141236
97,VAUPÉS,97000,Vaupes,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,3773874577.0,4093148969.836978
97,VAUPÉS,97000,Vaupes,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,4967104624.0,5121084867.344001
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,130865000.0,250448078.88789234
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,108569000.0,203834722.20110616
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,198023000.0,358663137.8615254
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,295916000.0,502002858.51766056
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,148322000.0,237944871.5729782
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,324210369.0,499666919.178728
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,255850315.0,382166890.3995321
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2019,579976762.0,834603769.8477395
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2020,442058807.0,626003885.4461789
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2021,712716854.0,955564390.6251962
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2022,1243902226.0,1474278090.0775156
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2023,1457780801.0,1581110835.0624115
97,VAUPÉS,97000,Vaupes,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2024,1373443178.0,1416019916.5180001
