Cód. DANE Departamento,Nombre DANE Departamento,CODIGO_ENTIDAD,NOMBRE_ENTIDAD,RUBRO,Año,Presupuesto Definitivo,Valor_25
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO CERVEZA,2012,1871986000.0,3582587379.3988466
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO CERVEZA,2013,834728000.0,1567174331.4710915
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO CERVEZA,2014,986000000.0,1785862520.6741848
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO CERVEZA,2015,1050000000.0,1781258875.6388419
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO CERVEZA,2016,1220000000.0,1957179267.5330255
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO CERVEZA,2017,1384632247.04,2133969160.8506086
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO CERVEZA,2018,1556352110.88,2324743069.328476
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO CERVEZA,2019,2030753573.0,2922314648.9747925
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO CERVEZA,2020,2362015491.31,3344873694.698555
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2021,5000867140.0,6704837319.915081
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2022,4892840000.0,5799014311.157661
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2023,6763352673.0,7335540559.5224495
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE CERVEZAS, SIFONES, REFAJOS Y MEZCLAS",2024,6613800000.0,6818827800.000001
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2012,315652000.0,604091521.7752723
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2013,223351000.0,419334147.3011565
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2014,233510000.0,422937887.6294411
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2015,233643000.0,396360635.6960818
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2016,95000000.0,152403303.61937496
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2017,188209520.0,290064970.1876352
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2018,387707480.0,579123625.5317441
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2019,641126000.0,922599337.777264
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2020,894743050.0,1267054556.7842624
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2021,653730000.0,876478654.289561
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2022,2007187225.0,2378926644.433056
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2023,1137000000.0,1233191586.988092
99,VICHADA,99000,Vichada,IMPUESTO AL CONSUMO DE CIGARRILLOS Y TABACO,2024,1193507374.0,1230506102.594
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2012,205614000.0,393501939.3455477
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2013,353812000.0,664270378.5741581
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2014,416104000.0,753655718.3596461
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2015,754587000.0,1280109324.9444637
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2016,83300000.0,133633633.59467298
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2017,306027982.0,471644566.5203978
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2018,271040372.0,404856472.9731617
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2019,454062225.0,653409014.9123122
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2020,386502010.0,547329351.1212817
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2021,85040481.0,114016744.44651
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2022,959380098.0,1137061281.0028205
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2023,1116946000.0,1211440994.1248913
99,VICHADA,99000,Vichada,"IMPUESTO AL CONSUMO DE LICORES, VINOS, APERITIVOS Y SIMILARES",2024,975150000.0,1005379650.0000001
99,VICHADA,99000,Vichada,IMPUESTO DE LOTERIAS FORANEAS,2022,7422023.0,8796612.518443545
99,VICHADA,99000,Vichada,IMPUESTO DE LOTERIAS FORANEAS,2023,7656202.0,8303926.028743539
99,VICHADA,99000,Vichada,IMPUESTO DE LOTERIAS FORANEAS,2024,7500000.0,7732500.000000001
99,VICHADA,99000,Vichada,IMPUESTO DE REGISTRO,2012,1186165000.0,2270070267.0237026
99,VICHADA,99000,Vichada,IMPUESTO DE REGISTRO,2013,806896000.0,1514920668.0100558
99,VICHADA,99000,Vichada,IMPUESTO DE REGISTRO,2014,518700000.0,939479603.9287014
99,VICHADA,99000,Vichada,IMPUESTO DE REGISTRO,2015,467386000.0,792890915.0946054
99,VICHADA,99000,Vichada,IMPUESTO DE REGISTRO,2016,150000000.0,240636795.18848675
99,VICHADA,99000,Vichada,IMPUESTO DE REGISTRO,2017,350000000.0,539413413.1242261
99,VICHADA,99000,Vichada,IMPUESTO DE REGISTRO,2018,264393042.12,394927271.24558324
99,VICHADA,99000,Vichada,IMPUESTO DE REGISTRO,2019,309540000.0,445437244.80924857
99,VICHADA,99000,Vichada,IMPUESTO DE REGISTRO,2020,310000000.0,438994091.77095187
99,VICHADA,99000,Vichada,IMPUESTO DE REGISTRO,2021,486671000.0,652496815.4463693
99,VICHADA,99000,Vichada,IMPUESTO DE REGISTRO,2022,464269225.0,550253815.78083
99,VICHADA,99000,Vichada,IMPUESTO DE REGISTRO,2023,582737228.0,632037508.3503621
