Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,91000,Amazonas,91000,Amazonas,AHORRO,34812723404.72909
2012,91000,Amazonas,91000,Amazonas,INVERSIÓN,64411069390.75843
2012,91000,Amazonas,91000,Amazonas,OTROS,0.0
2012,91000,Amazonas,91001,Leticia,AHORRO,1050165944.1231364
2012,91000,Amazonas,91001,Leticia,INVERSIÓN,2764246779.9577274
2012,91000,Amazonas,91001,Leticia,OTROS,0.0
2012,91000,Amazonas,91263,El Encanto,AHORRO,0.0
2012,91000,Amazonas,91263,El Encanto,INVERSIÓN,0.0
2012,91000,Amazonas,91263,El Encanto,OTROS,0.0
2012,91000,Amazonas,91405,La Chorrera,AHORRO,0.0
2012,91000,Amazonas,91405,La Chorrera,INVERSIÓN,0.0
2012,91000,Amazonas,91405,La Chorrera,OTROS,0.0
2012,91000,Amazonas,91407,La Pedrera,AHORRO,0.0
2012,91000,Amazonas,91407,La Pedrera,INVERSIÓN,0.0
2012,91000,Amazonas,91407,La Pedrera,OTROS,0.0
2012,91000,Amazonas,91430,La Victoria,AHORRO,0.0
2012,91000,Amazonas,91430,La Victoria,INVERSIÓN,0.0
2012,91000,Amazonas,91430,La Victoria,OTROS,0.0
2012,91000,Amazonas,91460,Miriti - Paraná,AHORRO,0.0
2012,91000,Amazonas,91460,Miriti - Paraná,INVERSIÓN,0.0
2012,91000,Amazonas,91460,Miriti - Paraná,OTROS,0.0
2012,91000,Amazonas,91530,Puerto Alegría,AHORRO,0.0
2012,91000,Amazonas,91530,Puerto Alegría,INVERSIÓN,0.0
2012,91000,Amazonas,91530,Puerto Alegría,OTROS,0.0
2012,91000,Amazonas,91536,Puerto Arica,AHORRO,0.0
2012,91000,Amazonas,91536,Puerto Arica,INVERSIÓN,0.0
2012,91000,Amazonas,91536,Puerto Arica,OTROS,0.0
2012,91000,Amazonas,91540,Puerto Nariño,AHORRO,708188961.9646499
2012,91000,Amazonas,91540,Puerto Nariño,INVERSIÓN,535006575.3921543
2012,91000,Amazonas,91540,Puerto Nariño,OTROS,0.0
2012,91000,Amazonas,91669,Puerto Santander,AHORRO,0.0
2012,91000,Amazonas,91669,Puerto Santander,INVERSIÓN,0.0
2012,91000,Amazonas,91669,Puerto Santander,OTROS,0.0
2012,91000,Amazonas,91798,Tarapacá,AHORRO,0.0
2012,91000,Amazonas,91798,Tarapacá,INVERSIÓN,0.0
2012,91000,Amazonas,91798,Tarapacá,OTROS,0.0
2013_2014,91000,Amazonas,91000,Amazonas,AHORRO,60940276992.68624
2013_2014,91000,Amazonas,91000,Amazonas,INVERSIÓN,129240904975.95134
2013_2014,91000,Amazonas,91000,Amazonas,OTROS,0.0
2013_2014,91000,Amazonas,91001,Leticia,AHORRO,1453600032.3663893
2013_2014,91000,Amazonas,91001,Leticia,INVERSIÓN,5959475941.949438
2013_2014,91000,Amazonas,91001,Leticia,OTROS,0.0
2013_2014,91000,Amazonas,91263,El Encanto,AHORRO,0.0
2013_2014,91000,Amazonas,91263,El Encanto,INVERSIÓN,0.0
2013_2014,91000,Amazonas,91263,El Encanto,OTROS,0.0
2013_2014,91000,Amazonas,91405,La Chorrera,AHORRO,0.0
2013_2014,91000,Amazonas,91405,La Chorrera,INVERSIÓN,0.0
2013_2014,91000,Amazonas,91405,La Chorrera,OTROS,0.0
2013_2014,91000,Amazonas,91407,La Pedrera,AHORRO,0.0
2013_2014,91000,Amazonas,91407,La Pedrera,INVERSIÓN,0.0
2013_2014,91000,Amazonas,91407,La Pedrera,OTROS,0.0
2013_2014,91000,Amazonas,91430,La Victoria,AHORRO,0.0
2013_2014,91000,Amazonas,91430,La Victoria,INVERSIÓN,0.0
2013_2014,91000,Amazonas,91430,La Victoria,OTROS,0.0
2013_2014,91000,Amazonas,91460,Miriti - Paraná,AHORRO,0.0
2013_2014,91000,Amazonas,91460,Miriti - Paraná,INVERSIÓN,0.0
2013_2014,91000,Amazonas,91460,Miriti - Paraná,OTROS,0.0
2013_2014,91000,Amazonas,91530,Puerto Alegría,AHORRO,0.0
2013_2014,91000,Amazonas,91530,Puerto Alegría,INVERSIÓN,0.0
2013_2014,91000,Amazonas,91530,Puerto Alegría,OTROS,0.0
2013_2014,91000,Amazonas,91536,Puerto Arica,AHORRO,0.0
2013_2014,91000,Amazonas,91536,Puerto Arica,INVERSIÓN,0.0
2013_2014,91000,Amazonas,91536,Puerto Arica,OTROS,0.0
2013_2014,91000,Amazonas,91540,Puerto Nariño,AHORRO,984051366.9234164
2013_2014,91000,Amazonas,91540,Puerto Nariño,INVERSIÓN,1164993419.5613956
2013_2014,91000,Amazonas,91540,Puerto Nariño,OTROS,0.0
2013_2014,91000,Amazonas,91669,Puerto Santander,AHORRO,0.0
2013_2014,91000,Amazonas,91669,Puerto Santander,INVERSIÓN,0.0
2013_2014,91000,Amazonas,91669,Puerto Santander,OTROS,0.0
2013_2014,91000,Amazonas,91798,Tarapacá,AHORRO,0.0
2013_2014,91000,Amazonas,91798,Tarapacá,INVERSIÓN,0.0
2013_2014,91000,Amazonas,91798,Tarapacá,OTROS,0.0
2015_2016,91000,Amazonas,91000,Amazonas,AHORRO,48479603151.918976
2015_2016,91000,Amazonas,91000,Amazonas,INVERSIÓN,90724801547.4862
2015_2016,91000,Amazonas,91000,Amazonas,OTROS,0.0
2015_2016,91000,Amazonas,91001,Leticia,AHORRO,839438211.6322303
2015_2016,91000,Amazonas,91001,Leticia,INVERSIÓN,4298963455.655551
2015_2016,91000,Amazonas,91001,Leticia,OTROS,0.0
2015_2016,91000,Amazonas,91263,El Encanto,AHORRO,0.0
2015_2016,91000,Amazonas,91263,El Encanto,INVERSIÓN,0.0
