Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,81000,Arauca,81000,Arauca,AHORRO,119230457159.84999
2012,81000,Arauca,81000,Arauca,INVERSIÓN,335137424933.533
2012,81000,Arauca,81000,Arauca,OTROS,0.0
2012,81000,Arauca,81001,Arauca,AHORRO,1322823947.901271
2012,81000,Arauca,81001,Arauca,INVERSIÓN,84332407180.21452
2012,81000,Arauca,81001,Arauca,OTROS,0.0
2012,81000,Arauca,81065,Arauquita,AHORRO,1109150993.4324193
2012,81000,Arauca,81065,Arauquita,INVERSIÓN,30211276069.786366
2012,81000,Arauca,81065,Arauquita,OTROS,0.0
2012,81000,Arauca,81220,Cravo Norte,AHORRO,485864178.56286144
2012,81000,Arauca,81220,Cravo Norte,INVERSIÓN,234887620.4461098
2012,81000,Arauca,81220,Cravo Norte,OTROS,0.0
2012,81000,Arauca,81300,Fortul,AHORRO,1541052083.9668317
2012,81000,Arauca,81300,Fortul,INVERSIÓN,1665591679.64118
2012,81000,Arauca,81300,Fortul,OTROS,0.0
2012,81000,Arauca,81591,Puerto Rondón,AHORRO,401020361.1510693
2012,81000,Arauca,81591,Puerto Rondón,INVERSIÓN,265242117.48778728
2012,81000,Arauca,81591,Puerto Rondón,OTROS,0.0
2012,81000,Arauca,81736,Saravena,AHORRO,1043945224.6626172
2012,81000,Arauca,81736,Saravena,INVERSIÓN,3028431962.4292316
2012,81000,Arauca,81736,Saravena,OTROS,0.0
2012,81000,Arauca,81794,Tame,AHORRO,2076834803.304693
2012,81000,Arauca,81794,Tame,INVERSIÓN,3585891003.805447
2012,81000,Arauca,81794,Tame,OTROS,0.0
2013_2014,81000,Arauca,81000,Arauca,AHORRO,182479767521.03198
2013_2014,81000,Arauca,81000,Arauca,INVERSIÓN,433560528707.5399
2013_2014,81000,Arauca,81000,Arauca,OTROS,0.0
2013_2014,81000,Arauca,81001,Arauca,AHORRO,1838058962.9864824
2013_2014,81000,Arauca,81001,Arauca,INVERSIÓN,78773079672.51715
2013_2014,81000,Arauca,81001,Arauca,OTROS,0.0
2013_2014,81000,Arauca,81065,Arauquita,AHORRO,1537831424.8523874
2013_2014,81000,Arauca,81065,Arauquita,INVERSIÓN,31691471080.633606
2013_2014,81000,Arauca,81065,Arauquita,OTROS,0.0
2013_2014,81000,Arauca,81220,Cravo Norte,AHORRO,665398796.3312347
2013_2014,81000,Arauca,81220,Cravo Norte,INVERSIÓN,492762697.8771809
2013_2014,81000,Arauca,81220,Cravo Norte,OTROS,0.0
2013_2014,81000,Arauca,81300,Fortul,AHORRO,2140926925.7974749
2013_2014,81000,Arauca,81300,Fortul,INVERSIÓN,3625082174.618967
2013_2014,81000,Arauca,81300,Fortul,OTROS,0.0
2013_2014,81000,Arauca,81591,Puerto Rondón,AHORRO,551691421.4223194
2013_2014,81000,Arauca,81591,Puerto Rondón,INVERSIÓN,562910865.8911307
2013_2014,81000,Arauca,81591,Puerto Rondón,OTROS,0.0
2013_2014,81000,Arauca,81736,Saravena,AHORRO,1445640947.0647602
2013_2014,81000,Arauca,81736,Saravena,INVERSIÓN,5009093868.043256
2013_2014,81000,Arauca,81736,Saravena,OTROS,0.0
2013_2014,81000,Arauca,81794,Tame,AHORRO,2877585279.1765184
2013_2014,81000,Arauca,81794,Tame,INVERSIÓN,7597700113.341263
2013_2014,81000,Arauca,81794,Tame,OTROS,0.0
2015_2016,81000,Arauca,81000,Arauca,AHORRO,106625103543.28271
2015_2016,81000,Arauca,81000,Arauca,INVERSIÓN,250365737208.37088
2015_2016,81000,Arauca,81000,Arauca,OTROS,0.0
2015_2016,81000,Arauca,81001,Arauca,AHORRO,1066003704.6047477
2015_2016,81000,Arauca,81001,Arauca,INVERSIÓN,36831091697.97647
2015_2016,81000,Arauca,81001,Arauca,OTROS,0.0
2015_2016,81000,Arauca,81065,Arauquita,AHORRO,889768289.8169211
2015_2016,81000,Arauca,81065,Arauquita,INVERSIÓN,14554545446.374905
2015_2016,81000,Arauca,81065,Arauquita,OTROS,0.0
2015_2016,81000,Arauca,81220,Cravo Norte,AHORRO,379780346.3124991
2015_2016,81000,Arauca,81220,Cravo Norte,INVERSIÓN,345074373.3242001
2015_2016,81000,Arauca,81220,Cravo Norte,OTROS,0.0
2015_2016,81000,Arauca,81300,Fortul,AHORRO,1241769704.328599
2015_2016,81000,Arauca,81300,Fortul,INVERSIÓN,2643552613.4136457
2015_2016,81000,Arauca,81300,Fortul,OTROS,0.0
2015_2016,81000,Arauca,81591,Puerto Rondón,AHORRO,316437685.3678605
2015_2016,81000,Arauca,81591,Puerto Rondón,INVERSIÓN,399132604.3171007
2015_2016,81000,Arauca,81591,Puerto Rondón,OTROS,0.0
2015_2016,81000,Arauca,81736,Saravena,AHORRO,835057748.5212264
2015_2016,81000,Arauca,81736,Saravena,INVERSIÓN,3425858361.115587
2015_2016,81000,Arauca,81736,Saravena,OTROS,0.0
2015_2016,81000,Arauca,81794,Tame,AHORRO,1663665617.3364718
2015_2016,81000,Arauca,81794,Tame,INVERSIÓN,5498599308.962793
2015_2016,81000,Arauca,81794,Tame,OTROS,0.0
2017_2018,81000,Arauca,81000,Arauca,AHORRO,42181092780.78612
2017_2018,81000,Arauca,81000,Arauca,INVERSIÓN,353960975096.0947
2017_2018,81000,Arauca,81000,Arauca,OTROS,0.0
2017_2018,81000,Arauca,81001,Arauca,AHORRO,940239641.9201268
2017_2018,81000,Arauca,81001,Arauca,INVERSIÓN,61684663107.27696
2017_2018,81000,Arauca,81001,Arauca,OTROS,0.0
2017_2018,81000,Arauca,81065,Arauquita,AHORRO,782551273.5716046
2017_2018,81000,Arauca,81065,Arauquita,INVERSIÓN,23807854856.1936
2017_2018,81000,Arauca,81065,Arauquita,OTROS,0.0
2017_2018,81000,Arauca,81220,Cravo Norte,AHORRO,328125891.0771644
2017_2018,81000,Arauca,81220,Cravo Norte,INVERSIÓN,575492691.7477871
2017_2018,81000,Arauca,81220,Cravo Norte,OTROS,0.0
2017_2018,81000,Arauca,81300,Fortul,AHORRO,1095675669.021429
2017_2018,81000,Arauca,81300,Fortul,INVERSIÓN,4621474051.789682
2017_2018,81000,Arauca,81300,Fortul,OTROS,0.0
2017_2018,81000,Arauca,81591,Puerto Rondón,AHORRO,275443411.89469004
2017_2018,81000,Arauca,81591,Puerto Rondón,INVERSIÓN,676887594.0279596
2017_2018,81000,Arauca,81591,Puerto Rondón,OTROS,0.0
2017_2018,81000,Arauca,81736,Saravena,AHORRO,732916346.6924816
2017_2018,81000,Arauca,81736,Saravena,INVERSIÓN,5979087993.868569
2017_2018,81000,Arauca,81736,Saravena,OTROS,0.0
2017_2018,81000,Arauca,81794,Tame,AHORRO,1461657585.3476074
2017_2018,81000,Arauca,81794,Tame,INVERSIÓN,9973313406.217104
2017_2018,81000,Arauca,81794,Tame,OTROS,0.0
2019_2020,81000,Arauca,81000,Arauca,AHORRO,91875464889.51993
2019_2020,81000,Arauca,81000,Arauca,INVERSIÓN,300509562645.1417
2019_2020,81000,Arauca,81000,Arauca,OTROS,0.0
2019_2020,81000,Arauca,81001,Arauca,AHORRO,792820471.2644212
2019_2020,81000,Arauca,81001,Arauca,INVERSIÓN,69559151467.61943
2019_2020,81000,Arauca,81001,Arauca,OTROS,1452788007.9897177
2019_2020,81000,Arauca,81065,Arauquita,AHORRO,658797221.9863307
2019_2020,81000,Arauca,81065,Arauquita,INVERSIÓN,35783450966.15096
2019_2020,81000,Arauca,81065,Arauquita,OTROS,901192712.0872438
2019_2020,81000,Arauca,81220,Cravo Norte,AHORRO,273435796.720757
2019_2020,81000,Arauca,81220,Cravo Norte,INVERSIÓN,472435883.73440206
2019_2020,81000,Arauca,81220,Cravo Norte,OTROS,0.0
2019_2020,81000,Arauca,81300,Fortul,AHORRO,924084636.07411
2019_2020,81000,Arauca,81300,Fortul,INVERSIÓN,3937742121.2805
2019_2020,81000,Arauca,81300,Fortul,OTROS,0.0
2019_2020,81000,Arauca,81591,Puerto Rondón,AHORRO,230683119.56193438
2019_2020,81000,Arauca,81591,Puerto Rondón,INVERSIÓN,564113403.7184491
2019_2020,81000,Arauca,81591,Puerto Rondón,OTROS,0.0
2019_2020,81000,Arauca,81736,Saravena,AHORRO,616324099.6934085
2019_2020,81000,Arauca,81736,Saravena,INVERSIÓN,7062215107.704238
2019_2020,81000,Arauca,81736,Saravena,OTROS,694859180.7270516
2019_2020,81000,Arauca,81794,Tame,AHORRO,1229748561.3210404
2019_2020,81000,Arauca,81794,Tame,INVERSIÓN,21066169143.316257
2019_2020,81000,Arauca,81794,Tame,OTROS,300041408.0666313
2021_2022,81000,Arauca,81000,Arauca,AHORRO,12869559417.060978
2021_2022,81000,Arauca,81000,Arauca,INVERSIÓN,289418642753.7996
2021_2022,81000,Arauca,81000,Arauca,OTROS,0.0
