Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,AHORRO,34015839996.706345
2012,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,INVERSIÓN,63028523758.16048
2012,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,OTROS,0.0
2012,88000,Archipiélago de San Andrés,88001,San Andrés,AHORRO,0.0
2012,88000,Archipiélago de San Andrés,88001,San Andrés,INVERSIÓN,5082596360.308915
2012,88000,Archipiélago de San Andrés,88001,San Andrés,OTROS,0.0
2012,88000,Archipiélago de San Andrés,88564,Providencia,AHORRO,310789441.92669815
2012,88000,Archipiélago de San Andrés,88564,Providencia,INVERSIÓN,414944634.9156269
2012,88000,Archipiélago de San Andrés,88564,Providencia,OTROS,0.0
2013_2014,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,AHORRO,58668336244.35809
2013_2014,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,INVERSIÓN,133381314831.93768
2013_2014,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,OTROS,0.0
2013_2014,88000,Archipiélago de San Andrés,88001,San Andrés,AHORRO,0.0
2013_2014,88000,Archipiélago de San Andrés,88001,San Andrés,INVERSIÓN,9998788.320681108
2013_2014,88000,Archipiélago de San Andrés,88001,San Andrés,OTROS,0.0
2013_2014,88000,Archipiélago de San Andrés,88564,Providencia,AHORRO,429130580.5550156
2013_2014,88000,Archipiélago de San Andrés,88564,Providencia,INVERSIÓN,904346415.7596102
2013_2014,88000,Archipiélago de San Andrés,88564,Providencia,OTROS,0.0
2015_2016,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,AHORRO,47050759632.77792
2015_2016,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,INVERSIÓN,94618983809.6901
2015_2016,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,OTROS,0.0
2015_2016,88000,Archipiélago de San Andrés,88001,San Andrés,AHORRO,0.0
2015_2016,88000,Archipiélago de San Andrés,88001,San Andrés,INVERSIÓN,0.0
2015_2016,88000,Archipiélago de San Andrés,88001,San Andrés,OTROS,0.0
2015_2016,88000,Archipiélago de San Andrés,88564,Providencia,AHORRO,247125529.40043005
2015_2016,88000,Archipiélago de San Andrés,88564,Providencia,INVERSIÓN,644244531.9729369
2015_2016,88000,Archipiélago de San Andrés,88564,Providencia,OTROS,0.0
2017_2018,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,AHORRO,22209480617.107666
2017_2018,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,INVERSIÓN,160109692411.44357
2017_2018,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,OTROS,0.0
2017_2018,88000,Archipiélago de San Andrés,88001,San Andrés,AHORRO,0.0
2017_2018,88000,Archipiélago de San Andrés,88001,San Andrés,INVERSIÓN,0.0
2017_2018,88000,Archipiélago de San Andrés,88001,San Andrés,OTROS,0.0
2017_2018,88000,Archipiélago de San Andrés,88564,Providencia,AHORRO,216102737.27096623
2017_2018,88000,Archipiélago de San Andrés,88564,Providencia,INVERSIÓN,1119243925.1075633
2017_2018,88000,Archipiélago de San Andrés,88564,Providencia,OTROS,0.0
2019_2020,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,AHORRO,41938549391.208275
2019_2020,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,INVERSIÓN,137807800279.3607
2019_2020,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,OTROS,0.0
2019_2020,88000,Archipiélago de San Andrés,88001,San Andrés,AHORRO,0.0
2019_2020,88000,Archipiélago de San Andrés,88001,San Andrés,INVERSIÓN,0.0
2019_2020,88000,Archipiélago de San Andrés,88001,San Andrés,OTROS,0.0
2019_2020,88000,Archipiélago de San Andrés,88564,Providencia,AHORRO,181409404.29828674
2019_2020,88000,Archipiélago de San Andrés,88564,Providencia,INVERSIÓN,964140164.8793943
2019_2020,88000,Archipiélago de San Andrés,88564,Providencia,OTROS,0.0
2021_2022,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,AHORRO,2126269300.223459
2021_2022,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,INVERSIÓN,94710092979.43211
2021_2022,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,OTROS,0.0
2021_2022,88000,Archipiélago de San Andrés,88001,San Andrés,AHORRO,0.0
2021_2022,88000,Archipiélago de San Andrés,88001,San Andrés,INVERSIÓN,34739375.4800399
2021_2022,88000,Archipiélago de San Andrés,88001,San Andrés,OTROS,0.0
2021_2022,88000,Archipiélago de San Andrés,88564,Providencia,AHORRO,475909273.978141
2021_2022,88000,Archipiélago de San Andrés,88564,Providencia,INVERSIÓN,852340260.5413109
2021_2022,88000,Archipiélago de San Andrés,88564,Providencia,OTROS,0.0
2023_2024,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,AHORRO,3578899960.1010003
2023_2024,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,INVERSIÓN,63539760434.103226
2023_2024,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,MEDIDAS AHORRO,21231568431.041122
2023_2024,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,MEDIDAS INVERSIÓN,2026078435.94487
2023_2024,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,MEDIDAS OTROS,0.0
2023_2024,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,OTROS,0.0
2023_2024,88000,Archipiélago de San Andrés,88000,Archipiélago de San Andrés,RECAUDO CORRIENTE NO AFORADO,0.0
2023_2024,88000,Archipiélago de San Andrés,88001,San Andrés,AHORRO,0.0
2023_2024,88000,Archipiélago de San Andrés,88001,San Andrés,INVERSIÓN,0.0
2023_2024,88000,Archipiélago de San Andrés,88001,San Andrés,MEDIDAS AHORRO,0.0
2023_2024,88000,Archipiélago de San Andrés,88001,San Andrés,MEDIDAS INVERSIÓN,0.0
2023_2024,88000,Archipiélago de San Andrés,88001,San Andrés,MEDIDAS OTROS,0.0
2023_2024,88000,Archipiélago de San Andrés,88001,San Andrés,OTROS,0.0
2023_2024,88000,Archipiélago de San Andrés,88001,San Andrés,RECAUDO CORRIENTE NO AFORADO,0.0
2023_2024,88000,Archipiélago de San Andrés,88564,Providencia,AHORRO,773697550.914
2023_2024,88000,Archipiélago de San Andrés,88564,Providencia,INVERSIÓN,1447345497.815
2023_2024,88000,Archipiélago de San Andrés,88564,Providencia,MEDIDAS AHORRO,26622.482000000004
2023_2024,88000,Archipiélago de San Andrés,88564,Providencia,MEDIDAS INVERSIÓN,369173278.34128004
2023_2024,88000,Archipiélago de San Andrés,88564,Providencia,MEDIDAS OTROS,0.0
2023_2024,88000,Archipiélago de San Andrés,88564,Providencia,OTROS,0.0
2023_2024,88000,Archipiélago de San Andrés,88564,Providencia,RECAUDO CORRIENTE NO AFORADO,0.0
