Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,AHORRO,0.0
2012,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,INVERSIÓN,0.0
2012,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,OTROS,0.0
2013_2014,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,AHORRO,0.0
2013_2014,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,INVERSIÓN,0.0
2013_2014,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,OTROS,0.0
2015_2016,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,AHORRO,0.0
2015_2016,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,INVERSIÓN,0.0
2015_2016,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,OTROS,0.0
2017_2018,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,AHORRO,0.0
2017_2018,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,INVERSIÓN,0.0
2017_2018,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,OTROS,0.0
2019_2020,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,AHORRO,0.0
2019_2020,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,INVERSIÓN,0.0
2019_2020,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,OTROS,0.0
2021_2022,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,AHORRO,0.0
2021_2022,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,INVERSIÓN,0.0
2021_2022,00002,Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,OTROS,0.0
2023_2024,2,Asignaciones Directas por Distribuir Ajustes Agencias,2,Asignaciones Directas por Distribuir Ajustes Agencias,AHORRO,0.0
2023_2024,2,Asignaciones Directas por Distribuir Ajustes Agencias,2,Asignaciones Directas por Distribuir Ajustes Agencias,INVERSIÓN,0.0
2023_2024,2,Asignaciones Directas por Distribuir Ajustes Agencias,2,Asignaciones Directas por Distribuir Ajustes Agencias,MEDIDAS AHORRO,0.0
2023_2024,2,Asignaciones Directas por Distribuir Ajustes Agencias,2,Asignaciones Directas por Distribuir Ajustes Agencias,MEDIDAS INVERSIÓN,0.0
2023_2024,2,Asignaciones Directas por Distribuir Ajustes Agencias,2,Asignaciones Directas por Distribuir Ajustes Agencias,MEDIDAS OTROS,0.0
2023_2024,2,Asignaciones Directas por Distribuir Ajustes Agencias,2,Asignaciones Directas por Distribuir Ajustes Agencias,OTROS,0.0
2023_2024,2,Asignaciones Directas por Distribuir Ajustes Agencias,2,Asignaciones Directas por Distribuir Ajustes Agencias,RECAUDO CORRIENTE NO AFORADO,0.0
