Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,SE000,Asignaciones,SE001,Asignación Ambiental,AHORRO,0.0
2012,SE000,Asignaciones,SE001,Asignación Ambiental,INVERSIÓN,0.0
2012,SE000,Asignaciones,SE001,Asignación Ambiental,OTROS,0.0
2012,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",AHORRO,0.0
2012,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",INVERSIÓN,0.0
2012,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",OTROS,0.0
2012,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",AHORRO,0.0
2012,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",INVERSIÓN,0.0
2012,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",OTROS,0.0
2012,SE000,Asignaciones,SE004,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible",AHORRO,0.0
2012,SE000,Asignaciones,SE004,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible",INVERSIÓN,0.0
2012,SE000,Asignaciones,SE004,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible",OTROS,0.0
2012,SE000,Asignaciones,SE005,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible - Convocatorias",AHORRO,0.0
2012,SE000,Asignaciones,SE005,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible - Convocatorias",INVERSIÓN,0.0
2012,SE000,Asignaciones,SE005,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible - Convocatorias",OTROS,0.0
2013_2014,SE000,Asignaciones,SE001,Asignación Ambiental,AHORRO,0.0
2013_2014,SE000,Asignaciones,SE001,Asignación Ambiental,INVERSIÓN,0.0
2013_2014,SE000,Asignaciones,SE001,Asignación Ambiental,OTROS,0.0
2013_2014,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",AHORRO,0.0
2013_2014,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",INVERSIÓN,0.0
2013_2014,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",OTROS,0.0
2013_2014,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",AHORRO,0.0
2013_2014,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",INVERSIÓN,0.0
2013_2014,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",OTROS,0.0
2013_2014,SE000,Asignaciones,SE004,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible",AHORRO,0.0
2013_2014,SE000,Asignaciones,SE004,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible",INVERSIÓN,0.0
2013_2014,SE000,Asignaciones,SE004,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible",OTROS,0.0
2013_2014,SE000,Asignaciones,SE005,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible - Convocatorias",AHORRO,0.0
2013_2014,SE000,Asignaciones,SE005,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible - Convocatorias",INVERSIÓN,0.0
2013_2014,SE000,Asignaciones,SE005,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible - Convocatorias",OTROS,0.0
2015_2016,SE000,Asignaciones,SE001,Asignación Ambiental,AHORRO,0.0
2015_2016,SE000,Asignaciones,SE001,Asignación Ambiental,INVERSIÓN,0.0
2015_2016,SE000,Asignaciones,SE001,Asignación Ambiental,OTROS,0.0
2015_2016,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",AHORRO,0.0
2015_2016,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",INVERSIÓN,0.0
2015_2016,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",OTROS,0.0
2015_2016,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",AHORRO,0.0
2015_2016,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",INVERSIÓN,0.0
2015_2016,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",OTROS,0.0
2015_2016,SE000,Asignaciones,SE004,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible",AHORRO,0.0
2015_2016,SE000,Asignaciones,SE004,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible",INVERSIÓN,0.0
2015_2016,SE000,Asignaciones,SE004,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible",OTROS,0.0
2015_2016,SE000,Asignaciones,SE005,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible - Convocatorias",AHORRO,0.0
2015_2016,SE000,Asignaciones,SE005,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible - Convocatorias",INVERSIÓN,0.0
2015_2016,SE000,Asignaciones,SE005,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible - Convocatorias",OTROS,0.0
2017_2018,SE000,Asignaciones,SE001,Asignación Ambiental,AHORRO,0.0
2017_2018,SE000,Asignaciones,SE001,Asignación Ambiental,INVERSIÓN,0.0
2017_2018,SE000,Asignaciones,SE001,Asignación Ambiental,OTROS,0.0
2017_2018,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",AHORRO,0.0
2017_2018,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",INVERSIÓN,0.0
2017_2018,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",OTROS,0.0
2017_2018,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",AHORRO,0.0
2017_2018,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",INVERSIÓN,0.0
2017_2018,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",OTROS,0.0
2017_2018,SE000,Asignaciones,SE004,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible",AHORRO,0.0
2017_2018,SE000,Asignaciones,SE004,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible",INVERSIÓN,0.0
2017_2018,SE000,Asignaciones,SE004,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible",OTROS,0.0
2017_2018,SE000,Asignaciones,SE005,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible - Convocatorias",AHORRO,0.0
2017_2018,SE000,Asignaciones,SE005,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible - Convocatorias",INVERSIÓN,0.0
2017_2018,SE000,Asignaciones,SE005,"Asignación para Ciencia, Tecnología e Innovación - Ambiente y Desarrollo Disponible - Convocatorias",OTROS,0.0
2019_2020,SE000,Asignaciones,SE001,Asignación Ambiental,AHORRO,0.0
2019_2020,SE000,Asignaciones,SE001,Asignación Ambiental,INVERSIÓN,0.0
2019_2020,SE000,Asignaciones,SE001,Asignación Ambiental,OTROS,0.0
2019_2020,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",AHORRO,0.0
2019_2020,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",INVERSIÓN,0.0
2019_2020,SE000,Asignaciones,SE002,"Asignación para Ciencia, Tecnología e Innovación",OTROS,0.0
2019_2020,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",AHORRO,0.0
2019_2020,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",INVERSIÓN,0.0
2019_2020,SE000,Asignaciones,SE003,"Asignación para Ciencia, Tecnología e Innovación - Convocatorias",OTROS,0.0
