Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,08000,Atlántico,08000,Atlántico,AHORRO,112188418294.12871
2012,08000,Atlántico,08000,Atlántico,INVERSIÓN,193633870703.96884
2012,08000,Atlántico,08000,Atlántico,OTROS,0.0
2012,08000,Atlántico,08001,Barranquilla,AHORRO,2596067549.366961
2012,08000,Atlántico,08001,Barranquilla,INVERSIÓN,28847687.764001537
2012,08000,Atlántico,08001,Barranquilla,OTROS,0.0
2012,08000,Atlántico,08078,Baranoa,AHORRO,977102681.3816096
2012,08000,Atlántico,08078,Baranoa,INVERSIÓN,1982521983.028993
2012,08000,Atlántico,08078,Baranoa,OTROS,0.0
2012,08000,Atlántico,08137,Campo de La Cruz,AHORRO,1008857990.5780466
2012,08000,Atlántico,08137,Campo de La Cruz,INVERSIÓN,1158746951.390967
2012,08000,Atlántico,08137,Campo de La Cruz,OTROS,0.0
2012,08000,Atlántico,08141,Candelaria,AHORRO,983575064.8991168
2012,08000,Atlántico,08141,Candelaria,INVERSIÓN,847801787.56794
2012,08000,Atlántico,08141,Candelaria,OTROS,0.0
2012,08000,Atlántico,08296,Galapa,AHORRO,1064633284.227933
2012,08000,Atlántico,08296,Galapa,INVERSIÓN,2692848157.391919
2012,08000,Atlántico,08296,Galapa,OTROS,0.0
2012,08000,Atlántico,08372,Juan de Acosta,AHORRO,647132314.3274009
2012,08000,Atlántico,08372,Juan de Acosta,INVERSIÓN,994615594.071311
2012,08000,Atlántico,08372,Juan de Acosta,OTROS,0.0
2012,08000,Atlántico,08421,Luruaco,AHORRO,1049011922.9009384
2012,08000,Atlántico,08421,Luruaco,INVERSIÓN,1772072240.3683276
2012,08000,Atlántico,08421,Luruaco,OTROS,0.0
2012,08000,Atlántico,08433,Malambo,AHORRO,1445531523.1335397
2012,08000,Atlántico,08433,Malambo,INVERSIÓN,3273737974.7529173
2012,08000,Atlántico,08433,Malambo,OTROS,0.0
2012,08000,Atlántico,08436,Manatí,AHORRO,911518119.699322
2012,08000,Atlántico,08436,Manatí,INVERSIÓN,1037466003.8438516
2012,08000,Atlántico,08436,Manatí,OTROS,0.0
2012,08000,Atlántico,08520,Palmar de Varela,AHORRO,865674815.3594577
2012,08000,Atlántico,08520,Palmar de Varela,INVERSIÓN,1704237134.1135085
2012,08000,Atlántico,08520,Palmar de Varela,OTROS,0.0
2012,08000,Atlántico,08549,Piojó,AHORRO,570539225.4681637
2012,08000,Atlántico,08549,Piojó,INVERSIÓN,349727658.91418463
2012,08000,Atlántico,08549,Piojó,OTROS,0.0
2012,08000,Atlántico,08558,Polonuevo,AHORRO,678876287.3224889
2012,08000,Atlántico,08558,Polonuevo,INVERSIÓN,1020198885.8882116
2012,08000,Atlántico,08558,Polonuevo,OTROS,0.0
2012,08000,Atlántico,08560,Ponedera,AHORRO,963929123.676386
2012,08000,Atlántico,08560,Ponedera,INVERSIÓN,1456262134.5815527
2012,08000,Atlántico,08560,Ponedera,OTROS,0.0
2012,08000,Atlántico,08573,Puerto Colombia,AHORRO,699221595.0415509
2012,08000,Atlántico,08573,Puerto Colombia,INVERSIÓN,1249505498.0363398
2012,08000,Atlántico,08573,Puerto Colombia,OTROS,0.0
2012,08000,Atlántico,08606,Repelón,AHORRO,1058098313.420502
2012,08000,Atlántico,08606,Repelón,INVERSIÓN,1718694919.3859243
2012,08000,Atlántico,08606,Repelón,OTROS,0.0
2012,08000,Atlántico,08634,Sabanagrande,AHORRO,961858054.68464
2012,08000,Atlántico,08634,Sabanagrande,INVERSIÓN,2035532829.8130572
2012,08000,Atlántico,08634,Sabanagrande,OTROS,0.0
2012,08000,Atlántico,08638,Sabanalarga,AHORRO,1513171529.4467154
2012,08000,Atlántico,08638,Sabanalarga,INVERSIÓN,6498260577.673759
2012,08000,Atlántico,08638,Sabanalarga,OTROS,0.0
2012,08000,Atlántico,08675,Santa Lucía,AHORRO,851454778.8882089
2012,08000,Atlántico,08675,Santa Lucía,INVERSIÓN,813130511.0372568
2012,08000,Atlántico,08675,Santa Lucía,OTROS,0.0
2012,08000,Atlántico,08685,Santo Tomás,AHORRO,812648290.4433615
2012,08000,Atlántico,08685,Santo Tomás,INVERSIÓN,1338589722.390911
2012,08000,Atlántico,08685,Santo Tomás,OTROS,0.0
2012,08000,Atlántico,08758,Soledad,AHORRO,2310732003.3471484
2012,08000,Atlántico,08758,Soledad,INVERSIÓN,0.0
2012,08000,Atlántico,08758,Soledad,OTROS,0.0
2012,08000,Atlántico,08770,Suan,AHORRO,728472881.4580066
2012,08000,Atlántico,08770,Suan,INVERSIÓN,620588441.7684197
2012,08000,Atlántico,08770,Suan,OTROS,0.0
2012,08000,Atlántico,08832,Tubará,AHORRO,607012517.3347284
2012,08000,Atlántico,08832,Tubará,INVERSIÓN,753928963.7600664
2012,08000,Atlántico,08832,Tubará,OTROS,0.0
2012,08000,Atlántico,08849,Usiacurí,AHORRO,633004861.1106751
2012,08000,Atlántico,08849,Usiacurí,INVERSIÓN,632579495.9043977
2012,08000,Atlántico,08849,Usiacurí,OTROS,0.0
2013_2014,08000,Atlántico,08000,Atlántico,AHORRO,194425774928.0051
2013_2014,08000,Atlántico,08000,Atlántico,INVERSIÓN,379734330237.50104
2013_2014,08000,Atlántico,08000,Atlántico,OTROS,0.0
2013_2014,08000,Atlántico,08001,Barranquilla,AHORRO,3587393216.1703806
2013_2014,08000,Atlántico,08001,Barranquilla,INVERSIÓN,19949953.4983283
2013_2014,08000,Atlántico,08001,Barranquilla,OTROS,0.0
