Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,27000,Chocó,27000,Chocó,AHORRO,127846182008.82047
2012,27000,Chocó,27000,Chocó,INVERSIÓN,214886521579.0122
2012,27000,Chocó,27000,Chocó,OTROS,0.0
2012,27000,Chocó,27001,Quibdó,AHORRO,2684644268.519996
2012,27000,Chocó,27001,Quibdó,INVERSIÓN,11669766435.304283
2012,27000,Chocó,27001,Quibdó,OTROS,0.0
2012,27000,Chocó,27006,Acandí,AHORRO,701739999.6121835
2012,27000,Chocó,27006,Acandí,INVERSIÓN,679856003.6022357
2012,27000,Chocó,27006,Acandí,OTROS,0.0
2012,27000,Chocó,27025,Alto Baudo,AHORRO,1734801565.3203616
2012,27000,Chocó,27025,Alto Baudo,INVERSIÓN,2362288886.827401
2012,27000,Chocó,27025,Alto Baudo,OTROS,0.0
2012,27000,Chocó,27050,Atrato,AHORRO,912978817.9177964
2012,27000,Chocó,27050,Atrato,INVERSIÓN,789531098.7874174
2012,27000,Chocó,27050,Atrato,OTROS,0.0
2012,27000,Chocó,27073,Bagadó,AHORRO,900848236.9127692
2012,27000,Chocó,27073,Bagadó,INVERSIÓN,946208680.4260645
2012,27000,Chocó,27073,Bagadó,OTROS,0.0
2012,27000,Chocó,27075,Bahía Solano,AHORRO,510457759.4891138
2012,27000,Chocó,27075,Bahía Solano,INVERSIÓN,705581484.5042807
2012,27000,Chocó,27075,Bahía Solano,OTROS,0.0
2012,27000,Chocó,27077,Bajo Baudó,AHORRO,1155463031.0394588
2012,27000,Chocó,27077,Bajo Baudó,INVERSIÓN,1170786282.2140236
2012,27000,Chocó,27077,Bajo Baudó,OTROS,0.0
2012,27000,Chocó,27099,Bojaya,AHORRO,1056288498.6928031
2012,27000,Chocó,27099,Bojaya,INVERSIÓN,702801429.4322819
2012,27000,Chocó,27099,Bojaya,OTROS,0.0
2012,27000,Chocó,27135,El Cantón del San Pablo,AHORRO,650813390.1567048
2012,27000,Chocó,27135,El Cantón del San Pablo,INVERSIÓN,3392335134.4137087
2012,27000,Chocó,27135,El Cantón del San Pablo,OTROS,0.0
2012,27000,Chocó,27150,Carmen del Darien,AHORRO,0.0
2012,27000,Chocó,27150,Carmen del Darien,INVERSIÓN,367200337.798164
2012,27000,Chocó,27150,Carmen del Darien,OTROS,0.0
2012,27000,Chocó,27160,Cértegui,AHORRO,991921188.8705772
2012,27000,Chocó,27160,Cértegui,INVERSIÓN,1307880563.9660482
2012,27000,Chocó,27160,Cértegui,OTROS,0.0
2012,27000,Chocó,27205,Condoto,AHORRO,937452926.9674358
2012,27000,Chocó,27205,Condoto,INVERSIÓN,3452699154.204432
2012,27000,Chocó,27205,Condoto,OTROS,0.0
2012,27000,Chocó,27245,El Carmen de Atrato,AHORRO,608640748.6408336
2012,27000,Chocó,27245,El Carmen de Atrato,INVERSIÓN,910981780.1368855
2012,27000,Chocó,27245,El Carmen de Atrato,OTROS,0.0
2012,27000,Chocó,27250,El Litoral del San Juan,AHORRO,1069085672.8863908
2012,27000,Chocó,27250,El Litoral del San Juan,INVERSIÓN,977771124.8441762
2012,27000,Chocó,27250,El Litoral del San Juan,OTROS,0.0
2012,27000,Chocó,27361,Istmina,AHORRO,1440069812.0040388
2012,27000,Chocó,27361,Istmina,INVERSIÓN,6111179635.049364
2012,27000,Chocó,27361,Istmina,OTROS,0.0
2012,27000,Chocó,27372,Juradó,AHORRO,642396084.6025631
2012,27000,Chocó,27372,Juradó,INVERSIÓN,233448693.95002976
2012,27000,Chocó,27372,Juradó,OTROS,0.0
2012,27000,Chocó,27413,Lloró,AHORRO,917545598.945368
2012,27000,Chocó,27413,Lloró,INVERSIÓN,1153520859.6849928
2012,27000,Chocó,27413,Lloró,OTROS,0.0
2012,27000,Chocó,27425,Medio Atrato,AHORRO,1599912028.341942
2012,27000,Chocó,27425,Medio Atrato,INVERSIÓN,3061738665.690252
2012,27000,Chocó,27425,Medio Atrato,OTROS,0.0
2012,27000,Chocó,27430,Medio Baudó,AHORRO,0.0
2012,27000,Chocó,27430,Medio Baudó,INVERSIÓN,2823399501.4949937
2012,27000,Chocó,27430,Medio Baudó,OTROS,0.0
2012,27000,Chocó,27450,Medio San Juan,AHORRO,923960388.6732138
2012,27000,Chocó,27450,Medio San Juan,INVERSIÓN,1652532117.6654725
2012,27000,Chocó,27450,Medio San Juan,OTROS,0.0
2012,27000,Chocó,27491,Nóvita,AHORRO,768743219.0747019
2012,27000,Chocó,27491,Nóvita,INVERSIÓN,12519451511.075811
2012,27000,Chocó,27491,Nóvita,OTROS,0.0
2012,27000,Chocó,27495,Nuquí,AHORRO,622230617.6746736
2012,27000,Chocó,27495,Nuquí,INVERSIÓN,567005559.8580599
2012,27000,Chocó,27495,Nuquí,OTROS,0.0
2012,27000,Chocó,27580,Río Iro,AHORRO,0.0
2012,27000,Chocó,27580,Río Iro,INVERSIÓN,1179807186.1484585
2012,27000,Chocó,27580,Río Iro,OTROS,0.0
2012,27000,Chocó,27600,Río Quito,AHORRO,1011282447.0614992
2012,27000,Chocó,27600,Río Quito,INVERSIÓN,892422848.7737907
2012,27000,Chocó,27600,Río Quito,OTROS,0.0
2012,27000,Chocó,27615,Riosucio,AHORRO,1495420654.676433
2012,27000,Chocó,27615,Riosucio,INVERSIÓN,1964136594.804487
2012,27000,Chocó,27615,Riosucio,OTROS,0.0
2012,27000,Chocó,27660,San José del Palmar,AHORRO,482698504.42015815
2012,27000,Chocó,27660,San José del Palmar,INVERSIÓN,381582268.4053945
2012,27000,Chocó,27660,San José del Palmar,OTROS,0.0
2012,27000,Chocó,27745,Sipí,AHORRO,472518853.9043265
2012,27000,Chocó,27745,Sipí,INVERSIÓN,3004502280.3004303
2012,27000,Chocó,27745,Sipí,OTROS,0.0
2012,27000,Chocó,27787,Tadó,AHORRO,1274293827.9448826
2012,27000,Chocó,27787,Tadó,INVERSIÓN,4902362443.277949
2012,27000,Chocó,27787,Tadó,OTROS,0.0
2012,27000,Chocó,27800,Unguía,AHORRO,940235913.9138464
2012,27000,Chocó,27800,Unguía,INVERSIÓN,1026009936.4658207
2012,27000,Chocó,27800,Unguía,OTROS,0.0
2012,27000,Chocó,27810,Unión Panamericana,AHORRO,715267878.2818189
2012,27000,Chocó,27810,Unión Panamericana,INVERSIÓN,6640142037.81527
2012,27000,Chocó,27810,Unión Panamericana,OTROS,0.0
2013_2014,27000,Chocó,27000,Chocó,AHORRO,224367439060.36697
2013_2014,27000,Chocó,27000,Chocó,INVERSIÓN,427988125234.3224
2013_2014,27000,Chocó,27000,Chocó,OTROS,0.0
2013_2014,27000,Chocó,27001,Quibdó,AHORRO,3702989364.0773306
2013_2014,27000,Chocó,27001,Quibdó,INVERSIÓN,21284094463.38881
2013_2014,27000,Chocó,27001,Quibdó,OTROS,0.0
2013_2014,27000,Chocó,27006,Acandí,AHORRO,961875167.352362
2013_2014,27000,Chocó,27006,Acandí,INVERSIÓN,1527861405.9464703
2013_2014,27000,Chocó,27006,Acandí,OTROS,0.0
2013_2014,27000,Chocó,27025,Alto Baudo,AHORRO,2424288139.953854
2013_2014,27000,Chocó,27025,Alto Baudo,INVERSIÓN,5165528857.62346
2013_2014,27000,Chocó,27025,Alto Baudo,OTROS,0.0
2013_2014,27000,Chocó,27050,Atrato,AHORRO,1277280887.218243
2013_2014,27000,Chocó,27050,Atrato,INVERSIÓN,2796274778.1326947
2013_2014,27000,Chocó,27050,Atrato,OTROS,0.0
2013_2014,27000,Chocó,27073,Bagadó,AHORRO,1238009634.738594
2013_2014,27000,Chocó,27073,Bagadó,INVERSIÓN,1659239462.6839466
2013_2014,27000,Chocó,27073,Bagadó,OTROS,0.0
2013_2014,27000,Chocó,27075,Bahía Solano,AHORRO,704309319.2268668
2013_2014,27000,Chocó,27075,Bahía Solano,INVERSIÓN,1536028356.092047
2013_2014,27000,Chocó,27075,Bahía Solano,OTROS,0.0
2013_2014,27000,Chocó,27077,Bajo Baudó,AHORRO,1597238630.0332968
2013_2014,27000,Chocó,27077,Bajo Baudó,INVERSIÓN,2515526037.0756392
2013_2014,27000,Chocó,27077,Bajo Baudó,OTROS,0.0
2013_2014,27000,Chocó,27099,Bojaya,AHORRO,1456634624.10811
2013_2014,27000,Chocó,27099,Bojaya,INVERSIÓN,1470219563.2167687
2013_2014,27000,Chocó,27099,Bojaya,OTROS,0.0
2013_2014,27000,Chocó,27135,El Cantón del San Pablo,AHORRO,909824719.0566148
2013_2014,27000,Chocó,27135,El Cantón del San Pablo,INVERSIÓN,2733338949.5732336
2013_2014,27000,Chocó,27135,El Cantón del San Pablo,OTROS,0.0
2013_2014,27000,Chocó,27150,Carmen del Darien,AHORRO,0.0
2013_2014,27000,Chocó,27150,Carmen del Darien,INVERSIÓN,790414904.4469532
2013_2014,27000,Chocó,27150,Carmen del Darien,OTROS,0.0
2013_2014,27000,Chocó,27160,Cértegui,AHORRO,1370504166.6987326
2013_2014,27000,Chocó,27160,Cértegui,INVERSIÓN,1505238941.0543618
2013_2014,27000,Chocó,27160,Cértegui,OTROS,0.0
2013_2014,27000,Chocó,27205,Condoto,AHORRO,1299731559.1738997
2013_2014,27000,Chocó,27205,Condoto,INVERSIÓN,5143965530.581008
2013_2014,27000,Chocó,27205,Condoto,OTROS,0.0
2013_2014,27000,Chocó,27245,El Carmen de Atrato,AHORRO,846875917.5299424
2013_2014,27000,Chocó,27245,El Carmen de Atrato,INVERSIÓN,2121348363.4900184
2013_2014,27000,Chocó,27245,El Carmen de Atrato,OTROS,0.0
2013_2014,27000,Chocó,27250,El Litoral del San Juan,AHORRO,1491155030.4410734
2013_2014,27000,Chocó,27250,El Litoral del San Juan,INVERSIÓN,2149825507.991667
2013_2014,27000,Chocó,27250,El Litoral del San Juan,OTROS,0.0
2013_2014,27000,Chocó,27361,Istmina,AHORRO,1992371880.4703224
2013_2014,27000,Chocó,27361,Istmina,INVERSIÓN,8630060118.969324
2013_2014,27000,Chocó,27361,Istmina,OTROS,0.0
2013_2014,27000,Chocó,27372,Juradó,AHORRO,880573660.4792858
2013_2014,27000,Chocó,27372,Juradó,INVERSIÓN,490913624.0072706
