Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,AHORRO,0.0
2012,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,INVERSIÓN,0.0
2012,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,OTROS,0.0
2012,CI000,Comunidades Étnicas,CI002,Comunidades NARP,AHORRO,0.0
2012,CI000,Comunidades Étnicas,CI002,Comunidades NARP,INVERSIÓN,0.0
2012,CI000,Comunidades Étnicas,CI002,Comunidades NARP,OTROS,0.0
2012,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,AHORRO,0.0
2012,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,INVERSIÓN,0.0
2012,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,OTROS,0.0
2013_2014,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,AHORRO,0.0
2013_2014,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,INVERSIÓN,0.0
2013_2014,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,OTROS,0.0
2013_2014,CI000,Comunidades Étnicas,CI002,Comunidades NARP,AHORRO,0.0
2013_2014,CI000,Comunidades Étnicas,CI002,Comunidades NARP,INVERSIÓN,0.0
2013_2014,CI000,Comunidades Étnicas,CI002,Comunidades NARP,OTROS,0.0
2013_2014,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,AHORRO,0.0
2013_2014,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,INVERSIÓN,0.0
2013_2014,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,OTROS,0.0
2015_2016,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,AHORRO,0.0
2015_2016,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,INVERSIÓN,0.0
2015_2016,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,OTROS,0.0
2015_2016,CI000,Comunidades Étnicas,CI002,Comunidades NARP,AHORRO,0.0
2015_2016,CI000,Comunidades Étnicas,CI002,Comunidades NARP,INVERSIÓN,0.0
2015_2016,CI000,Comunidades Étnicas,CI002,Comunidades NARP,OTROS,0.0
2015_2016,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,AHORRO,0.0
2015_2016,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,INVERSIÓN,0.0
2015_2016,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,OTROS,0.0
2017_2018,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,AHORRO,0.0
2017_2018,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,INVERSIÓN,0.0
2017_2018,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,OTROS,0.0
2017_2018,CI000,Comunidades Étnicas,CI002,Comunidades NARP,AHORRO,0.0
2017_2018,CI000,Comunidades Étnicas,CI002,Comunidades NARP,INVERSIÓN,0.0
2017_2018,CI000,Comunidades Étnicas,CI002,Comunidades NARP,OTROS,0.0
2017_2018,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,AHORRO,0.0
2017_2018,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,INVERSIÓN,0.0
2017_2018,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,OTROS,0.0
2019_2020,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,AHORRO,0.0
2019_2020,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,INVERSIÓN,0.0
2019_2020,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,OTROS,0.0
2019_2020,CI000,Comunidades Étnicas,CI002,Comunidades NARP,AHORRO,0.0
2019_2020,CI000,Comunidades Étnicas,CI002,Comunidades NARP,INVERSIÓN,0.0
2019_2020,CI000,Comunidades Étnicas,CI002,Comunidades NARP,OTROS,0.0
2019_2020,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,AHORRO,0.0
2019_2020,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,INVERSIÓN,0.0
2019_2020,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,OTROS,0.0
2021_2022,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,AHORRO,0.0
2021_2022,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,INVERSIÓN,182848527841.3567
2021_2022,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,OTROS,0.0237040831548044
2021_2022,CI000,Comunidades Étnicas,CI002,Comunidades NARP,AHORRO,0.0
2021_2022,CI000,Comunidades Étnicas,CI002,Comunidades NARP,INVERSIÓN,201133380625.48883
2021_2022,CI000,Comunidades Étnicas,CI002,Comunidades NARP,OTROS,509512412.21537656
2021_2022,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,AHORRO,0.0
2021_2022,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,INVERSIÓN,40226676125.093025
2021_2022,CI000,Comunidades Étnicas,CI003,Comunidades Rrom,OTROS,0.0
2023_2024,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,AHORRO,0.0
2023_2024,CI000,Comunidades Étnicas,CI001,Comunidades Indígenas,INVERSIÓN,308345270457.11505
