Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,AHORRO,0.0
2012,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,INVERSIÓN,0.0
2012,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,OTROS,0.0
2013_2014,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,AHORRO,0.0
2013_2014,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,INVERSIÓN,0.0
2013_2014,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,OTROS,0.0
2015_2016,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,AHORRO,0.0
2015_2016,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,INVERSIÓN,0.0
2015_2016,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,OTROS,0.0
2017_2018,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,AHORRO,0.0
2017_2018,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,INVERSIÓN,0.0
2017_2018,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,OTROS,0.0
2019_2020,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,AHORRO,0.0
2019_2020,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,INVERSIÓN,0.0
2019_2020,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,OTROS,0.0
2021_2022,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,AHORRO,0.0
2021_2022,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,INVERSIÓN,0.0
2021_2022,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,OTROS,0.0
2023_2024,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,AHORRO,0.0
2023_2024,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,INVERSIÓN,0.0
2023_2024,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,MEDIDAS AHORRO,0.0
2023_2024,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,MEDIDAS INVERSIÓN,1994279358053.8
2023_2024,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,MEDIDAS OTROS,0.0
2023_2024,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,OTROS,0.0
2023_2024,CA000,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,CA999,Conservación de las Áreas Ambientales Estratégicas y la Lucha Nacional contra la Deforestación,RECAUDO CORRIENTE NO AFORADO,0.0
