Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,C0000,Corporaciones Autónomas,C0000,Corporaciones Autónomas,AHORRO,0.0
2012,C0000,Corporaciones Autónomas,C0000,Corporaciones Autónomas,INVERSIÓN,0.0
2012,C0000,Corporaciones Autónomas,C0000,Corporaciones Autónomas,OTROS,0.0
2012,C0000,Corporaciones Autónomas,C0001,Corporación CVS,AHORRO,0.0
2012,C0000,Corporaciones Autónomas,C0001,Corporación CVS,INVERSIÓN,24468962828.288628
2012,C0000,Corporaciones Autónomas,C0001,Corporación CVS,OTROS,0.0
2012,C0000,Corporaciones Autónomas,C0002,Corponariño,AHORRO,0.0
2012,C0000,Corporaciones Autónomas,C0002,Corponariño,INVERSIÓN,518771839.3872197
2012,C0000,Corporaciones Autónomas,C0002,Corponariño,OTROS,0.0
2012,C0000,Corporaciones Autónomas,C0003,Corponor,AHORRO,0.0
2012,C0000,Corporaciones Autónomas,C0003,Corponor,INVERSIÓN,3301025029.255345
2012,C0000,Corporaciones Autónomas,C0003,Corponor,OTROS,0.0
2012,C0000,Corporaciones Autónomas,C0004,Corpoamazonía,AHORRO,0.0
2012,C0000,Corporaciones Autónomas,C0004,Corpoamazonía,INVERSIÓN,17333186919.25847
2012,C0000,Corporaciones Autónomas,C0004,Corpoamazonía,OTROS,0.0
2012,C0000,Corporaciones Autónomas,C0005,Corpoboyacá,AHORRO,0.0
2012,C0000,Corporaciones Autónomas,C0005,Corpoboyacá,INVERSIÓN,36112238.12902145
2012,C0000,Corporaciones Autónomas,C0005,Corpoboyacá,OTROS,0.0
2012,C0000,Corporaciones Autónomas,C0006,Corpocesar,AHORRO,0.0
2012,C0000,Corporaciones Autónomas,C0006,Corpocesar,INVERSIÓN,14189694416.451214
2012,C0000,Corporaciones Autónomas,C0006,Corpocesar,OTROS,0.0
2012,C0000,Corporaciones Autónomas,C0007,Corpoguajira,AHORRO,0.0
2012,C0000,Corporaciones Autónomas,C0007,Corpoguajira,INVERSIÓN,36117723239.780495
2012,C0000,Corporaciones Autónomas,C0007,Corpoguajira,OTROS,0.0
2012,C0000,Corporaciones Autónomas,C0008,Corporacion Autonoma Santander,AHORRO,0.0
2012,C0000,Corporaciones Autónomas,C0008,Corporacion Autonoma Santander,INVERSIÓN,0.0
2012,C0000,Corporaciones Autónomas,C0008,Corporacion Autonoma Santander,OTROS,0.0
2012,C0000,Corporaciones Autónomas,C0009,Corporación Autónoma Regional del Valle del Cauca,AHORRO,0.0
2012,C0000,Corporaciones Autónomas,C0009,Corporación Autónoma Regional del Valle del Cauca,INVERSIÓN,0.0
2012,C0000,Corporaciones Autónomas,C0009,Corporación Autónoma Regional del Valle del Cauca,OTROS,0.0
2013_2014,C0000,Corporaciones Autónomas,C0000,Corporaciones Autónomas,AHORRO,0.0
2013_2014,C0000,Corporaciones Autónomas,C0000,Corporaciones Autónomas,INVERSIÓN,0.0
2013_2014,C0000,Corporaciones Autónomas,C0000,Corporaciones Autónomas,OTROS,0.0
2013_2014,C0000,Corporaciones Autónomas,C0001,Corporación CVS,AHORRO,0.0
2013_2014,C0000,Corporaciones Autónomas,C0001,Corporación CVS,INVERSIÓN,23569669050.842957
2013_2014,C0000,Corporaciones Autónomas,C0001,Corporación CVS,OTROS,0.0
2013_2014,C0000,Corporaciones Autónomas,C0002,Corponariño,AHORRO,0.0
2013_2014,C0000,Corporaciones Autónomas,C0002,Corponariño,INVERSIÓN,345959979.34717226
2013_2014,C0000,Corporaciones Autónomas,C0002,Corponariño,OTROS,0.0
2013_2014,C0000,Corporaciones Autónomas,C0003,Corponor,AHORRO,0.0
2013_2014,C0000,Corporaciones Autónomas,C0003,Corponor,INVERSIÓN,1784001297.3558683
2013_2014,C0000,Corporaciones Autónomas,C0003,Corponor,OTROS,0.0
2013_2014,C0000,Corporaciones Autónomas,C0004,Corpoamazonía,AHORRO,0.0
2013_2014,C0000,Corporaciones Autónomas,C0004,Corpoamazonía,INVERSIÓN,29937943187.14877
2013_2014,C0000,Corporaciones Autónomas,C0004,Corpoamazonía,OTROS,0.0
2013_2014,C0000,Corporaciones Autónomas,C0005,Corpoboyacá,AHORRO,0.0
2013_2014,C0000,Corporaciones Autónomas,C0005,Corpoboyacá,INVERSIÓN,49880373.642974176
2013_2014,C0000,Corporaciones Autónomas,C0005,Corpoboyacá,OTROS,0.0
2013_2014,C0000,Corporaciones Autónomas,C0006,Corpocesar,AHORRO,0.0
2013_2014,C0000,Corporaciones Autónomas,C0006,Corpocesar,INVERSIÓN,11985441827.16733
2013_2014,C0000,Corporaciones Autónomas,C0006,Corpocesar,OTROS,0.0
2013_2014,C0000,Corporaciones Autónomas,C0007,Corpoguajira,AHORRO,0.0
2013_2014,C0000,Corporaciones Autónomas,C0007,Corpoguajira,INVERSIÓN,35318115157.19129
2013_2014,C0000,Corporaciones Autónomas,C0007,Corpoguajira,OTROS,0.0
2013_2014,C0000,Corporaciones Autónomas,C0008,Corporacion Autonoma Santander,AHORRO,0.0
2013_2014,C0000,Corporaciones Autónomas,C0008,Corporacion Autonoma Santander,INVERSIÓN,70000982.09898776
