Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,AHORRO,0.0
2012,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,INVERSIÓN,0.0
2012,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,OTROS,0.0
2013_2014,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,AHORRO,0.0
2013_2014,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,INVERSIÓN,0.0
2013_2014,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,OTROS,0.0
2015_2016,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,AHORRO,0.0
2015_2016,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,INVERSIÓN,0.0
2015_2016,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,OTROS,0.0
2017_2018,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,AHORRO,0.0
2017_2018,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,INVERSIÓN,0.0
2017_2018,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,OTROS,0.0
2019_2020,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,AHORRO,0.0
2019_2020,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,INVERSIÓN,0.0
2019_2020,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,OTROS,0.0
2021_2022,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,AHORRO,0.0
2021_2022,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,INVERSIÓN,0.0
2021_2022,09000,Emprendimiento y Generación de Empleo,09000,Emprendimiento y Generación de Empleo,OTROS,0.0
2023_2024,9000,Emprendimiento y Generación de Empleo,9000,Emprendimiento y Generación de Empleo,AHORRO,0.0
2023_2024,9000,Emprendimiento y Generación de Empleo,9000,Emprendimiento y Generación de Empleo,INVERSIÓN,0.0
2023_2024,9000,Emprendimiento y Generación de Empleo,9000,Emprendimiento y Generación de Empleo,MEDIDAS AHORRO,0.0
2023_2024,9000,Emprendimiento y Generación de Empleo,9000,Emprendimiento y Generación de Empleo,MEDIDAS INVERSIÓN,498569839513.4499
2023_2024,9000,Emprendimiento y Generación de Empleo,9000,Emprendimiento y Generación de Empleo,MEDIDAS OTROS,0.0
2023_2024,9000,Emprendimiento y Generación de Empleo,9000,Emprendimiento y Generación de Empleo,OTROS,0.0
2023_2024,9000,Emprendimiento y Generación de Empleo,9000,Emprendimiento y Generación de Empleo,RECAUDO CORRIENTE NO AFORADO,0.0
