Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,90000,Gobernacion Indeterminada,90000,Gobernacion Indeterminada,AHORRO,0.0
2012,90000,Gobernacion Indeterminada,90000,Gobernacion Indeterminada,INVERSIÓN,219960397.58638945
2012,90000,Gobernacion Indeterminada,90000,Gobernacion Indeterminada,OTROS,0.0
2012,90000,Gobernacion Indeterminada,90005,Otros por distribuir - Parágrafo del Articulo 11 de la Ley 2279 de 2022,AHORRO,0.0
2012,90000,Gobernacion Indeterminada,90005,Otros por distribuir - Parágrafo del Articulo 11 de la Ley 2279 de 2022,INVERSIÓN,0.0
2012,90000,Gobernacion Indeterminada,90005,Otros por distribuir - Parágrafo del Articulo 11 de la Ley 2279 de 2022,OTROS,0.0
2012,90000,Gobernacion Indeterminada,90996,Municipio Indeterminado Chipo,AHORRO,0.0
2012,90000,Gobernacion Indeterminada,90996,Municipio Indeterminado Chipo,INVERSIÓN,0.0
2012,90000,Gobernacion Indeterminada,90996,Municipio Indeterminado Chipo,OTROS,0.0
2012,90000,Gobernacion Indeterminada,90999,Municipio Indeterminado,AHORRO,0.0
2012,90000,Gobernacion Indeterminada,90999,Municipio Indeterminado,INVERSIÓN,135360244.66560307
2012,90000,Gobernacion Indeterminada,90999,Municipio Indeterminado,OTROS,0.0
2013_2014,90000,Gobernacion Indeterminada,90000,Gobernacion Indeterminada,AHORRO,0.0
2013_2014,90000,Gobernacion Indeterminada,90000,Gobernacion Indeterminada,INVERSIÓN,4672857687.829811
2013_2014,90000,Gobernacion Indeterminada,90000,Gobernacion Indeterminada,OTROS,0.0
2013_2014,90000,Gobernacion Indeterminada,90005,Otros por distribuir - Parágrafo del Articulo 11 de la Ley 2279 de 2022,AHORRO,0.0
2013_2014,90000,Gobernacion Indeterminada,90005,Otros por distribuir - Parágrafo del Articulo 11 de la Ley 2279 de 2022,INVERSIÓN,0.0
2013_2014,90000,Gobernacion Indeterminada,90005,Otros por distribuir - Parágrafo del Articulo 11 de la Ley 2279 de 2022,OTROS,0.0
2013_2014,90000,Gobernacion Indeterminada,90996,Municipio Indeterminado Chipo,AHORRO,0.0
2013_2014,90000,Gobernacion Indeterminada,90996,Municipio Indeterminado Chipo,INVERSIÓN,0.0
2013_2014,90000,Gobernacion Indeterminada,90996,Municipio Indeterminado Chipo,OTROS,0.0
2013_2014,90000,Gobernacion Indeterminada,90999,Municipio Indeterminado,AHORRO,0.0
2013_2014,90000,Gobernacion Indeterminada,90999,Municipio Indeterminado,INVERSIÓN,2871702260.182838
2013_2014,90000,Gobernacion Indeterminada,90999,Municipio Indeterminado,OTROS,0.0
2015_2016,90000,Gobernacion Indeterminada,90000,Gobernacion Indeterminada,AHORRO,995536647.0139306
2015_2016,90000,Gobernacion Indeterminada,90000,Gobernacion Indeterminada,INVERSIÓN,1991026458.9833848
2015_2016,90000,Gobernacion Indeterminada,90000,Gobernacion Indeterminada,OTROS,0.0
2015_2016,90000,Gobernacion Indeterminada,90005,Otros por distribuir - Parágrafo del Articulo 11 de la Ley 2279 de 2022,AHORRO,0.0
2015_2016,90000,Gobernacion Indeterminada,90005,Otros por distribuir - Parágrafo del Articulo 11 de la Ley 2279 de 2022,INVERSIÓN,0.0
2015_2016,90000,Gobernacion Indeterminada,90005,Otros por distribuir - Parágrafo del Articulo 11 de la Ley 2279 de 2022,OTROS,0.0
2015_2016,90000,Gobernacion Indeterminada,90996,Municipio Indeterminado Chipo,AHORRO,0.0
2015_2016,90000,Gobernacion Indeterminada,90996,Municipio Indeterminado Chipo,INVERSIÓN,0.0
2015_2016,90000,Gobernacion Indeterminada,90996,Municipio Indeterminado Chipo,OTROS,0.0
2015_2016,90000,Gobernacion Indeterminada,90999,Municipio Indeterminado,AHORRO,0.0
2015_2016,90000,Gobernacion Indeterminada,90999,Municipio Indeterminado,INVERSIÓN,1231200460.1201725
2015_2016,90000,Gobernacion Indeterminada,90999,Municipio Indeterminado,OTROS,0.0
2017_2018,90000,Gobernacion Indeterminada,90000,Gobernacion Indeterminada,AHORRO,384313990.808313
2017_2018,90000,Gobernacion Indeterminada,90000,Gobernacion Indeterminada,INVERSIÓN,1719068301.9306998
2017_2018,90000,Gobernacion Indeterminada,90000,Gobernacion Indeterminada,OTROS,0.0
2017_2018,90000,Gobernacion Indeterminada,90005,Otros por distribuir - Parágrafo del Articulo 11 de la Ley 2279 de 2022,AHORRO,0.0
2017_2018,90000,Gobernacion Indeterminada,90005,Otros por distribuir - Parágrafo del Articulo 11 de la Ley 2279 de 2022,INVERSIÓN,0.0
2017_2018,90000,Gobernacion Indeterminada,90005,Otros por distribuir - Parágrafo del Articulo 11 de la Ley 2279 de 2022,OTROS,0.0
