Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,AHORRO,0.0
2012,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,INVERSIÓN,0.0
2012,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,OTROS,0.0
2012,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,AHORRO,0.0
2012,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,INVERSIÓN,0.0
2012,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,OTROS,0.0
2013_2014,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,AHORRO,0.0
2013_2014,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,INVERSIÓN,0.0
2013_2014,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,OTROS,0.0
2013_2014,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,AHORRO,0.0
2013_2014,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,INVERSIÓN,0.0
2013_2014,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,OTROS,0.0
2015_2016,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,AHORRO,0.0
2015_2016,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,INVERSIÓN,0.0
2015_2016,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,OTROS,0.0
2015_2016,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,AHORRO,0.0
2015_2016,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,INVERSIÓN,0.0
2015_2016,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,OTROS,0.0
2017_2018,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,AHORRO,0.0
2017_2018,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,INVERSIÓN,0.0
2017_2018,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,OTROS,0.0
2017_2018,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,AHORRO,0.0
2017_2018,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,INVERSIÓN,1222750.3106544
2017_2018,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,OTROS,0.0
2019_2020,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,AHORRO,0.0
2019_2020,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,INVERSIÓN,0.0
2019_2020,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,OTROS,0.0
2019_2020,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,AHORRO,0.0
2019_2020,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,INVERSIÓN,978177.300857911
2019_2020,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,OTROS,0.0
2021_2022,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,AHORRO,0.0
2021_2022,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,INVERSIÓN,1783048253.8451705
2021_2022,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,OTROS,0.0
2021_2022,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,AHORRO,0.0
2021_2022,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,INVERSIÓN,1807965741.1232092
2021_2022,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,OTROS,0.0
2023_2024,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,AHORRO,0.0
2023_2024,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,INVERSIÓN,398627494.05392
2023_2024,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,MEDIDAS AHORRO,0.0
2023_2024,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,MEDIDAS INVERSIÓN,598661825.044
2023_2024,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,MEDIDAS OTROS,0.0
2023_2024,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,OTROS,0.0
2023_2024,90002,Gobernación Indeterminada - Capella,90002,Gobernación Indeterminada - Capella,RECAUDO CORRIENTE NO AFORADO,0.0
2023_2024,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,AHORRO,0.0
2023_2024,90002,Gobernación Indeterminada - Capella,90998,Municipio Indeterminado Capella,INVERSIÓN,466921293.9141601
