Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,AHORRO,0.0
2012,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,INVERSIÓN,0.0
2012,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,OTROS,0.0
2012,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,AHORRO,0.0
2012,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,INVERSIÓN,0.0
2012,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,OTROS,0.0
2013_2014,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,AHORRO,0.0
2013_2014,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,INVERSIÓN,0.0
2013_2014,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,OTROS,0.0
2013_2014,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,AHORRO,0.0
2013_2014,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,INVERSIÓN,0.0
2013_2014,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,OTROS,0.0
2015_2016,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,AHORRO,0.0
2015_2016,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,INVERSIÓN,0.0
2015_2016,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,OTROS,0.0
2015_2016,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,AHORRO,0.0
2015_2016,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,INVERSIÓN,0.0
2015_2016,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,OTROS,0.0
2017_2018,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,AHORRO,0.0
2017_2018,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,INVERSIÓN,0.0
2017_2018,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,OTROS,0.0
2017_2018,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,AHORRO,0.0
2017_2018,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,INVERSIÓN,303958018.06846964
2017_2018,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,OTROS,0.0
2019_2020,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,AHORRO,0.0
2019_2020,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,INVERSIÓN,0.0
2019_2020,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,OTROS,0.0
2019_2020,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,AHORRO,0.0
2019_2020,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,INVERSIÓN,243160709.99535915
2019_2020,90001,Gobernación Indeterminada - Gibraltar,90997,Municipio Indeterminado Gibraltar,OTROS,0.0
2021_2022,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,AHORRO,0.0
2021_2022,90001,Gobernación Indeterminada - Gibraltar,90001,Gobernación Indeterminada - Gibraltar,INVERSIÓN,3016462454.766869
