Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,94000,Guainía,94000,Guainía,AHORRO,30857124710.73871
2012,94000,Guainía,94000,Guainía,INVERSIÓN,55417873297.1179
2012,94000,Guainía,94000,Guainía,OTROS,0.0
2012,94000,Guainía,94001,Inírida,AHORRO,1008080097.356858
2012,94000,Guainía,94001,Inírida,INVERSIÓN,1575650450.6160176
2012,94000,Guainía,94001,Inírida,OTROS,0.0
2012,94000,Guainía,94343,Barranco Minas,AHORRO,0.0
2012,94000,Guainía,94343,Barranco Minas,INVERSIÓN,0.0
2012,94000,Guainía,94343,Barranco Minas,OTROS,0.0
2012,94000,Guainía,94663,Mapiripana,AHORRO,0.0
2012,94000,Guainía,94663,Mapiripana,INVERSIÓN,0.0
2012,94000,Guainía,94663,Mapiripana,OTROS,0.0
2012,94000,Guainía,94883,San Felipe,AHORRO,0.0
2012,94000,Guainía,94883,San Felipe,INVERSIÓN,0.0
2012,94000,Guainía,94883,San Felipe,OTROS,0.0
2012,94000,Guainía,94884,Puerto Colombia,AHORRO,0.0
2012,94000,Guainía,94884,Puerto Colombia,INVERSIÓN,0.0
2012,94000,Guainía,94884,Puerto Colombia,OTROS,0.0
2012,94000,Guainía,94885,La Guadalupe,AHORRO,0.0
2012,94000,Guainía,94885,La Guadalupe,INVERSIÓN,0.0
2012,94000,Guainía,94885,La Guadalupe,OTROS,0.0
2012,94000,Guainía,94886,Cacahual,AHORRO,0.0
2012,94000,Guainía,94886,Cacahual,INVERSIÓN,0.0
2012,94000,Guainía,94886,Cacahual,OTROS,0.0
2012,94000,Guainía,94887,Pana Pana,AHORRO,0.0
2012,94000,Guainía,94887,Pana Pana,INVERSIÓN,0.0
2012,94000,Guainía,94887,Pana Pana,OTROS,0.0
2012,94000,Guainía,94888,Morichal,AHORRO,0.0
2012,94000,Guainía,94888,Morichal,INVERSIÓN,0.0
2012,94000,Guainía,94888,Morichal,OTROS,0.0
2013_2014,94000,Guainía,94000,Guainía,AHORRO,53968571346.08037
2013_2014,94000,Guainía,94000,Guainía,INVERSIÓN,111908235653.89133
2013_2014,94000,Guainía,94000,Guainía,OTROS,0.0
2013_2014,94000,Guainía,94001,Inírida,AHORRO,1396285599.2203102
2013_2014,94000,Guainía,94001,Inírida,INVERSIÓN,3739318038.7495723
2013_2014,94000,Guainía,94001,Inírida,OTROS,0.0
2013_2014,94000,Guainía,94343,Barranco Minas,AHORRO,0.0
2013_2014,94000,Guainía,94343,Barranco Minas,INVERSIÓN,0.0
2013_2014,94000,Guainía,94343,Barranco Minas,OTROS,0.0
2013_2014,94000,Guainía,94663,Mapiripana,AHORRO,0.0
2013_2014,94000,Guainía,94663,Mapiripana,INVERSIÓN,0.0
2013_2014,94000,Guainía,94663,Mapiripana,OTROS,0.0
2013_2014,94000,Guainía,94883,San Felipe,AHORRO,0.0
2013_2014,94000,Guainía,94883,San Felipe,INVERSIÓN,0.0
2013_2014,94000,Guainía,94883,San Felipe,OTROS,0.0
2013_2014,94000,Guainía,94884,Puerto Colombia,AHORRO,0.0
2013_2014,94000,Guainía,94884,Puerto Colombia,INVERSIÓN,0.0
2013_2014,94000,Guainía,94884,Puerto Colombia,OTROS,0.0
2013_2014,94000,Guainía,94885,La Guadalupe,AHORRO,0.0
2013_2014,94000,Guainía,94885,La Guadalupe,INVERSIÓN,0.0
2013_2014,94000,Guainía,94885,La Guadalupe,OTROS,0.0
2013_2014,94000,Guainía,94886,Cacahual,AHORRO,0.0
2013_2014,94000,Guainía,94886,Cacahual,INVERSIÓN,0.0
2013_2014,94000,Guainía,94886,Cacahual,OTROS,0.0
2013_2014,94000,Guainía,94887,Pana Pana,AHORRO,0.0
2013_2014,94000,Guainía,94887,Pana Pana,INVERSIÓN,0.0
2013_2014,94000,Guainía,94887,Pana Pana,OTROS,0.0
2013_2014,94000,Guainía,94888,Morichal,AHORRO,0.0
2013_2014,94000,Guainía,94888,Morichal,INVERSIÓN,0.0
2013_2014,94000,Guainía,94888,Morichal,OTROS,0.0
2015_2016,94000,Guainía,94000,Guainía,AHORRO,42538988564.35876
2015_2016,94000,Guainía,94000,Guainía,INVERSIÓN,77733128669.89857
2015_2016,94000,Guainía,94000,Guainía,OTROS,0.0
2015_2016,94000,Guainía,94001,Inírida,AHORRO,806865972.9898082
2015_2016,94000,Guainía,94001,Inírida,INVERSIÓN,2996274531.201668
2015_2016,94000,Guainía,94001,Inírida,OTROS,0.0
2015_2016,94000,Guainía,94343,Barranco Minas,AHORRO,0.0
2015_2016,94000,Guainía,94343,Barranco Minas,INVERSIÓN,0.0
2015_2016,94000,Guainía,94343,Barranco Minas,OTROS,0.0
2015_2016,94000,Guainía,94663,Mapiripana,AHORRO,0.0
2015_2016,94000,Guainía,94663,Mapiripana,INVERSIÓN,0.0
2015_2016,94000,Guainía,94663,Mapiripana,OTROS,0.0
2015_2016,94000,Guainía,94883,San Felipe,AHORRO,0.0
2015_2016,94000,Guainía,94883,San Felipe,INVERSIÓN,0.0
2015_2016,94000,Guainía,94883,San Felipe,OTROS,0.0
2015_2016,94000,Guainía,94884,Puerto Colombia,AHORRO,0.0
2015_2016,94000,Guainía,94884,Puerto Colombia,INVERSIÓN,0.0
2015_2016,94000,Guainía,94884,Puerto Colombia,OTROS,0.0
2015_2016,94000,Guainía,94885,La Guadalupe,AHORRO,0.0
2015_2016,94000,Guainía,94885,La Guadalupe,INVERSIÓN,0.0
2015_2016,94000,Guainía,94885,La Guadalupe,OTROS,0.0
2015_2016,94000,Guainía,94886,Cacahual,AHORRO,0.0
2015_2016,94000,Guainía,94886,Cacahual,INVERSIÓN,0.0
2015_2016,94000,Guainía,94886,Cacahual,OTROS,0.0
2015_2016,94000,Guainía,94887,Pana Pana,AHORRO,0.0
2015_2016,94000,Guainía,94887,Pana Pana,INVERSIÓN,0.0
2015_2016,94000,Guainía,94887,Pana Pana,OTROS,0.0
2015_2016,94000,Guainía,94888,Morichal,AHORRO,0.0
2015_2016,94000,Guainía,94888,Morichal,INVERSIÓN,0.0
2015_2016,94000,Guainía,94888,Morichal,OTROS,0.0
2017_2018,94000,Guainía,94000,Guainía,AHORRO,21041224920.211227
2017_2018,94000,Guainía,94000,Guainía,INVERSIÓN,131332419700.23494
2017_2018,94000,Guainía,94000,Guainía,OTROS,0.0
2017_2018,94000,Guainía,94001,Inírida,AHORRO,708463821.8660169
2017_2018,94000,Guainía,94001,Inírida,INVERSIÓN,3763521487.572805
2017_2018,94000,Guainía,94001,Inírida,OTROS,0.0
2017_2018,94000,Guainía,94343,Barranco Minas,AHORRO,0.0
2017_2018,94000,Guainía,94343,Barranco Minas,INVERSIÓN,0.0
2017_2018,94000,Guainía,94343,Barranco Minas,OTROS,0.0
2017_2018,94000,Guainía,94663,Mapiripana,AHORRO,0.0
2017_2018,94000,Guainía,94663,Mapiripana,INVERSIÓN,0.0
2017_2018,94000,Guainía,94663,Mapiripana,OTROS,0.0
2017_2018,94000,Guainía,94883,San Felipe,AHORRO,0.0
2017_2018,94000,Guainía,94883,San Felipe,INVERSIÓN,0.0
2017_2018,94000,Guainía,94883,San Felipe,OTROS,0.0
2017_2018,94000,Guainía,94884,Puerto Colombia,AHORRO,0.0
2017_2018,94000,Guainía,94884,Puerto Colombia,INVERSIÓN,0.0
2017_2018,94000,Guainía,94884,Puerto Colombia,OTROS,0.0
2017_2018,94000,Guainía,94885,La Guadalupe,AHORRO,0.0
2017_2018,94000,Guainía,94885,La Guadalupe,INVERSIÓN,0.0
2017_2018,94000,Guainía,94885,La Guadalupe,OTROS,0.0
2017_2018,94000,Guainía,94886,Cacahual,AHORRO,0.0
2017_2018,94000,Guainía,94886,Cacahual,INVERSIÓN,0.0
2017_2018,94000,Guainía,94886,Cacahual,OTROS,0.0
2017_2018,94000,Guainía,94887,Pana Pana,AHORRO,0.0
2017_2018,94000,Guainía,94887,Pana Pana,INVERSIÓN,0.0
2017_2018,94000,Guainía,94887,Pana Pana,OTROS,0.0
2017_2018,94000,Guainía,94888,Morichal,AHORRO,0.0
2017_2018,94000,Guainía,94888,Morichal,INVERSIÓN,0.0
2017_2018,94000,Guainía,94888,Morichal,OTROS,0.0
2019_2020,94000,Guainía,94000,Guainía,AHORRO,39305255536.45368
2019_2020,94000,Guainía,94000,Guainía,INVERSIÓN,116209544217.76367
2019_2020,94000,Guainía,94000,Guainía,OTROS,0.0
2019_2020,94000,Guainía,94001,Inírida,AHORRO,596108203.7497203
2019_2020,94000,Guainía,94001,Inírida,INVERSIÓN,3742319711.090546
2019_2020,94000,Guainía,94001,Inírida,OTROS,0.0
2019_2020,94000,Guainía,94343,Barranco Minas,AHORRO,0.0
