Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,95000,Guaviare,95000,Guaviare,AHORRO,40298839497.133446
2012,95000,Guaviare,95000,Guaviare,INVERSIÓN,74022233091.03456
2012,95000,Guaviare,95000,Guaviare,OTROS,0.0
2012,95000,Guaviare,95001,San José del Guaviare,AHORRO,1334088317.0945015
2012,95000,Guaviare,95001,San José del Guaviare,INVERSIÓN,4205983364.617378
2012,95000,Guaviare,95001,San José del Guaviare,OTROS,0.0
2012,95000,Guaviare,95015,Calamar,AHORRO,503410832.01639295
2012,95000,Guaviare,95015,Calamar,INVERSIÓN,710930645.0927382
2012,95000,Guaviare,95015,Calamar,OTROS,0.0
2012,95000,Guaviare,95025,El Retorno,AHORRO,1475448747.139491
2012,95000,Guaviare,95025,El Retorno,INVERSIÓN,1493948304.7230337
2012,95000,Guaviare,95025,El Retorno,OTROS,0.0
2012,95000,Guaviare,95200,Miraflores,AHORRO,747484585.9828843
2012,95000,Guaviare,95200,Miraflores,INVERSIÓN,922694485.685287
2012,95000,Guaviare,95200,Miraflores,OTROS,0.0
2013_2014,95000,Guaviare,95000,Guaviare,AHORRO,70728049086.23865
2013_2014,95000,Guaviare,95000,Guaviare,INVERSIÓN,148186876982.65875
2013_2014,95000,Guaviare,95000,Guaviare,OTROS,0.0
2013_2014,95000,Guaviare,95001,San José del Guaviare,AHORRO,1856005412.595312
2013_2014,95000,Guaviare,95001,San José del Guaviare,INVERSIÓN,9189391817.938356
2013_2014,95000,Guaviare,95001,San José del Guaviare,OTROS,0.0
2013_2014,95000,Guaviare,95015,Calamar,AHORRO,684641376.3956925
2013_2014,95000,Guaviare,95015,Calamar,INVERSIÓN,1513546380.171744
2013_2014,95000,Guaviare,95015,Calamar,OTROS,0.0
2013_2014,95000,Guaviare,95025,El Retorno,AHORRO,2053444560.8085008
2013_2014,95000,Guaviare,95025,El Retorno,INVERSIÓN,3266455066.347784
2013_2014,95000,Guaviare,95025,El Retorno,OTROS,0.0
2013_2014,95000,Guaviare,95200,Miraflores,AHORRO,1043804044.5904698
2013_2014,95000,Guaviare,95200,Miraflores,INVERSIÓN,2034975518.0239236
2013_2014,95000,Guaviare,95200,Miraflores,OTROS,0.0
2015_2016,95000,Guaviare,95000,Guaviare,AHORRO,57750812948.21414
2015_2016,95000,Guaviare,95000,Guaviare,INVERSIÓN,107636874989.19673
2015_2016,95000,Guaviare,95000,Guaviare,OTROS,0.0
2015_2016,95000,Guaviare,95001,San José del Guaviare,AHORRO,1078203029.5883949
2015_2016,95000,Guaviare,95001,San José del Guaviare,INVERSIÓN,6729308490.443348
2015_2016,95000,Guaviare,95001,San José del Guaviare,OTROS,0.0
2015_2016,95000,Guaviare,95015,Calamar,AHORRO,387089029.4320691
2015_2016,95000,Guaviare,95015,Calamar,INVERSIÓN,1048743958.389989
2015_2016,95000,Guaviare,95015,Calamar,OTROS,0.0
2015_2016,95000,Guaviare,95025,El Retorno,AHORRO,1193422081.64421
2015_2016,95000,Guaviare,95025,El Retorno,INVERSIÓN,2394113008.5588546
2015_2016,95000,Guaviare,95025,El Retorno,OTROS,0.0
2015_2016,95000,Guaviare,95200,Miraflores,AHORRO,609046624.9179294
2015_2016,95000,Guaviare,95200,Miraflores,INVERSIÓN,1506468935.3489356
2015_2016,95000,Guaviare,95200,Miraflores,OTROS,0.0
2017_2018,95000,Guaviare,95000,Guaviare,AHORRO,26515853153.549545
2017_2018,95000,Guaviare,95000,Guaviare,INVERSIÓN,181603138917.2428
2017_2018,95000,Guaviare,95000,Guaviare,OTROS,0.0
2017_2018,95000,Guaviare,95001,San José del Guaviare,AHORRO,953237697.3153424
2017_2018,95000,Guaviare,95001,San José del Guaviare,INVERSIÓN,11816044938.994642
2017_2018,95000,Guaviare,95001,San José del Guaviare,OTROS,0.0
2017_2018,95000,Guaviare,95015,Calamar,AHORRO,330478194.781954
2017_2018,95000,Guaviare,95015,Calamar,INVERSIÓN,1764094555.8397303
2017_2018,95000,Guaviare,95015,Calamar,OTROS,0.0
2017_2018,95000,Guaviare,95025,El Retorno,AHORRO,1055583447.5283668
2017_2018,95000,Guaviare,95025,El Retorno,INVERSIÓN,4208379434.08018
2017_2018,95000,Guaviare,95025,El Retorno,OTROS,0.0
2017_2018,95000,Guaviare,95200,Miraflores,AHORRO,541458104.1540693
2017_2018,95000,Guaviare,95200,Miraflores,INVERSIÓN,2678622029.792532
2017_2018,95000,Guaviare,95200,Miraflores,OTROS,0.0
2019_2020,95000,Guaviare,95000,Guaviare,AHORRO,51452263500.62778
2019_2020,95000,Guaviare,95000,Guaviare,INVERSIÓN,155392103911.8584
2019_2020,95000,Guaviare,95000,Guaviare,OTROS,0.0
2019_2020,95000,Guaviare,95001,San José del Guaviare,AHORRO,805277349.2214936
2019_2020,95000,Guaviare,95001,San José del Guaviare,INVERSIÓN,21321245104.332005
2019_2020,95000,Guaviare,95001,San José del Guaviare,OTROS,0.0
2019_2020,95000,Guaviare,95015,Calamar,AHORRO,273662399.31368303
2019_2020,95000,Guaviare,95015,Calamar,INVERSIÓN,1481057485.5614398
2019_2020,95000,Guaviare,95015,Calamar,OTROS,0.0
2019_2020,95000,Guaviare,95025,El Retorno,AHORRO,891930762.5293514
2019_2020,95000,Guaviare,95025,El Retorno,INVERSIÓN,3605672007.5906076
2019_2020,95000,Guaviare,95025,El Retorno,OTROS,0.0
2019_2020,95000,Guaviare,95200,Miraflores,AHORRO,458836075.2150835
2019_2020,95000,Guaviare,95200,Miraflores,INVERSIÓN,2315697477.1789794
2019_2020,95000,Guaviare,95200,Miraflores,OTROS,0.0
2021_2022,95000,Guaviare,95000,Guaviare,AHORRO,3436224667.3850083
2021_2022,95000,Guaviare,95000,Guaviare,INVERSIÓN,86955064269.49004
2021_2022,95000,Guaviare,95000,Guaviare,OTROS,0.0
2021_2022,95000,Guaviare,95001,San José del Guaviare,AHORRO,5924752.959813313
2021_2022,95000,Guaviare,95001,San José del Guaviare,INVERSIÓN,7464547921.861439
2021_2022,95000,Guaviare,95001,San José del Guaviare,OTROS,0.0
2021_2022,95000,Guaviare,95015,Calamar,AHORRO,1537333.74621774
2021_2022,95000,Guaviare,95015,Calamar,INVERSIÓN,2453423296.48439
2021_2022,95000,Guaviare,95015,Calamar,OTROS,0.0
2021_2022,95000,Guaviare,95025,El Retorno,AHORRO,4953982.054537509
2021_2022,95000,Guaviare,95025,El Retorno,INVERSIÓN,2653201122.617115
2021_2022,95000,Guaviare,95025,El Retorno,OTROS,0.0
2021_2022,95000,Guaviare,95200,Miraflores,AHORRO,2544334.3797790566
2021_2022,95000,Guaviare,95200,Miraflores,INVERSIÓN,2246449019.5585713
2021_2022,95000,Guaviare,95200,Miraflores,OTROS,0.0
2023_2024,95000,Guaviare,95000,Guaviare,AHORRO,5500600101.654001
2023_2024,95000,Guaviare,95000,Guaviare,INVERSIÓN,91268246827.002
2023_2024,95000,Guaviare,95000,Guaviare,MEDIDAS AHORRO,35085394485.56326
2023_2024,95000,Guaviare,95000,Guaviare,MEDIDAS INVERSIÓN,56452345.274170004
2023_2024,95000,Guaviare,95000,Guaviare,MEDIDAS OTROS,0.0
2023_2024,95000,Guaviare,95000,Guaviare,OTROS,0.0
2023_2024,95000,Guaviare,95000,Guaviare,RECAUDO CORRIENTE NO AFORADO,0.0
2023_2024,95000,Guaviare,95001,San José del Guaviare,AHORRO,23986564.509000003
2023_2024,95000,Guaviare,95001,San José del Guaviare,INVERSIÓN,6527203189.768001
2023_2024,95000,Guaviare,95001,San José del Guaviare,MEDIDAS AHORRO,825.8310000000001
2023_2024,95000,Guaviare,95001,San José del Guaviare,MEDIDAS INVERSIÓN,1778039952.5178802
2023_2024,95000,Guaviare,95001,San José del Guaviare,MEDIDAS OTROS,0.0
2023_2024,95000,Guaviare,95001,San José del Guaviare,OTROS,0.0
2023_2024,95000,Guaviare,95001,San José del Guaviare,RECAUDO CORRIENTE NO AFORADO,0.0
2023_2024,95000,Guaviare,95015,Calamar,AHORRO,0.0
2023_2024,95000,Guaviare,95015,Calamar,INVERSIÓN,4505231322.469
2023_2024,95000,Guaviare,95015,Calamar,MEDIDAS AHORRO,0.0
2023_2024,95000,Guaviare,95015,Calamar,MEDIDAS INVERSIÓN,1149145812.2980905
2023_2024,95000,Guaviare,95015,Calamar,MEDIDAS OTROS,0.0
2023_2024,95000,Guaviare,95015,Calamar,OTROS,0.0
2023_2024,95000,Guaviare,95015,Calamar,RECAUDO CORRIENTE NO AFORADO,0.0
2023_2024,95000,Guaviare,95025,El Retorno,AHORRO,0.0
2023_2024,95000,Guaviare,95025,El Retorno,INVERSIÓN,4436929564.361
2023_2024,95000,Guaviare,95025,El Retorno,MEDIDAS AHORRO,0.0
2023_2024,95000,Guaviare,95025,El Retorno,MEDIDAS INVERSIÓN,1131791849.03868
2023_2024,95000,Guaviare,95025,El Retorno,MEDIDAS OTROS,0.0
2023_2024,95000,Guaviare,95025,El Retorno,OTROS,0.0
2023_2024,95000,Guaviare,95025,El Retorno,RECAUDO CORRIENTE NO AFORADO,0.0
2023_2024,95000,Guaviare,95200,Miraflores,AHORRO,0.0
2023_2024,95000,Guaviare,95200,Miraflores,INVERSIÓN,3897677171.9130006
2023_2024,95000,Guaviare,95200,Miraflores,MEDIDAS AHORRO,0.0
2023_2024,95000,Guaviare,95200,Miraflores,MEDIDAS INVERSIÓN,994177451.32366
2023_2024,95000,Guaviare,95200,Miraflores,MEDIDAS OTROS,0.0
2023_2024,95000,Guaviare,95200,Miraflores,OTROS,0.0
2023_2024,95000,Guaviare,95200,Miraflores,RECAUDO CORRIENTE NO AFORADO,0.0
