Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,52000,Nariño,52000,Nariño,AHORRO,186798248530.31592
2012,52000,Nariño,52000,Nariño,INVERSIÓN,326173827512.3623
2012,52000,Nariño,52000,Nariño,OTROS,0.0
2012,52000,Nariño,52001,Pasto,AHORRO,1620974641.4687588
2012,52000,Nariño,52001,Pasto,INVERSIÓN,3416746.0682063457
2012,52000,Nariño,52001,Pasto,OTROS,0.0
2012,52000,Nariño,52019,Albán,AHORRO,911191721.0225248
2012,52000,Nariño,52019,Albán,INVERSIÓN,1457426979.8403568
2012,52000,Nariño,52019,Albán,OTROS,0.0
2012,52000,Nariño,52022,Aldana,AHORRO,493624545.7676228
2012,52000,Nariño,52022,Aldana,INVERSIÓN,433048355.0819689
2012,52000,Nariño,52022,Aldana,OTROS,0.0
2012,52000,Nariño,52036,Ancuyá,AHORRO,608778833.8267074
2012,52000,Nariño,52036,Ancuyá,INVERSIÓN,521233993.2133102
2012,52000,Nariño,52036,Ancuyá,OTROS,0.0
2012,52000,Nariño,52051,Arboleda,AHORRO,854733305.3915064
2012,52000,Nariño,52051,Arboleda,INVERSIÓN,515478287.2278418
2012,52000,Nariño,52051,Arboleda,OTROS,0.0
2012,52000,Nariño,52079,Barbacoas,AHORRO,1493564146.0831797
2012,52000,Nariño,52079,Barbacoas,INVERSIÓN,3168025788.2992816
2012,52000,Nariño,52079,Barbacoas,OTROS,0.0
2012,52000,Nariño,52083,Belén,AHORRO,445247481.1337686
2012,52000,Nariño,52083,Belén,INVERSIÓN,593237820.0618131
2012,52000,Nariño,52083,Belén,OTROS,0.0
2012,52000,Nariño,52110,Buesaco,AHORRO,1116413046.9909468
2012,52000,Nariño,52110,Buesaco,INVERSIÓN,1656769815.5343578
2012,52000,Nariño,52110,Buesaco,OTROS,0.0
2012,52000,Nariño,52203,Colón,AHORRO,774481939.3162608
2012,52000,Nariño,52203,Colón,INVERSIÓN,685545695.0308872
2012,52000,Nariño,52203,Colón,OTROS,0.0
2012,52000,Nariño,52207,Consaca,AHORRO,765965365.779196
2012,52000,Nariño,52207,Consaca,INVERSIÓN,662865472.6363736
2012,52000,Nariño,52207,Consaca,OTROS,0.0
2012,52000,Nariño,52210,Contadero,AHORRO,721039362.8971962
2012,52000,Nariño,52210,Contadero,INVERSIÓN,471077126.770236
2012,52000,Nariño,52210,Contadero,OTROS,0.0
2012,52000,Nariño,52215,Córdoba,AHORRO,1011067243.8113124
2012,52000,Nariño,52215,Córdoba,INVERSIÓN,951678576.540012
2012,52000,Nariño,52215,Córdoba,OTROS,0.0
2012,52000,Nariño,52224,Cuaspud,AHORRO,717514294.4551274
2012,52000,Nariño,52224,Cuaspud,INVERSIÓN,578791053.0658897
2012,52000,Nariño,52224,Cuaspud,OTROS,0.0
2012,52000,Nariño,52227,Cumbal,AHORRO,1040549653.0090938
2012,52000,Nariño,52227,Cumbal,INVERSIÓN,2435211801.0787992
2012,52000,Nariño,52227,Cumbal,OTROS,0.0
2012,52000,Nariño,52233,Cumbitara,AHORRO,1235222930.238203
2012,52000,Nariño,52233,Cumbitara,INVERSIÓN,1326352629.472888
2012,52000,Nariño,52233,Cumbitara,OTROS,0.0
2012,52000,Nariño,52240,Chachagüí,AHORRO,776416826.4982518
2012,52000,Nariño,52240,Chachagüí,INVERSIÓN,925298257.4409368
2012,52000,Nariño,52240,Chachagüí,OTROS,0.0
2012,52000,Nariño,52250,El Charco,AHORRO,1536202359.4000237
2012,52000,Nariño,52250,El Charco,INVERSIÓN,2267074606.952101
2012,52000,Nariño,52250,El Charco,OTROS,0.0
2012,52000,Nariño,52254,El Peñol,AHORRO,635275512.5033623
2012,52000,Nariño,52254,El Peñol,INVERSIÓN,453330366.64917225
2012,52000,Nariño,52254,El Peñol,OTROS,0.0
2012,52000,Nariño,52256,El Rosario,AHORRO,973593249.0615934
2012,52000,Nariño,52256,El Rosario,INVERSIÓN,724602271.3595123
2012,52000,Nariño,52256,El Rosario,OTROS,0.0
2012,52000,Nariño,52258,El Tablón de Gómez,AHORRO,796575657.4109596
2012,52000,Nariño,52258,El Tablón de Gómez,INVERSIÓN,899123499.2698187
2012,52000,Nariño,52258,El Tablón de Gómez,OTROS,0.0
2012,52000,Nariño,52260,El Tambo,AHORRO,742229827.6992874
2012,52000,Nariño,52260,El Tambo,INVERSIÓN,878224804.9179795
2012,52000,Nariño,52260,El Tambo,OTROS,0.0
2012,52000,Nariño,52287,Funes,AHORRO,706617928.9247305
2012,52000,Nariño,52287,Funes,INVERSIÓN,458259270.4843457
2012,52000,Nariño,52287,Funes,OTROS,0.0
2012,52000,Nariño,52317,Guachucal,AHORRO,751639686.9036404
2012,52000,Nariño,52317,Guachucal,INVERSIÓN,1098312038.54527
2012,52000,Nariño,52317,Guachucal,OTROS,0.0
2012,52000,Nariño,52320,Guaitarilla,AHORRO,818585586.9812037
2012,52000,Nariño,52320,Guaitarilla,INVERSIÓN,856366826.2362497
2012,52000,Nariño,52320,Guaitarilla,OTROS,0.0
2012,52000,Nariño,52323,Gualmatán,AHORRO,553300252.0092945
2012,52000,Nariño,52323,Gualmatán,INVERSIÓN,393786217.8251958
2012,52000,Nariño,52323,Gualmatán,OTROS,0.0
2012,52000,Nariño,52352,Iles,AHORRO,744127681.551298
2012,52000,Nariño,52352,Iles,INVERSIÓN,577968809.3542541
2012,52000,Nariño,52352,Iles,OTROS,0.0
2012,52000,Nariño,52354,Imués,AHORRO,641962775.9873978
2012,52000,Nariño,52354,Imués,INVERSIÓN,452097001.08104897
2012,52000,Nariño,52354,Imués,OTROS,0.0
2012,52000,Nariño,52356,Ipiales,AHORRO,1479751238.7254934
2012,52000,Nariño,52356,Ipiales,INVERSIÓN,4709829717.846952
2012,52000,Nariño,52356,Ipiales,OTROS,0.0
2012,52000,Nariño,52378,La Cruz,AHORRO,1121460206.2257082
2012,52000,Nariño,52378,La Cruz,INVERSIÓN,1240217599.2058003
2012,52000,Nariño,52378,La Cruz,OTROS,0.0
2012,52000,Nariño,52381,La Florida,AHORRO,678483603.6933669
2012,52000,Nariño,52381,La Florida,INVERSIÓN,681982638.944007
2012,52000,Nariño,52381,La Florida,OTROS,0.0
2012,52000,Nariño,52385,La Llanada,AHORRO,487344766.34292704
2012,52000,Nariño,52385,La Llanada,INVERSIÓN,722351081.9166213
2012,52000,Nariño,52385,La Llanada,OTROS,0.0
2012,52000,Nariño,52390,La Tola,AHORRO,1068693562.6064396
2012,52000,Nariño,52390,La Tola,INVERSIÓN,762631043.047588
2012,52000,Nariño,52390,La Tola,OTROS,0.0
2012,52000,Nariño,52399,La Unión,AHORRO,895083438.0477554
2012,52000,Nariño,52399,La Unión,INVERSIÓN,1825354396.3626215
2012,52000,Nariño,52399,La Unión,OTROS,0.0
2012,52000,Nariño,52405,Leiva,AHORRO,927263946.3541992
2012,52000,Nariño,52405,Leiva,INVERSIÓN,908031139.4849144
2012,52000,Nariño,52405,Leiva,OTROS,0.0
2012,52000,Nariño,52411,Linares,AHORRO,762690416.8613971
2012,52000,Nariño,52411,Linares,INVERSIÓN,724396710.4311727
2012,52000,Nariño,52411,Linares,OTROS,0.0
2012,52000,Nariño,52418,Los Andes,AHORRO,1098659500.0149703
2012,52000,Nariño,52418,Los Andes,INVERSIÓN,1528348914.2984629
2012,52000,Nariño,52418,Los Andes,OTROS,0.0
2012,52000,Nariño,52427,Magüi,AHORRO,1281203318.8309171
2012,52000,Nariño,52427,Magüi,INVERSIÓN,1887769015.426788
2012,52000,Nariño,52427,Magüi,OTROS,0.0
2012,52000,Nariño,52435,Mallama,AHORRO,626346225.4902121
2012,52000,Nariño,52435,Mallama,INVERSIÓN,561226104.5804737
2012,52000,Nariño,52435,Mallama,OTROS,0.0
2012,52000,Nariño,52473,Mosquera,AHORRO,1142980794.583574
2012,52000,Nariño,52473,Mosquera,INVERSIÓN,1019171081.2486192
2012,52000,Nariño,52473,Mosquera,OTROS,0.0
2012,52000,Nariño,52480,Nariño,AHORRO,0.0
2012,52000,Nariño,52480,Nariño,INVERSIÓN,319099080.63523144
2012,52000,Nariño,52480,Nariño,OTROS,0.0
2012,52000,Nariño,52490,Olaya Herrera,AHORRO,1302587196.9966404
2012,52000,Nariño,52490,Olaya Herrera,INVERSIÓN,2061159425.5092416
2012,52000,Nariño,52490,Olaya Herrera,OTROS,0.0
2012,52000,Nariño,52506,Ospina,AHORRO,742092203.9832085
2012,52000,Nariño,52506,Ospina,INVERSIÓN,588589457.3025141
2012,52000,Nariño,52506,Ospina,OTROS,0.0
