Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,F0000,Otros por Distribuir,F0000,Otros por Distribuir,AHORRO,15343691082.412138
2012,F0000,Otros por Distribuir,F0000,Otros por Distribuir,INVERSIÓN,461637253.3735858
2012,F0000,Otros por Distribuir,F0000,Otros por Distribuir,OTROS,0.0
2012,F0000,Otros por Distribuir,F0001,Otros por Distribuir,AHORRO,30770063537.14801
2012,F0000,Otros por Distribuir,F0001,Otros por Distribuir,INVERSIÓN,3805310459.2643023
2012,F0000,Otros por Distribuir,F0001,Otros por Distribuir,OTROS,0.0
2012,F0000,Otros por Distribuir,F0002,Otros No distribuidos entre ET,AHORRO,0.0
2012,F0000,Otros por Distribuir,F0002,Otros No distribuidos entre ET,INVERSIÓN,0.0
2012,F0000,Otros por Distribuir,F0002,Otros No distribuidos entre ET,OTROS,0.0
2012,F0000,Otros por Distribuir,F0003,Otros por Distribuir - Asig. Para la PAZ,AHORRO,0.0
2012,F0000,Otros por Distribuir,F0003,Otros por Distribuir - Asig. Para la PAZ,INVERSIÓN,0.0
2012,F0000,Otros por Distribuir,F0003,Otros por Distribuir - Asig. Para la PAZ,OTROS,0.0
2012,F0000,Otros por Distribuir,F0004,Otros por Distribuir - Rendimientos Financieros 30% IP,AHORRO,0.0
2012,F0000,Otros por Distribuir,F0004,Otros por Distribuir - Rendimientos Financieros 30% IP,INVERSIÓN,0.0
2012,F0000,Otros por Distribuir,F0004,Otros por Distribuir - Rendimientos Financieros 30% IP,OTROS,0.0
2012,F0000,Otros por Distribuir,F0005,Otros por Distribuir - Rendimientos Financieros 70% A.Paz,AHORRO,0.0
2012,F0000,Otros por Distribuir,F0005,Otros por Distribuir - Rendimientos Financieros 70% A.Paz,INVERSIÓN,0.0
2012,F0000,Otros por Distribuir,F0005,Otros por Distribuir - Rendimientos Financieros 70% A.Paz,OTROS,0.0
2012,F0000,Otros por Distribuir,F0006,Otros por Distribuir - Rendimientos Financieros antes del 04-2017,AHORRO,0.0
2012,F0000,Otros por Distribuir,F0006,Otros por Distribuir - Rendimientos Financieros antes del 04-2017,INVERSIÓN,0.0
