Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,BO000,Otros,BO000,Otros,AHORRO,0.0
2012,BO000,Otros,BO000,Otros,INVERSIÓN,0.0
2012,BO000,Otros,BO000,Otros,OTROS,0.0
2012,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,AHORRO,0.0
2012,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,INVERSIÓN,101828267624.7174
2012,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,OTROS,0.0
2013_2014,BO000,Otros,BO000,Otros,AHORRO,0.0
2013_2014,BO000,Otros,BO000,Otros,INVERSIÓN,0.0
2013_2014,BO000,Otros,BO000,Otros,OTROS,0.0
2013_2014,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,AHORRO,0.0
2013_2014,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,INVERSIÓN,156858067471.68405
2013_2014,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,OTROS,0.0
2015_2016,BO000,Otros,BO000,Otros,AHORRO,0.0
2015_2016,BO000,Otros,BO000,Otros,INVERSIÓN,0.0
2015_2016,BO000,Otros,BO000,Otros,OTROS,0.0
2015_2016,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,AHORRO,0.0
2015_2016,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,INVERSIÓN,99321384422.19878
2015_2016,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,OTROS,0.0
2017_2018,BO000,Otros,BO000,Otros,AHORRO,0.0
2017_2018,BO000,Otros,BO000,Otros,INVERSIÓN,0.0
2017_2018,BO000,Otros,BO000,Otros,OTROS,0.0
2017_2018,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,AHORRO,0.0
2017_2018,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,INVERSIÓN,116579333421.29092
2017_2018,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,OTROS,0.0
2019_2020,BO000,Otros,BO000,Otros,AHORRO,0.0
2019_2020,BO000,Otros,BO000,Otros,INVERSIÓN,0.0
2019_2020,BO000,Otros,BO000,Otros,OTROS,0.0
2019_2020,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,AHORRO,0.0
2019_2020,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,INVERSIÓN,131857874379.53052
2019_2020,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,OTROS,0.0
2021_2022,BO000,Otros,BO000,Otros,AHORRO,0.0
2021_2022,BO000,Otros,BO000,Otros,INVERSIÓN,0.0
2021_2022,BO000,Otros,BO000,Otros,OTROS,0.0
2021_2022,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,AHORRO,0.0
2021_2022,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,INVERSIÓN,92259417183.38971
2021_2022,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,OTROS,0.0
2023_2024,BO000,Otros,BO000,Otros,AHORRO,0.0
2023_2024,BO000,Otros,BO000,Otros,INVERSIÓN,0.0
2023_2024,BO000,Otros,BO000,Otros,MEDIDAS AHORRO,0.0
2023_2024,BO000,Otros,BO000,Otros,MEDIDAS INVERSIÓN,0.0
2023_2024,BO000,Otros,BO000,Otros,MEDIDAS OTROS,0.0
2023_2024,BO000,Otros,BO000,Otros,OTROS,0.0
2023_2024,BO000,Otros,BO000,Otros,RECAUDO CORRIENTE NO AFORADO,0.0
2023_2024,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,AHORRO,0.0
2023_2024,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,INVERSIÓN,154172635229.07303
2023_2024,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,MEDIDAS AHORRO,0.0
2023_2024,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,MEDIDAS INVERSIÓN,5304888.842
2023_2024,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,MEDIDAS OTROS,0.0
2023_2024,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,OTROS,0.0
2023_2024,BO000,Otros,BO002,Municipios Rio Magdalena y Canal del Dique,RECAUDO CORRIENTE NO AFORADO,0.0
