Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,AHORRO,0.0
2012,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,INVERSIÓN,0.0
2012,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,OTROS,0.0
2013_2014,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,AHORRO,0.0
2013_2014,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,INVERSIÓN,0.0
2013_2014,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,OTROS,0.0
2015_2016,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,AHORRO,0.0
2015_2016,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,INVERSIÓN,0.0
2015_2016,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,OTROS,0.0
2017_2018,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,AHORRO,0.0
2017_2018,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,INVERSIÓN,0.0
2017_2018,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,OTROS,0.0
2019_2020,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,AHORRO,0.0
2019_2020,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,INVERSIÓN,0.0
2019_2020,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,OTROS,0.0
2021_2022,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,AHORRO,0.0
2021_2022,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,INVERSIÓN,0.0
2021_2022,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,OTROS,0.0
2023_2024,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,AHORRO,0.0
2023_2024,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,INVERSIÓN,0.0
2023_2024,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,MEDIDAS AHORRO,0.0
2023_2024,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,MEDIDAS INVERSIÓN,0.0
2023_2024,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,MEDIDAS OTROS,0.0
2023_2024,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,OTROS,0.0
2023_2024,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,4,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,RECAUDO CORRIENTE NO AFORADO,0.0
