Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,63000,Quindío,63000,Quindío,AHORRO,38212202473.92545
2012,63000,Quindío,63000,Quindío,INVERSIÓN,73352863567.0086
2012,63000,Quindío,63000,Quindío,OTROS,0.0
2012,63000,Quindío,63001,Armenia,AHORRO,1236781603.008521
2012,63000,Quindío,63001,Armenia,INVERSIÓN,55908667.31919315
2012,63000,Quindío,63001,Armenia,OTROS,0.0
2012,63000,Quindío,63111,Buenavista,AHORRO,269036531.9836854
2012,63000,Quindío,63111,Buenavista,INVERSIÓN,313090633.8784664
2012,63000,Quindío,63111,Buenavista,OTROS,0.0
2012,63000,Quindío,63130,Calarca,AHORRO,763601651.6006097
2012,63000,Quindío,63130,Calarca,INVERSIÓN,1865316487.4416847
2012,63000,Quindío,63130,Calarca,OTROS,0.0
2012,63000,Quindío,63190,Circasia,AHORRO,576951730.2450714
2012,63000,Quindío,63190,Circasia,INVERSIÓN,1122244770.1797533
2012,63000,Quindío,63190,Circasia,OTROS,0.0
2012,63000,Quindío,63212,Córdoba,AHORRO,364368597.0184548
2012,63000,Quindío,63212,Córdoba,INVERSIÓN,469308349.1689168
2012,63000,Quindío,63212,Córdoba,OTROS,0.0
2012,63000,Quindío,63272,Filandia,AHORRO,443707396.6711552
2012,63000,Quindío,63272,Filandia,INVERSIÓN,724390545.6013304
2012,63000,Quindío,63272,Filandia,OTROS,0.0
2012,63000,Quindío,63302,Génova,AHORRO,442557073.2803459
2012,63000,Quindío,63302,Génova,INVERSIÓN,620644786.3232931
2012,63000,Quindío,63302,Génova,OTROS,0.0
2012,63000,Quindío,63401,La Tebaida,AHORRO,760984066.4515482
2012,63000,Quindío,63401,La Tebaida,INVERSIÓN,1510052662.4054365
2012,63000,Quindío,63401,La Tebaida,OTROS,0.0
2012,63000,Quindío,63470,Montenegro,AHORRO,782479527.9351641
2012,63000,Quindío,63470,Montenegro,INVERSIÓN,1538988924.1552718
2012,63000,Quindío,63470,Montenegro,OTROS,0.0
2012,63000,Quindío,63548,Pijao,AHORRO,380023187.7678495
2012,63000,Quindío,63548,Pijao,INVERSIÓN,509841710.99808794
2012,63000,Quindío,63548,Pijao,OTROS,0.0
2012,63000,Quindío,63594,Quimbaya,AHORRO,718061029.6514062
2012,63000,Quindío,63594,Quimbaya,INVERSIÓN,1376058815.928279
2012,63000,Quindío,63594,Quimbaya,OTROS,0.0
2012,63000,Quindío,63690,Salento,AHORRO,368609331.1471098
