Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,RE000,Regiones,RE001,Región Caribe,AHORRO,0.0
2012,RE000,Regiones,RE001,Región Caribe,INVERSIÓN,0.0
2012,RE000,Regiones,RE001,Región Caribe,OTROS,0.0
2012,RE000,Regiones,RE002,Región Centro - Oriente,AHORRO,0.0
2012,RE000,Regiones,RE002,Región Centro - Oriente,INVERSIÓN,0.0
2012,RE000,Regiones,RE002,Región Centro - Oriente,OTROS,0.0
2012,RE000,Regiones,RE003,Región Eje - Cafetero,AHORRO,0.0
2012,RE000,Regiones,RE003,Región Eje - Cafetero,INVERSIÓN,0.0
2012,RE000,Regiones,RE003,Región Eje - Cafetero,OTROS,0.0
2012,RE000,Regiones,RE004,Región Pacífico,AHORRO,0.0
2012,RE000,Regiones,RE004,Región Pacífico,INVERSIÓN,0.0
2012,RE000,Regiones,RE004,Región Pacífico,OTROS,0.0
2012,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,AHORRO,0.0
2012,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,INVERSIÓN,0.0
2012,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,OTROS,0.0
2012,RE000,Regiones,RE006,Región del Llano,AHORRO,0.0
2012,RE000,Regiones,RE006,Región del Llano,INVERSIÓN,0.0
2012,RE000,Regiones,RE006,Región del Llano,OTROS,0.0
2013_2014,RE000,Regiones,RE001,Región Caribe,AHORRO,0.0
2013_2014,RE000,Regiones,RE001,Región Caribe,INVERSIÓN,0.0
2013_2014,RE000,Regiones,RE001,Región Caribe,OTROS,0.0
2013_2014,RE000,Regiones,RE002,Región Centro - Oriente,AHORRO,0.0
2013_2014,RE000,Regiones,RE002,Región Centro - Oriente,INVERSIÓN,0.0
2013_2014,RE000,Regiones,RE002,Región Centro - Oriente,OTROS,0.0
2013_2014,RE000,Regiones,RE003,Región Eje - Cafetero,AHORRO,0.0
2013_2014,RE000,Regiones,RE003,Región Eje - Cafetero,INVERSIÓN,0.0
2013_2014,RE000,Regiones,RE003,Región Eje - Cafetero,OTROS,0.0
2013_2014,RE000,Regiones,RE004,Región Pacífico,AHORRO,0.0
2013_2014,RE000,Regiones,RE004,Región Pacífico,INVERSIÓN,0.0
2013_2014,RE000,Regiones,RE004,Región Pacífico,OTROS,0.0
2013_2014,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,AHORRO,0.0
2013_2014,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,INVERSIÓN,0.0
2013_2014,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,OTROS,0.0
2013_2014,RE000,Regiones,RE006,Región del Llano,AHORRO,0.0
2013_2014,RE000,Regiones,RE006,Región del Llano,INVERSIÓN,0.0
2013_2014,RE000,Regiones,RE006,Región del Llano,OTROS,0.0
2015_2016,RE000,Regiones,RE001,Región Caribe,AHORRO,0.0
2015_2016,RE000,Regiones,RE001,Región Caribe,INVERSIÓN,0.0
2015_2016,RE000,Regiones,RE001,Región Caribe,OTROS,0.0
2015_2016,RE000,Regiones,RE002,Región Centro - Oriente,AHORRO,0.0
2015_2016,RE000,Regiones,RE002,Región Centro - Oriente,INVERSIÓN,0.0
2015_2016,RE000,Regiones,RE002,Región Centro - Oriente,OTROS,0.0
2015_2016,RE000,Regiones,RE003,Región Eje - Cafetero,AHORRO,0.0
2015_2016,RE000,Regiones,RE003,Región Eje - Cafetero,INVERSIÓN,0.0
2015_2016,RE000,Regiones,RE003,Región Eje - Cafetero,OTROS,0.0
2015_2016,RE000,Regiones,RE004,Región Pacífico,AHORRO,0.0
2015_2016,RE000,Regiones,RE004,Región Pacífico,INVERSIÓN,0.0
2015_2016,RE000,Regiones,RE004,Región Pacífico,OTROS,0.0
2015_2016,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,AHORRO,0.0
2015_2016,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,INVERSIÓN,0.0
2015_2016,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,OTROS,0.0
2015_2016,RE000,Regiones,RE006,Región del Llano,AHORRO,0.0
2015_2016,RE000,Regiones,RE006,Región del Llano,INVERSIÓN,0.0
2015_2016,RE000,Regiones,RE006,Región del Llano,OTROS,0.0
2017_2018,RE000,Regiones,RE001,Región Caribe,AHORRO,0.0
2017_2018,RE000,Regiones,RE001,Región Caribe,INVERSIÓN,0.0
2017_2018,RE000,Regiones,RE001,Región Caribe,OTROS,0.0
2017_2018,RE000,Regiones,RE002,Región Centro - Oriente,AHORRO,0.0
2017_2018,RE000,Regiones,RE002,Región Centro - Oriente,INVERSIÓN,0.0
2017_2018,RE000,Regiones,RE002,Región Centro - Oriente,OTROS,0.0
2017_2018,RE000,Regiones,RE003,Región Eje - Cafetero,AHORRO,0.0
2017_2018,RE000,Regiones,RE003,Región Eje - Cafetero,INVERSIÓN,0.0
2017_2018,RE000,Regiones,RE003,Región Eje - Cafetero,OTROS,0.0
2017_2018,RE000,Regiones,RE004,Región Pacífico,AHORRO,0.0
2017_2018,RE000,Regiones,RE004,Región Pacífico,INVERSIÓN,0.0
2017_2018,RE000,Regiones,RE004,Región Pacífico,OTROS,0.0
2017_2018,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,AHORRO,0.0
2017_2018,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,INVERSIÓN,0.0
2017_2018,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,OTROS,0.0
2017_2018,RE000,Regiones,RE006,Región del Llano,AHORRO,0.0
2017_2018,RE000,Regiones,RE006,Región del Llano,INVERSIÓN,0.0
2017_2018,RE000,Regiones,RE006,Región del Llano,OTROS,0.0
2019_2020,RE000,Regiones,RE001,Región Caribe,AHORRO,0.0
2019_2020,RE000,Regiones,RE001,Región Caribe,INVERSIÓN,0.0
2019_2020,RE000,Regiones,RE001,Región Caribe,OTROS,0.0
2019_2020,RE000,Regiones,RE002,Región Centro - Oriente,AHORRO,0.0
2019_2020,RE000,Regiones,RE002,Región Centro - Oriente,INVERSIÓN,0.0
2019_2020,RE000,Regiones,RE002,Región Centro - Oriente,OTROS,0.0
2019_2020,RE000,Regiones,RE003,Región Eje - Cafetero,AHORRO,0.0
2019_2020,RE000,Regiones,RE003,Región Eje - Cafetero,INVERSIÓN,0.0
2019_2020,RE000,Regiones,RE003,Región Eje - Cafetero,OTROS,0.0
2019_2020,RE000,Regiones,RE004,Región Pacífico,AHORRO,0.0
2019_2020,RE000,Regiones,RE004,Región Pacífico,INVERSIÓN,0.0
2019_2020,RE000,Regiones,RE004,Región Pacífico,OTROS,0.0
2019_2020,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,AHORRO,0.0
2019_2020,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,INVERSIÓN,0.0
2019_2020,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,OTROS,0.0
2019_2020,RE000,Regiones,RE006,Región del Llano,AHORRO,0.0
2019_2020,RE000,Regiones,RE006,Región del Llano,INVERSIÓN,0.0
2019_2020,RE000,Regiones,RE006,Región del Llano,OTROS,0.0
2021_2022,RE000,Regiones,RE001,Región Caribe,AHORRO,0.0
2021_2022,RE000,Regiones,RE001,Región Caribe,INVERSIÓN,785088222055.1898
2021_2022,RE000,Regiones,RE001,Región Caribe,OTROS,0.0
2021_2022,RE000,Regiones,RE002,Región Centro - Oriente,AHORRO,0.0
2021_2022,RE000,Regiones,RE002,Región Centro - Oriente,INVERSIÓN,381632126597.4492
2021_2022,RE000,Regiones,RE002,Región Centro - Oriente,OTROS,0.0
2021_2022,RE000,Regiones,RE003,Región Eje - Cafetero,AHORRO,0.0
2021_2022,RE000,Regiones,RE003,Región Eje - Cafetero,INVERSIÓN,267957303469.92456
2021_2022,RE000,Regiones,RE003,Región Eje - Cafetero,OTROS,0.0
2021_2022,RE000,Regiones,RE004,Región Pacífico,AHORRO,0.0
2021_2022,RE000,Regiones,RE004,Región Pacífico,INVERSIÓN,383597300445.9252
2021_2022,RE000,Regiones,RE004,Región Pacífico,OTROS,0.0
2021_2022,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,AHORRO,0.0
2021_2022,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,INVERSIÓN,289599898688.36304
2021_2022,RE000,Regiones,RE005,Región Centro - Sur - Amazonía,OTROS,0.0
2021_2022,RE000,Regiones,RE006,Región del Llano,AHORRO,0.0
2021_2022,RE000,Regiones,RE006,Región del Llano,INVERSIÓN,378865127385.56616
2021_2022,RE000,Regiones,RE006,Región del Llano,OTROS,0.0
2023_2024,RE000,Regiones,RE001,Región Caribe,AHORRO,0.0
2023_2024,RE000,Regiones,RE001,Región Caribe,INVERSIÓN,1334765827794.8552
2023_2024,RE000,Regiones,RE001,Región Caribe,MEDIDAS AHORRO,0.0
2023_2024,RE000,Regiones,RE001,Región Caribe,MEDIDAS INVERSIÓN,45927637.39
2023_2024,RE000,Regiones,RE001,Región Caribe,MEDIDAS OTROS,0.0
2023_2024,RE000,Regiones,RE001,Región Caribe,OTROS,0.0
2023_2024,RE000,Regiones,RE001,Región Caribe,RECAUDO CORRIENTE NO AFORADO,0.0
2023_2024,RE000,Regiones,RE002,Región Centro - Oriente,AHORRO,0.0
2023_2024,RE000,Regiones,RE002,Región Centro - Oriente,INVERSIÓN,645810663187.327
2023_2024,RE000,Regiones,RE002,Región Centro - Oriente,MEDIDAS AHORRO,0.0
2023_2024,RE000,Regiones,RE002,Región Centro - Oriente,MEDIDAS INVERSIÓN,22221544.059
2023_2024,RE000,Regiones,RE002,Región Centro - Oriente,MEDIDAS OTROS,0.0
2023_2024,RE000,Regiones,RE002,Región Centro - Oriente,OTROS,0.0
2023_2024,RE000,Regiones,RE002,Región Centro - Oriente,RECAUDO CORRIENTE NO AFORADO,0.0
2023_2024,RE000,Regiones,RE003,Región Eje - Cafetero,AHORRO,0.0
2023_2024,RE000,Regiones,RE003,Región Eje - Cafetero,INVERSIÓN,450475092567.86304
2023_2024,RE000,Regiones,RE003,Región Eje - Cafetero,MEDIDAS AHORRO,0.0
2023_2024,RE000,Regiones,RE003,Región Eje - Cafetero,MEDIDAS INVERSIÓN,15500289.068000002
2023_2024,RE000,Regiones,RE003,Región Eje - Cafetero,MEDIDAS OTROS,0.0
2023_2024,RE000,Regiones,RE003,Región Eje - Cafetero,OTROS,0.0
2023_2024,RE000,Regiones,RE003,Región Eje - Cafetero,RECAUDO CORRIENTE NO AFORADO,0.0
2023_2024,RE000,Regiones,RE004,Región Pacífico,AHORRO,0.0
