Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,66000,Risaralda,66000,Risaralda,AHORRO,58885707994.089035
2012,66000,Risaralda,66000,Risaralda,INVERSIÓN,101351495242.34167
2012,66000,Risaralda,66000,Risaralda,OTROS,0.0
2012,66000,Risaralda,66001,Pereira,AHORRO,1496396617.927271
2012,66000,Risaralda,66001,Pereira,INVERSIÓN,39541247.16919068
2012,66000,Risaralda,66001,Pereira,OTROS,0.0
2012,66000,Risaralda,66045,Apía,AHORRO,592255453.155307
2012,66000,Risaralda,66045,Apía,INVERSIÓN,982104872.4198943
2012,66000,Risaralda,66045,Apía,OTROS,0.0
2012,66000,Risaralda,66075,Balboa,AHORRO,419460984.95979005
2012,66000,Risaralda,66075,Balboa,INVERSIÓN,545624098.615145
2012,66000,Risaralda,66075,Balboa,OTROS,0.0
2012,66000,Risaralda,66088,Belén de Umbría,AHORRO,691172817.2172253
2012,66000,Risaralda,66088,Belén de Umbría,INVERSIÓN,1244902579.160473
2012,66000,Risaralda,66088,Belén de Umbría,OTROS,0.0
2012,66000,Risaralda,66170,Dosquebradas,AHORRO,1051412676.8011796
2012,66000,Risaralda,66170,Dosquebradas,INVERSIÓN,0.0
2012,66000,Risaralda,66170,Dosquebradas,OTROS,0.0
2012,66000,Risaralda,66318,Guática,AHORRO,568698030.345046
2012,66000,Risaralda,66318,Guática,INVERSIÓN,899445617.3760474
2012,66000,Risaralda,66318,Guática,OTROS,0.0
2012,66000,Risaralda,66383,La Celia,AHORRO,435813166.6246131
2012,66000,Risaralda,66383,La Celia,INVERSIÓN,620755236.8520756
2012,66000,Risaralda,66383,La Celia,OTROS,0.0
2012,66000,Risaralda,66400,La Virginia,AHORRO,723428239.738281
2012,66000,Risaralda,66400,La Virginia,INVERSIÓN,1343458256.074069
2012,66000,Risaralda,66400,La Virginia,OTROS,0.0
2012,66000,Risaralda,66440,Marsella,AHORRO,701793622.1766136
2012,66000,Risaralda,66440,Marsella,INVERSIÓN,1176861210.7024074
2012,66000,Risaralda,66440,Marsella,OTROS,0.0
2012,66000,Risaralda,66456,Mistrató,AHORRO,803820360.9232832
2012,66000,Risaralda,66456,Mistrató,INVERSIÓN,1128654164.4008987
2012,66000,Risaralda,66456,Mistrató,OTROS,0.0
2012,66000,Risaralda,66572,Pueblo Rico,AHORRO,814468822.6882414
2012,66000,Risaralda,66572,Pueblo Rico,INVERSIÓN,878831434.4750171
2012,66000,Risaralda,66572,Pueblo Rico,OTROS,0.0
2012,66000,Risaralda,66594,Quinchía,AHORRO,909661476.0970138
2012,66000,Risaralda,66594,Quinchía,INVERSIÓN,1788401371.8548887
2012,66000,Risaralda,66594,Quinchía,OTROS,0.0
2012,66000,Risaralda,66682,Santa Rosa de Cabal,AHORRO,883280844.1268269
2012,66000,Risaralda,66682,Santa Rosa de Cabal,INVERSIÓN,2011798336.8883014
2012,66000,Risaralda,66682,Santa Rosa de Cabal,OTROS,0.0
2012,66000,Risaralda,66687,Santuario,AHORRO,542704815.132076
2012,66000,Risaralda,66687,Santuario,INVERSIÓN,874900170.8873794
2012,66000,Risaralda,66687,Santuario,OTROS,0.0
2013_2014,66000,Risaralda,66000,Risaralda,AHORRO,101315148491.06659
2013_2014,66000,Risaralda,66000,Risaralda,INVERSIÓN,197682302139.07605
2013_2014,66000,Risaralda,66000,Risaralda,OTROS,0.0
2013_2014,66000,Risaralda,66001,Pereira,AHORRO,2067987137.6251168
2013_2014,66000,Risaralda,66001,Pereira,INVERSIÓN,17211229.340757485
2013_2014,66000,Risaralda,66001,Pereira,OTROS,0.0
2013_2014,66000,Risaralda,66045,Apía,AHORRO,819750403.1169132
2013_2014,66000,Risaralda,66045,Apía,INVERSIÓN,2148713103.9085083
2013_2014,66000,Risaralda,66045,Apía,OTROS,0.0
2013_2014,66000,Risaralda,66075,Balboa,AHORRO,577611502.9824808
2013_2014,66000,Risaralda,66075,Balboa,INVERSIÓN,1184393126.8888497
2013_2014,66000,Risaralda,66075,Balboa,OTROS,0.0
2013_2014,66000,Risaralda,66088,Belén de Umbría,AHORRO,952204542.2902204
2013_2014,66000,Risaralda,66088,Belén de Umbría,INVERSIÓN,2714982085.828563
2013_2014,66000,Risaralda,66088,Belén de Umbría,OTROS,0.0
2013_2014,66000,Risaralda,66170,Dosquebradas,AHORRO,1456924543.6686633
2013_2014,66000,Risaralda,66170,Dosquebradas,INVERSIÓN,0.0
2013_2014,66000,Risaralda,66170,Dosquebradas,OTROS,0.0
2013_2014,66000,Risaralda,66318,Guática,AHORRO,782109192.3401334
2013_2014,66000,Risaralda,66318,Guática,INVERSIÓN,1948223965.8098967
2013_2014,66000,Risaralda,66318,Guática,OTROS,0.0
2013_2014,66000,Risaralda,66383,La Celia,AHORRO,599826181.1509452
2013_2014,66000,Risaralda,66383,La Celia,INVERSIÓN,1346177480.0561056
2013_2014,66000,Risaralda,66383,La Celia,OTROS,0.0
2013_2014,66000,Risaralda,66400,La Virginia,AHORRO,998093360.901458
2013_2014,66000,Risaralda,66400,La Virginia,INVERSIÓN,2926886801.549507
2013_2014,66000,Risaralda,66400,La Virginia,OTROS,0.0
2013_2014,66000,Risaralda,66440,Marsella,AHORRO,971510807.1831604
2013_2014,66000,Risaralda,66440,Marsella,INVERSIÓN,2575116431.092731
2013_2014,66000,Risaralda,66440,Marsella,OTROS,0.0
2013_2014,66000,Risaralda,66456,Mistrató,AHORRO,1112144349.364689
2013_2014,66000,Risaralda,66456,Mistrató,INVERSIÓN,2359801806.1833124
2013_2014,66000,Risaralda,66456,Mistrató,OTROS,0.0
2013_2014,66000,Risaralda,66572,Pueblo Rico,AHORRO,1129492716.592265
2013_2014,66000,Risaralda,66572,Pueblo Rico,INVERSIÓN,1904284593.9894233
2013_2014,66000,Risaralda,66572,Pueblo Rico,OTROS,0.0
2013_2014,66000,Risaralda,66594,Quinchía,AHORRO,1254310955.3563063
2013_2014,66000,Risaralda,66594,Quinchía,INVERSIÓN,3773910516.3353615
2013_2014,66000,Risaralda,66594,Quinchía,OTROS,0.0
2013_2014,66000,Risaralda,66682,Santa Rosa de Cabal,AHORRO,1218961185.5403347
2013_2014,66000,Risaralda,66682,Santa Rosa de Cabal,INVERSIÓN,4380447232.979963
2013_2014,66000,Risaralda,66682,Santa Rosa de Cabal,OTROS,0.0
2013_2014,66000,Risaralda,66687,Santuario,AHORRO,748749570.090231
2013_2014,66000,Risaralda,66687,Santuario,INVERSIÓN,1910882878.0518048
2013_2014,66000,Risaralda,66687,Santuario,OTROS,0.0
2015_2016,66000,Risaralda,66000,Risaralda,AHORRO,80335387406.72676
2015_2016,66000,Risaralda,66000,Risaralda,INVERSIÓN,138173423335.44925
2015_2016,66000,Risaralda,66000,Risaralda,OTROS,0.0
2015_2016,66000,Risaralda,66001,Pereira,AHORRO,1192061583.766091
2015_2016,66000,Risaralda,66001,Pereira,INVERSIÓN,22466366.63928308
2015_2016,66000,Risaralda,66001,Pereira,OTROS,0.0
2015_2016,66000,Risaralda,66045,Apía,AHORRO,473333149.8291135
2015_2016,66000,Risaralda,66045,Apía,INVERSIÓN,1536688859.1318905
2015_2016,66000,Risaralda,66045,Apía,OTROS,0.0
2015_2016,66000,Risaralda,66075,Balboa,AHORRO,331844168.09633046
2015_2016,66000,Risaralda,66075,Balboa,INVERSIÓN,840975710.5238072
2015_2016,66000,Risaralda,66075,Balboa,OTROS,0.0
2015_2016,66000,Risaralda,66088,Belén de Umbría,AHORRO,546923395.8983686
2015_2016,66000,Risaralda,66088,Belén de Umbría,INVERSIÓN,1920262353.2326045
2015_2016,66000,Risaralda,66088,Belén de Umbría,OTROS,0.0
2015_2016,66000,Risaralda,66170,Dosquebradas,AHORRO,842507181.6657997
2015_2016,66000,Risaralda,66170,Dosquebradas,INVERSIÓN,0.0
2015_2016,66000,Risaralda,66170,Dosquebradas,OTROS,0.0
2015_2016,66000,Risaralda,66318,Guática,AHORRO,448374478.0717636
2015_2016,66000,Risaralda,66318,Guática,INVERSIÓN,1447654435.3520014
2015_2016,66000,Risaralda,66318,Guática,OTROS,0.0
2015_2016,66000,Risaralda,66383,La Celia,AHORRO,344013448.91867864
2015_2016,66000,Risaralda,66383,La Celia,INVERSIÓN,953086244.2200402
2015_2016,66000,Risaralda,66383,La Celia,OTROS,0.0
2015_2016,66000,Risaralda,66400,La Virginia,AHORRO,574212492.6217393
2015_2016,66000,Risaralda,66400,La Virginia,INVERSIÓN,2080541161.051952
2015_2016,66000,Risaralda,66400,La Virginia,OTROS,0.0
2015_2016,66000,Risaralda,66440,Marsella,AHORRO,561307739.4423311
2015_2016,66000,Risaralda,66440,Marsella,INVERSIÓN,1854658486.7827601
2015_2016,66000,Risaralda,66440,Marsella,OTROS,0.0
2015_2016,66000,Risaralda,66456,Mistrató,AHORRO,642327445.2057003
2015_2016,66000,Risaralda,66456,Mistrató,INVERSIÓN,1701288202.8212724
2015_2016,66000,Risaralda,66456,Mistrató,OTROS,0.0
2015_2016,66000,Risaralda,66572,Pueblo Rico,AHORRO,654297842.6442522
2015_2016,66000,Risaralda,66572,Pueblo Rico,INVERSIÓN,1389978279.0762928
2015_2016,66000,Risaralda,66572,Pueblo Rico,OTROS,0.0
2015_2016,66000,Risaralda,66594,Quinchía,AHORRO,721271126.131554
2015_2016,66000,Risaralda,66594,Quinchía,INVERSIÓN,2593064497.0260677
2015_2016,66000,Risaralda,66594,Quinchía,OTROS,0.0
2015_2016,66000,Risaralda,66682,Santa Rosa de Cabal,AHORRO,701547315.2155936
2015_2016,66000,Risaralda,66682,Santa Rosa de Cabal,INVERSIÓN,3223869523.2530413
2015_2016,66000,Risaralda,66682,Santa Rosa de Cabal,OTROS,0.0
2015_2016,66000,Risaralda,66687,Santuario,AHORRO,430722835.8417762
2015_2016,66000,Risaralda,66687,Santuario,INVERSIÓN,1357394266.0794928
2015_2016,66000,Risaralda,66687,Santuario,OTROS,0.0
2017_2018,66000,Risaralda,66000,Risaralda,AHORRO,37120342491.47499
2017_2018,66000,Risaralda,66000,Risaralda,INVERSIÓN,242053545912.27078
2017_2018,66000,Risaralda,66000,Risaralda,OTROS,0.0
2017_2018,66000,Risaralda,66001,Pereira,AHORRO,1043667945.9587436
2017_2018,66000,Risaralda,66001,Pereira,INVERSIÓN,51254901.87089437
2017_2018,66000,Risaralda,66001,Pereira,OTROS,0.0
2017_2018,66000,Risaralda,66045,Apía,AHORRO,415365391.9508912
2017_2018,66000,Risaralda,66045,Apía,INVERSIÓN,2683016744.152836
2017_2018,66000,Risaralda,66045,Apía,OTROS,0.0
2017_2018,66000,Risaralda,66075,Balboa,AHORRO,289227420.72248363
2017_2018,66000,Risaralda,66075,Balboa,INVERSIÓN,1454758589.92463
2017_2018,66000,Risaralda,66075,Balboa,OTROS,0.0
2017_2018,66000,Risaralda,66088,Belén de Umbría,AHORRO,476813824.1139221
2017_2018,66000,Risaralda,66088,Belén de Umbría,INVERSIÓN,3325053390.375547
2017_2018,66000,Risaralda,66088,Belén de Umbría,OTROS,0.0
2017_2018,66000,Risaralda,66170,Dosquebradas,AHORRO,740668043.7015829
2017_2018,66000,Risaralda,66170,Dosquebradas,INVERSIÓN,0.0
2017_2018,66000,Risaralda,66170,Dosquebradas,OTROS,0.0
2017_2018,66000,Risaralda,66318,Guática,AHORRO,389825448.430993
2017_2018,66000,Risaralda,66318,Guática,INVERSIÓN,2395042399.6291375
2017_2018,66000,Risaralda,66318,Guática,OTROS,0.0
2017_2018,66000,Risaralda,66383,La Celia,AHORRO,299434875.8344856
2017_2018,66000,Risaralda,66383,La Celia,INVERSIÓN,1645474983.7407308
2017_2018,66000,Risaralda,66383,La Celia,OTROS,0.0
2017_2018,66000,Risaralda,66400,La Virginia,AHORRO,501596586.7633917
2017_2018,66000,Risaralda,66400,La Virginia,INVERSIÓN,3609677599.4566603
2017_2018,66000,Risaralda,66400,La Virginia,OTROS,0.0
2017_2018,66000,Risaralda,66440,Marsella,AHORRO,492988873.21571296
2017_2018,66000,Risaralda,66440,Marsella,INVERSIÓN,3225502881.9285297
2017_2018,66000,Risaralda,66440,Marsella,OTROS,0.0
2017_2018,66000,Risaralda,66456,Mistrató,AHORRO,563981740.7881975
2017_2018,66000,Risaralda,66456,Mistrató,INVERSIÓN,2997793207.7657256
2017_2018,66000,Risaralda,66456,Mistrató,OTROS,0.0
2017_2018,66000,Risaralda,66572,Pueblo Rico,AHORRO,576722621.8604224
2017_2018,66000,Risaralda,66572,Pueblo Rico,INVERSIÓN,2416026782.2637386
2017_2018,66000,Risaralda,66572,Pueblo Rico,OTROS,0.0
2017_2018,66000,Risaralda,66594,Quinchía,AHORRO,629759666.926393
2017_2018,66000,Risaralda,66594,Quinchía,INVERSIÓN,4483939548.483888
2017_2018,66000,Risaralda,66594,Quinchía,OTROS,0.0
2017_2018,66000,Risaralda,66682,Santa Rosa de Cabal,AHORRO,613047256.6974623
2017_2018,66000,Risaralda,66682,Santa Rosa de Cabal,INVERSIÓN,5449469577.4509115
2017_2018,66000,Risaralda,66682,Santa Rosa de Cabal,OTROS,0.0
2017_2018,66000,Risaralda,66687,Santuario,AHORRO,376172663.02088016
2017_2018,66000,Risaralda,66687,Santuario,INVERSIÓN,2362508042.3736906
2017_2018,66000,Risaralda,66687,Santuario,OTROS,0.0
2019_2020,66000,Risaralda,66000,Risaralda,AHORRO,70353409120.54355
2019_2020,66000,Risaralda,66000,Risaralda,INVERSIÓN,208600083314.7693
2019_2020,66000,Risaralda,66000,Risaralda,OTROS,0.0
2019_2020,66000,Risaralda,66001,Pereira,AHORRO,876676668.7329513
2019_2020,66000,Risaralda,66001,Pereira,INVERSIÓN,67451098.08616643
2019_2020,66000,Risaralda,66001,Pereira,OTROS,0.0
2019_2020,66000,Risaralda,66045,Apía,AHORRO,349434713.28932816
2019_2020,66000,Risaralda,66045,Apía,INVERSIÓN,2320561957.1715984
2019_2020,66000,Risaralda,66045,Apía,OTROS,0.0
