Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,68000,Santander,68000,Santander,AHORRO,178807437693.60202
2012,68000,Santander,68000,Santander,INVERSIÓN,351584053130.3967
2012,68000,Santander,68000,Santander,OTROS,0.0
2012,68000,Santander,68001,Bucaramanga,AHORRO,1443790871.7080915
2012,68000,Santander,68001,Bucaramanga,INVERSIÓN,3042521.689428828
2012,68000,Santander,68001,Bucaramanga,OTROS,0.0
2012,68000,Santander,68013,Aguada,AHORRO,327562795.65545565
2012,68000,Santander,68013,Aguada,INVERSIÓN,132038636.1142044
2012,68000,Santander,68013,Aguada,OTROS,0.0
2012,68000,Santander,68020,Albania,AHORRO,477773923.95554405
2012,68000,Santander,68020,Albania,INVERSIÓN,336798254.7794303
2012,68000,Santander,68020,Albania,OTROS,0.0
2012,68000,Santander,68038,Municipio NN Santander Toca,AHORRO,0.0
2012,68000,Santander,68038,Municipio NN Santander Toca,INVERSIÓN,0.0
2012,68000,Santander,68038,Municipio NN Santander Toca,OTROS,0.0
2012,68000,Santander,68051,Aratoca,AHORRO,656385858.5127888
2012,68000,Santander,68051,Aratoca,INVERSIÓN,571459379.9658948
2012,68000,Santander,68051,Aratoca,OTROS,0.0
2012,68000,Santander,68077,Barbosa,AHORRO,597171052.7483585
2012,68000,Santander,68077,Barbosa,INVERSIÓN,1131348122.6213305
2012,68000,Santander,68077,Barbosa,OTROS,0.0
2012,68000,Santander,68079,Barichara,AHORRO,472946928.372815
2012,68000,Santander,68079,Barichara,INVERSIÓN,621048031.2234098
2012,68000,Santander,68079,Barichara,OTROS,0.0
2012,68000,Santander,68081,Barrancabermeja,AHORRO,1431765689.4873104
2012,68000,Santander,68081,Barrancabermeja,INVERSIÓN,54061268745.44708
2012,68000,Santander,68081,Barrancabermeja,OTROS,0.0
2012,68000,Santander,68092,Betulia,AHORRO,502205864.9634853
2012,68000,Santander,68092,Betulia,INVERSIÓN,467830914.8707232
2012,68000,Santander,68092,Betulia,OTROS,0.0
2012,68000,Santander,68101,Bolívar,AHORRO,844306786.5050613
