Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",AHORRO,0.0
2012,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",INVERSIÓN,0.0
2012,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",OTROS,0.0
2012,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO001,"Sistema de Seguimiento, Evaluación y Control (SSEC)",AHORRO,0.0
2012,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO001,"Sistema de Seguimiento, Evaluación y Control (SSEC)",INVERSIÓN,0.0
2012,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO001,"Sistema de Seguimiento, Evaluación y Control (SSEC)",OTROS,142559574674.6042
2012,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO002,"Sistema de Seguimiento, Evaluación y Control (SSEC)  - Contraloría",AHORRO,0.0
2012,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO002,"Sistema de Seguimiento, Evaluación y Control (SSEC)  - Contraloría",INVERSIÓN,0.0
2012,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO002,"Sistema de Seguimiento, Evaluación y Control (SSEC)  - Contraloría",OTROS,0.0
2012,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO003,"Sistema de Seguimiento, Evaluación y Control (SSEC) - Procuraduría General de la Nación",AHORRO,0.0
2012,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO003,"Sistema de Seguimiento, Evaluación y Control (SSEC) - Procuraduría General de la Nación",INVERSIÓN,0.0
2012,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO003,"Sistema de Seguimiento, Evaluación y Control (SSEC) - Procuraduría General de la Nación",OTROS,0.0
2013_2014,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",AHORRO,0.0
2013_2014,MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",MO000,"Sistema de Seguimiento, Evaluación y Control (SSEC)",INVERSIÓN,0.0
