Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,76000,Valle Del Cauca,76000,Valle Del Cauca,AHORRO,130805259275.3901
2012,76000,Valle Del Cauca,76000,Valle Del Cauca,INVERSIÓN,235158712151.06155
2012,76000,Valle Del Cauca,76000,Valle Del Cauca,OTROS,0.0
2012,76000,Valle Del Cauca,76001,Cali,AHORRO,2528132907.385649
2012,76000,Valle Del Cauca,76001,Cali,INVERSIÓN,196442801.50654945
2012,76000,Valle Del Cauca,76001,Cali,OTROS,0.0
2012,76000,Valle Del Cauca,76020,Alcalá,AHORRO,630085908.9641085
2012,76000,Valle Del Cauca,76020,Alcalá,INVERSIÓN,1051604135.910022
2012,76000,Valle Del Cauca,76020,Alcalá,OTROS,0.0
2012,76000,Valle Del Cauca,76036,Andalucía,AHORRO,494375235.8738644
2012,76000,Valle Del Cauca,76036,Andalucía,INVERSIÓN,860362706.6327796
2012,76000,Valle Del Cauca,76036,Andalucía,OTROS,0.0
2012,76000,Valle Del Cauca,76041,Ansermanuevo,AHORRO,703807401.2582527
2012,76000,Valle Del Cauca,76041,Ansermanuevo,INVERSIÓN,1128249708.0688891
2012,76000,Valle Del Cauca,76041,Ansermanuevo,OTROS,0.0
2012,76000,Valle Del Cauca,76054,Argelia,AHORRO,438508325.427664
2012,76000,Valle Del Cauca,76054,Argelia,INVERSIÓN,567297049.5576711
2012,76000,Valle Del Cauca,76054,Argelia,OTROS,0.0
2012,76000,Valle Del Cauca,76100,Bolívar,AHORRO,604562793.8059068
2012,76000,Valle Del Cauca,76100,Bolívar,INVERSIÓN,906698551.2703958
2012,76000,Valle Del Cauca,76100,Bolívar,OTROS,0.0
2012,76000,Valle Del Cauca,76109,Buenaventura,AHORRO,2493464618.0356016
2012,76000,Valle Del Cauca,76109,Buenaventura,INVERSIÓN,27284556940.547485
2012,76000,Valle Del Cauca,76109,Buenaventura,OTROS,0.0
2012,76000,Valle Del Cauca,76111,Guadalajara de Buga,AHORRO,788184396.1547333
2012,76000,Valle Del Cauca,76111,Guadalajara de Buga,INVERSIÓN,7941700.956614455
2012,76000,Valle Del Cauca,76111,Guadalajara de Buga,OTROS,0.0
2012,76000,Valle Del Cauca,76113,Bugalagrande,AHORRO,578261128.3984255
2012,76000,Valle Del Cauca,76113,Bugalagrande,INVERSIÓN,1012678652.5495266
2012,76000,Valle Del Cauca,76113,Bugalagrande,OTROS,0.0
2012,76000,Valle Del Cauca,76122,Caicedonia,AHORRO,557879777.406341
2012,76000,Valle Del Cauca,76122,Caicedonia,INVERSIÓN,1109561764.79116
2012,76000,Valle Del Cauca,76122,Caicedonia,OTROS,0.0
2012,76000,Valle Del Cauca,76126,Calima,AHORRO,479213319.369697
2012,76000,Valle Del Cauca,76126,Calima,INVERSIÓN,806496109.6802347
2012,76000,Valle Del Cauca,76126,Calima,OTROS,0.0
2012,76000,Valle Del Cauca,76130,Candelaria,AHORRO,771900888.255493
2012,76000,Valle Del Cauca,76130,Candelaria,INVERSIÓN,73575.96162208533
2012,76000,Valle Del Cauca,76130,Candelaria,OTROS,0.0
2012,76000,Valle Del Cauca,76147,Cartago,AHORRO,992124498.8416668
2012,76000,Valle Del Cauca,76147,Cartago,INVERSIÓN,5447.745310592492
2012,76000,Valle Del Cauca,76147,Cartago,OTROS,0.0
2012,76000,Valle Del Cauca,76233,Dagua,AHORRO,784967942.8909602
2012,76000,Valle Del Cauca,76233,Dagua,INVERSIÓN,1479012456.5329072
2012,76000,Valle Del Cauca,76233,Dagua,OTROS,0.0
2012,76000,Valle Del Cauca,76243,El Águila,AHORRO,513630180.5926367
2012,76000,Valle Del Cauca,76243,El Águila,INVERSIÓN,749239552.0253507
2012,76000,Valle Del Cauca,76243,El Águila,OTROS,0.0
2012,76000,Valle Del Cauca,76246,El Cairo,AHORRO,513956713.2882934
2012,76000,Valle Del Cauca,76246,El Cairo,INVERSIÓN,721884944.3885276
2012,76000,Valle Del Cauca,76246,El Cairo,OTROS,0.0
2012,76000,Valle Del Cauca,76248,El Cerrito,AHORRO,789887339.5247232
2012,76000,Valle Del Cauca,76248,El Cerrito,INVERSIÓN,1726308037.9435573
2012,76000,Valle Del Cauca,76248,El Cerrito,OTROS,0.0
2012,76000,Valle Del Cauca,76250,El Dovio,AHORRO,434844128.0167562
2012,76000,Valle Del Cauca,76250,El Dovio,INVERSIÓN,623489949.3934095
2012,76000,Valle Del Cauca,76250,El Dovio,OTROS,0.0
2012,76000,Valle Del Cauca,76275,Florida,AHORRO,867589972.866072
2012,76000,Valle Del Cauca,76275,Florida,INVERSIÓN,1847181675.7611089
2012,76000,Valle Del Cauca,76275,Florida,OTROS,0.0
2012,76000,Valle Del Cauca,76306,Ginebra,AHORRO,516050933.062586
2012,76000,Valle Del Cauca,76306,Ginebra,INVERSIÓN,934263000.8604603
2012,76000,Valle Del Cauca,76306,Ginebra,OTROS,0.0
2012,76000,Valle Del Cauca,76318,Guacarí,AHORRO,696540195.3411447
2012,76000,Valle Del Cauca,76318,Guacarí,INVERSIÓN,1335048105.393522
2012,76000,Valle Del Cauca,76318,Guacarí,OTROS,0.0
2012,76000,Valle Del Cauca,76364,Jamundí,AHORRO,933364985.6864084
2012,76000,Valle Del Cauca,76364,Jamundí,INVERSIÓN,2429684976.0745063
2012,76000,Valle Del Cauca,76364,Jamundí,OTROS,0.0
2012,76000,Valle Del Cauca,76377,La Cumbre,AHORRO,467114551.9886639
2012,76000,Valle Del Cauca,76377,La Cumbre,INVERSIÓN,712468029.2799137
2012,76000,Valle Del Cauca,76377,La Cumbre,OTROS,0.0
2012,76000,Valle Del Cauca,76400,La Unión,AHORRO,651992137.9161136
2012,76000,Valle Del Cauca,76400,La Unión,INVERSIÓN,1304317055.4602582
2012,76000,Valle Del Cauca,76400,La Unión,OTROS,0.0
2012,76000,Valle Del Cauca,76403,La Victoria,AHORRO,446159060.6594056
2012,76000,Valle Del Cauca,76403,La Victoria,INVERSIÓN,731833652.0891113
2012,76000,Valle Del Cauca,76403,La Victoria,OTROS,0.0
2012,76000,Valle Del Cauca,76497,Obando,AHORRO,621254095.0985326
2012,76000,Valle Del Cauca,76497,Obando,INVERSIÓN,939871516.0400294
2012,76000,Valle Del Cauca,76497,Obando,OTROS,0.0
2012,76000,Valle Del Cauca,76520,Palmira,AHORRO,1221458097.491698
2012,76000,Valle Del Cauca,76520,Palmira,INVERSIÓN,1969559.873906843
2012,76000,Valle Del Cauca,76520,Palmira,OTROS,0.0
2012,76000,Valle Del Cauca,76563,Pradera,AHORRO,890533476.0464157
2012,76000,Valle Del Cauca,76563,Pradera,INVERSIÓN,1831037642.610006
2012,76000,Valle Del Cauca,76563,Pradera,OTROS,0.0
2012,76000,Valle Del Cauca,76606,Restrepo,AHORRO,510033070.1956293
2012,76000,Valle Del Cauca,76606,Restrepo,INVERSIÓN,848170012.6328844
2012,76000,Valle Del Cauca,76606,Restrepo,OTROS,0.0
2012,76000,Valle Del Cauca,76616,Riofrío,AHORRO,578066449.376437
2012,76000,Valle Del Cauca,76616,Riofrío,INVERSIÓN,909159292.7272089
2012,76000,Valle Del Cauca,76616,Riofrío,OTROS,0.0
2012,76000,Valle Del Cauca,76622,Roldanillo,AHORRO,633690527.4437233
2012,76000,Valle Del Cauca,76622,Roldanillo,INVERSIÓN,1249399855.5394058
2012,76000,Valle Del Cauca,76622,Roldanillo,OTROS,0.0
2012,76000,Valle Del Cauca,76670,San Pedro,AHORRO,457711560.44324887
