Periodo,CodDepto,NombreDepto,mpio_cdpmp,NombreEntidad,C1,Valor_25
2012,97000,Vaupés,97000,Vaupés,AHORRO,30464456755.471336
2012,97000,Vaupés,97000,Vaupés,INVERSIÓN,54895440804.84628
2012,97000,Vaupés,97000,Vaupés,OTROS,0.0
2012,97000,Vaupés,97001,Mitú,AHORRO,1139278793.735656
2012,97000,Vaupés,97001,Mitú,INVERSIÓN,2100696072.7618277
2012,97000,Vaupés,97001,Mitú,OTROS,0.0
2012,97000,Vaupés,97161,Caruru,AHORRO,0.0
2012,97000,Vaupés,97161,Caruru,INVERSIÓN,226802223.9434153
2012,97000,Vaupés,97161,Caruru,OTROS,0.0
2012,97000,Vaupés,97511,Pacoa,AHORRO,0.0
2012,97000,Vaupés,97511,Pacoa,INVERSIÓN,0.0
2012,97000,Vaupés,97511,Pacoa,OTROS,0.0
2012,97000,Vaupés,97666,Taraira,AHORRO,0.0
2012,97000,Vaupés,97666,Taraira,INVERSIÓN,68816115.16319363
2012,97000,Vaupés,97666,Taraira,OTROS,0.0
2012,97000,Vaupés,97777,Papunaua,AHORRO,0.0
2012,97000,Vaupés,97777,Papunaua,INVERSIÓN,0.0
2012,97000,Vaupés,97777,Papunaua,OTROS,0.0
2012,97000,Vaupés,97889,Yavaraté,AHORRO,0.0
2012,97000,Vaupés,97889,Yavaraté,INVERSIÓN,0.0
2012,97000,Vaupés,97889,Yavaraté,OTROS,0.0
2013_2014,97000,Vaupés,97000,Vaupés,AHORRO,53195577241.90204
2013_2014,97000,Vaupés,97000,Vaupés,INVERSIÓN,110167685321.05222
2013_2014,97000,Vaupés,97000,Vaupés,OTROS,0.0
2013_2014,97000,Vaupés,97001,Mitú,AHORRO,1578496908.4049404
2013_2014,97000,Vaupés,97001,Mitú,INVERSIÓN,4540408170.961359
2013_2014,97000,Vaupés,97001,Mitú,OTROS,0.0
2013_2014,97000,Vaupés,97161,Caruru,AHORRO,0.0
2013_2014,97000,Vaupés,97161,Caruru,INVERSIÓN,484491822.19280815
2013_2014,97000,Vaupés,97161,Caruru,OTROS,0.0
2013_2014,97000,Vaupés,97511,Pacoa,AHORRO,0.0
2013_2014,97000,Vaupés,97511,Pacoa,INVERSIÓN,0.0
2013_2014,97000,Vaupés,97511,Pacoa,OTROS,0.0
2013_2014,97000,Vaupés,97666,Taraira,AHORRO,0.0
2013_2014,97000,Vaupés,97666,Taraira,INVERSIÓN,144228596.79100552
2013_2014,97000,Vaupés,97666,Taraira,OTROS,0.0
2013_2014,97000,Vaupés,97777,Papunaua,AHORRO,0.0
2013_2014,97000,Vaupés,97777,Papunaua,INVERSIÓN,0.0
2013_2014,97000,Vaupés,97777,Papunaua,OTROS,0.0
2013_2014,97000,Vaupés,97889,Yavaraté,AHORRO,0.0
2013_2014,97000,Vaupés,97889,Yavaraté,INVERSIÓN,0.0
2013_2014,97000,Vaupés,97889,Yavaraté,OTROS,0.0
2015_2016,97000,Vaupés,97000,Vaupés,AHORRO,41947577114.5367
2015_2016,97000,Vaupés,97000,Vaupés,INVERSIÓN,76469141155.53375
2015_2016,97000,Vaupés,97000,Vaupés,OTROS,0.0
2015_2016,97000,Vaupés,97001,Mitú,AHORRO,912635194.6103346
2015_2016,97000,Vaupés,97001,Mitú,INVERSIÓN,3284562492.3644323
2015_2016,97000,Vaupés,97001,Mitú,OTROS,0.0
2015_2016,97000,Vaupés,97161,Caruru,AHORRO,0.0
2015_2016,97000,Vaupés,97161,Caruru,INVERSIÓN,345619614.0384152
2015_2016,97000,Vaupés,97161,Caruru,OTROS,0.0
2015_2016,97000,Vaupés,97511,Pacoa,AHORRO,0.0
2015_2016,97000,Vaupés,97511,Pacoa,INVERSIÓN,0.0
2015_2016,97000,Vaupés,97511,Pacoa,OTROS,0.0
2015_2016,97000,Vaupés,97666,Taraira,AHORRO,254448102.67099345
2015_2016,97000,Vaupés,97666,Taraira,INVERSIÓN,109827040.2217555
2015_2016,97000,Vaupés,97666,Taraira,OTROS,0.0
2015_2016,97000,Vaupés,97777,Papunaua,AHORRO,0.0
2015_2016,97000,Vaupés,97777,Papunaua,INVERSIÓN,0.0
2015_2016,97000,Vaupés,97777,Papunaua,OTROS,0.0
2015_2016,97000,Vaupés,97889,Yavaraté,AHORRO,0.0
2015_2016,97000,Vaupés,97889,Yavaraté,INVERSIÓN,0.0
2015_2016,97000,Vaupés,97889,Yavaraté,OTROS,0.0
2017_2018,97000,Vaupés,97000,Vaupés,AHORRO,20367274387.797375
2017_2018,97000,Vaupés,97000,Vaupés,INVERSIÓN,128434570538.43184
2017_2018,97000,Vaupés,97000,Vaupés,OTROS,0.0
2017_2018,97000,Vaupés,97001,Mitú,AHORRO,802014960.7612996
2017_2018,97000,Vaupés,97001,Mitú,INVERSIÓN,5690345150.177439
2017_2018,97000,Vaupés,97001,Mitú,OTROS,0.0
2017_2018,97000,Vaupés,97161,Caruru,AHORRO,0.0
2017_2018,97000,Vaupés,97161,Caruru,INVERSIÓN,589604465.9191211
2017_2018,97000,Vaupés,97161,Caruru,OTROS,0.0
2017_2018,97000,Vaupés,97511,Pacoa,AHORRO,0.0
2017_2018,97000,Vaupés,97511,Pacoa,INVERSIÓN,0.0
2017_2018,97000,Vaupés,97511,Pacoa,OTROS,0.0
2017_2018,97000,Vaupés,97666,Taraira,AHORRO,27042513.163727008
2017_2018,97000,Vaupés,97666,Taraira,INVERSIÓN,169455153.02386457
2017_2018,97000,Vaupés,97666,Taraira,OTROS,0.0
2017_2018,97000,Vaupés,97777,Papunaua,AHORRO,0.0
2017_2018,97000,Vaupés,97777,Papunaua,INVERSIÓN,0.0
2017_2018,97000,Vaupés,97777,Papunaua,OTROS,0.0
2017_2018,97000,Vaupés,97889,Yavaraté,AHORRO,0.0
2017_2018,97000,Vaupés,97889,Yavaraté,INVERSIÓN,0.0
2017_2018,97000,Vaupés,97889,Yavaraté,OTROS,0.0
2019_2020,97000,Vaupés,97000,Vaupés,AHORRO,37709941534.46532
2019_2020,97000,Vaupés,97000,Vaupés,INVERSIÓN,110419340126.15038
2019_2020,97000,Vaupés,97000,Vaupés,OTROS,0.0
2019_2020,97000,Vaupés,97001,Mitú,AHORRO,675242514.9421219
2019_2020,97000,Vaupés,97001,Mitú,INVERSIÓN,4831386646.349724
2019_2020,97000,Vaupés,97001,Mitú,OTROS,0.0
2019_2020,97000,Vaupés,97161,Caruru,AHORRO,0.0
2019_2020,97000,Vaupés,97161,Caruru,INVERSIÓN,493404071.62150824
2019_2020,97000,Vaupés,97161,Caruru,OTROS,0.0
2019_2020,97000,Vaupés,97511,Pacoa,AHORRO,0.0
2019_2020,97000,Vaupés,97511,Pacoa,INVERSIÓN,0.0
2019_2020,97000,Vaupés,97511,Pacoa,OTROS,0.0
2019_2020,97000,Vaupés,97666,Taraira,AHORRO,25638947.363073688
2019_2020,97000,Vaupés,97666,Taraira,INVERSIÓN,139753714.59108344
2019_2020,97000,Vaupés,97666,Taraira,OTROS,0.0
2019_2020,97000,Vaupés,97777,Papunaua,AHORRO,0.0
2019_2020,97000,Vaupés,97777,Papunaua,INVERSIÓN,0.0
2019_2020,97000,Vaupés,97777,Papunaua,OTROS,0.0
2019_2020,97000,Vaupés,97889,Yavaraté,AHORRO,0.0
2019_2020,97000,Vaupés,97889,Yavaraté,INVERSIÓN,0.0
2019_2020,97000,Vaupés,97889,Yavaraté,OTROS,0.0
2021_2022,97000,Vaupés,97000,Vaupés,AHORRO,3852932105.398873
