NombreDepto,mpio_cdpmp,NombreEntidad,Población,Periodo
Asignaciones Directas por Distribuir Ajustes Agencias,00002,Asignaciones Directas por Distribuir Ajustes Agencias,,2012
Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,00004,Por Distribuir Ajustes No Aforados Decreto 549 de 2024 - AD,,2012
Asignaciones para la PAZ 7% -  Bolsa Concursable,01000,Asignaciones para la PAZ 7% -  Bolsa Concursable,,2012
Antioquia,05000,Antioquia,6221817.0,2012
Antioquia,05001,Medellín,2393011.0,2012
Antioquia,05002,Abejorral,19570.0,2012
Antioquia,05004,Abriaquí,2290.0,2012
Antioquia,05021,Alejandría,3575.0,2012
Antioquia,05030,Amagá,28897.0,2012
Antioquia,05031,Amalfi,21615.0,2012
Antioquia,05034,Andes,44573.0,2012
Antioquia,05036,Angelópolis,8551.0,2012
Antioquia,05038,Angostura,11695.0,2012
Antioquia,05040,Anorí,16447.0,2012
Antioquia,05042,Santafé de Antioquia,24025.0,2012
Antioquia,05044,Anza,7529.0,2012
Antioquia,05045,Apartadó,162914.0,2012
Antioquia,05051,Arboletes,37124.0,2012
Antioquia,05055,Argelia,9108.0,2012
Antioquia,05059,Armenia,4484.0,2012
Antioquia,05079,Barbosa,47722.0,2012
Antioquia,05086,Belmira,6590.0,2012
Antioquia,05088,Bello,430034.0,2012
Antioquia,05091,Betania,9586.0,2012
Antioquia,05093,Betulia,17317.0,2012
Antioquia,05101,Ciudad Bolívar,27458.0,2012
Antioquia,05107,Briceño,8728.0,2012
Antioquia,05113,Buriticá,6716.0,2012
Antioquia,05120,Cáceres,34865.0,2012
Antioquia,05125,Caicedo,8050.0,2012
Antioquia,05129,Caldas,75033.0,2012
Antioquia,05134,Campamento,9270.0,2012
Antioquia,05138,Cañasgordas,16793.0,2012
Antioquia,05142,Caracolí,4671.0,2012
Antioquia,05145,Caramanta,5410.0,2012
Antioquia,05147,Carepa,51710.0,2012
Antioquia,05148,El Carmen de Viboral,44992.0,2012
Antioquia,05150,Carolina,3734.0,2012
Antioquia,05154,Caucasia,104318.0,2012
Antioquia,05172,Chigorodó,70648.0,2012
Antioquia,05190,Cisneros,9247.0,2012
Antioquia,05197,Cocorná,15013.0,2012
Antioquia,05206,Concepción,3756.0,2012
